geography_code,geography_name,Female,Male,order
E05001347,City (Bradford),47.9,52.1,47.9
E05001359,Manningham,49.0,51.0,49.0
E05001355,Keighley Central,49.8,50.2,49.8
E05001358,Little Horton,50.0,50.0,50.0
E05001346,Bradford Moor,50.2,49.8,50.2
E05001345,Bowling and Barkerend,50.3,49.7,50.3
E05001356,Keighley East,50.7,49.3,50.7
E05001364,Toller (Bradford),50.8,49.2,50.8
E05001366,Wharfedale (Bradford),50.9,49.1,50.9
E05001352,Heaton (Bradford),51.0,49.0,51.0
E05001341,Baildon,51.1,48.9,51.1
E05001344,Bolton and Undercliffe,51.1,48.9,51.1
E05001360,Queensbury (Bradford),51.1,48.9,51.1
E05001362,Shipley,51.1,48.9,51.1
E05001369,Worth Valley,51.1,48.9,51.1
E05001342,Bingley,51.2,48.8,51.2
E05001368,Windhill and Wrose,51.3,48.7,51.3
E05001363,Thornton and Allerton,51.4,48.6,51.4
E05001365,Tong,51.4,48.6,51.4
E05001353,Idle and Thackley,51.6,48.4,51.6
E05001349,Craven,51.7,48.3,51.7
E05001350,Eccleshill,51.7,48.3,51.7
E05001367,Wibsey,51.7,48.3,51.7
E05001351,Great Horton,51.8,48.2,51.8
E05001361,Royds,51.8,48.2,51.8
E05001357,Keighley West,51.9,48.1,51.9
E05001370,Wyke,52.2,47.8,52.2
E05001343,Bingley Rural,52.3,47.7,52.3
E05001354,Ilkley,52.6,47.4,52.6
E05001348,Clayton and Fairweather Green,53.3,46.7,53.3
