geography_code,geography_name,Female,Male
E01010568,Bradford 016A,49.6,50.4
E01010569,Bradford 016B,51.4,48.6
E01010570,Bradford 018A,49.7,50.3
E01010571,Bradford 016C,49.7,50.3
E01010572,Bradford 016D,51.9,48.1
E01010573,Bradford 013A,50.6,49.4
E01010574,Bradford 013B,52.6,47.4
E01010575,Bradford 013C,52.2,47.8
E01010576,Bradford 016E,52.8,47.2
E01010577,Bradford 013D,50.9,49.1
E01010578,Bradford 015A,50.9,49.1
E01010579,Bradford 010A,50.8,49.2
E01010580,Bradford 010B,51.7,48.3
E01010581,Bradford 015B,50.5,49.5
E01010582,Bradford 015C,51.2,48.8
E01010583,Bradford 018B,50.2,49.8
E01010584,Bradford 015D,51.6,48.4
E01010585,Bradford 015E,51.5,48.5
E01010586,Bradford 022A,53.3,46.7
E01010587,Bradford 022B,51.6,48.4
E01010588,Bradford 022C,52.6,47.4
E01010589,Bradford 022D,54.3,45.7
E01010590,Bradford 031A,51.2,48.8
E01010591,Bradford 022E,52.0,48.0
E01010592,Bradford 031B,54.8,45.2
E01010593,Bradford 022F,53.4,46.6
E01010594,Bradford 031C,52.3,47.7
E01010595,Bradford 031D,50.2,49.8
E01010596,Bradford 022G,51.8,48.2
E01010597,Bradford 028A,50.3,49.7
E01010598,Bradford 028B,52.0,48.0
E01010599,Bradford 028C,52.5,47.5
E01010600,Bradford 028D,53.2,46.8
E01010601,Bradford 032A,51.6,48.4
E01010602,Bradford 028E,50.7,49.3
E01010603,Bradford 024A,51.7,48.3
E01010604,Bradford 024B,50.9,49.1
E01010605,Bradford 024C,50.7,49.3
E01010606,Bradford 064E,48.1,51.9
E01010607,Bradford 064C,49.6,50.4
E01010608,Bradford 045A,51.4,48.6
E01010609,Bradford 046A,52.8,47.2
E01010610,Bradford 046B,54.0,46.0
E01010611,Bradford 046C,51.7,48.3
E01010612,Bradford 052A,50.0,50.0
E01010613,Bradford 045B,53.6,46.4
E01010614,Bradford 046D,44.6,55.4
E01010615,Bradford 053A,50.8,49.2
E01010616,Bradford 053B,52.8,47.2
E01010617,Bradford 064B,52.1,47.9
E01010618,Bradford 038A,51.2,48.8
E01010619,Bradford 038B,51.1,48.9
E01010620,Bradford 042A,49.2,50.8
E01010621,Bradford 042B,48.7,51.3
E01010622,Bradford 042C,50.9,49.1
E01010623,Bradford 042D,48.9,51.1
E01010624,Bradford 042E,48.6,51.4
E01010625,Bradford 038C,52.3,47.7
E01010626,Bradford 038D,50.1,49.9
E01010627,Bradford 038E,49.8,50.2
E01010628,Bradford 040A,51.5,48.5
E01010629,Bradford 040B,51.9,48.1
E01010630,Bradford 040C,51.1,48.9
E01010631,Bradford 040D,53.5,46.5
E01010632,Bradford 040E,52.2,47.8
E01010633,Bradford 047A,51.3,48.7
E01010634,Bradford 047B,51.4,48.6
E01010635,Bradford 047C,52.6,47.4
E01010636,Bradford 047D,52.8,47.2
E01010637,Bradford 047E,64.2,35.8
E01010638,Bradford 062A,50.5,49.5
E01010639,Bradford 063C,49.6,50.4
E01010640,Bradford 063A,50.8,49.2
E01010641,Bradford 063B,53.0,47.0
E01010642,Bradford 062B,51.7,48.3
E01010643,Bradford 062E,49.5,50.5
E01010644,Bradford 062D,52.8,47.2
E01010645,Bradford 062C,51.5,48.5
E01010646,Bradford 001A,54.8,45.2
E01010647,Bradford 001B,52.7,47.3
E01010648,Bradford 001C,52.3,47.7
E01010649,Bradford 027A,48.0,52.0
E01010650,Bradford 027B,53.5,46.5
E01010651,Bradford 032B,50.3,49.7
E01010652,Bradford 026A,51.3,48.7
E01010653,Bradford 026B,52.3,47.7
E01010654,Bradford 027C,51.8,48.2
E01010655,Bradford 026C,55.2,44.8
E01010656,Bradford 026D,52.5,47.5
E01010657,Bradford 026E,54.2,45.8
E01010658,Bradford 041A,51.4,48.6
E01010659,Bradford 049A,54.6,45.4
E01010662,Bradford 049D,52.3,47.7
E01010663,Bradford 050A,50.5,49.5
E01010664,Bradford 049E,50.4,49.6
E01010665,Bradford 050B,51.5,48.5
E01010666,Bradford 050C,53.4,46.6
E01010667,Bradford 050D,50.2,49.8
E01010668,Bradford 055A,51.7,48.3
E01010669,Bradford 030A,53.6,46.4
E01010670,Bradford 029A,50.5,49.5
E01010671,Bradford 029B,51.8,48.2
E01010672,Bradford 036A,50.9,49.1
E01010673,Bradford 029C,47.7,52.3
E01010674,Bradford 030B,50.7,49.3
E01010675,Bradford 029D,50.0,50.0
E01010676,Bradford 034A,50.1,49.9
E01010678,Bradford 036B,49.3,50.7
E01010679,Bradford 034B,50.2,49.8
E01010680,Bradford 019A,54.5,45.5
E01010681,Bradford 019B,50.5,49.5
E01010682,Bradford 019C,53.9,46.1
E01010683,Bradford 017A,50.9,49.1
E01010684,Bradford 017B,53.4,46.6
E01010685,Bradford 017C,51.5,48.5
E01010686,Bradford 017D,51.0,49.0
E01010687,Bradford 019D,50.8,49.2
E01010688,Bradford 019E,49.9,50.1
E01010689,Bradford 019F,50.9,49.1
E01010690,Bradford 019G,51.0,49.0
E01010691,Bradford 002A,52.2,47.8
E01010692,Bradford 001D,52.8,47.2
E01010693,Bradford 002B,51.5,48.5
E01010694,Bradford 002C,52.1,47.9
E01010695,Bradford 002D,54.4,45.6
E01010696,Bradford 002E,50.7,49.3
E01010697,Bradford 002F,54.0,46.0
E01010698,Bradford 002G,52.9,47.1
E01010699,Bradford 002H,52.9,47.1
E01010700,Bradford 008A,49.5,50.5
E01010701,Bradford 008B,50.9,49.1
E01010702,Bradford 008C,51.4,48.6
E01010703,Bradford 008D,53.5,46.5
E01010704,Bradford 008E,50.0,50.0
E01010705,Bradford 008F,53.1,46.9
E01010706,Bradford 006A,51.5,48.5
E01010707,Bradford 006B,47.7,52.3
E01010708,Bradford 006C,50.9,49.1
E01010709,Bradford 006D,50.7,49.3
E01010710,Bradford 008G,45.7,54.3
E01010711,Bradford 011A,45.0,55.0
E01010712,Bradford 009A,49.4,50.6
E01010713,Bradford 011B,52.6,47.4
E01010714,Bradford 011C,51.6,48.4
E01010715,Bradford 012A,53.7,46.3
E01010716,Bradford 011D,49.9,50.1
E01010717,Bradford 012B,54.3,45.7
E01010718,Bradford 012C,53.0,47.0
E01010719,Bradford 007A,49.5,50.5
E01010720,Bradford 009B,53.6,46.4
E01010721,Bradford 009C,52.4,47.6
E01010722,Bradford 014A,50.2,49.8
E01010723,Bradford 009D,50.8,49.2
E01010724,Bradford 009E,51.4,48.6
E01010725,Bradford 009F,51.7,48.3
E01010726,Bradford 012D,49.4,50.6
E01010727,Bradford 007B,49.0,51.0
E01010728,Bradford 007C,50.3,49.7
E01010729,Bradford 007D,51.7,48.3
E01010730,Bradford 045C,45.9,54.1
E01010731,Bradford 048A,45.3,54.7
E01010732,Bradford 048B,51.3,48.7
E01010733,Bradford 048C,48.9,51.1
E01010734,Bradford 045D,49.4,50.6
E01010735,Bradford 051A,49.6,50.4
E01010736,Bradford 048D,50.5,49.5
E01010737,Bradford 048E,50.1,49.9
E01010738,Bradford 051B,48.9,51.1
E01010739,Bradford 051C,48.0,52.0
E01010740,Bradford 051D,48.5,51.5
E01010741,Bradford 059A,52.7,47.3
E01010742,Bradford 053C,50.9,49.1
E01010743,Bradford 053D,47.3,52.7
E01010744,Bradford 051E,51.4,48.6
E01010745,Bradford 056A,50.9,49.1
E01010746,Bradford 060A,51.9,48.1
E01010747,Bradford 056B,51.0,49.0
E01010748,Bradford 056C,52.5,47.5
E01010749,Bradford 056D,54.2,45.8
E01010750,Bradford 060B,51.7,48.3
E01010751,Bradford 060C,51.1,48.9
E01010752,Bradford 058A,50.7,49.3
E01010753,Bradford 058B,50.5,49.5
E01010754,Bradford 058C,50.7,49.3
E01010755,Bradford 055B,53.7,46.3
E01010756,Bradford 058D,50.1,49.9
E01010758,Bradford 058E,50.6,49.4
E01010759,Bradford 058F,49.6,50.4
E01010760,Bradford 058G,49.6,50.4
E01010761,Bradford 049G,53.0,47.0
E01010762,Bradford 055C,51.0,49.0
E01010763,Bradford 055D,51.4,48.6
E01010764,Bradford 010C,50.6,49.4
E01010765,Bradford 010D,51.7,48.3
E01010766,Bradford 010E,52.8,47.2
E01010767,Bradford 003A,51.5,48.5
E01010768,Bradford 003B,50.6,49.4
E01010769,Bradford 003C,51.9,48.1
E01010770,Bradford 005A,49.1,50.9
E01010771,Bradford 003D,51.1,48.9
E01010772,Bradford 005B,51.3,48.7
E01010773,Bradford 005C,50.4,49.6
E01010774,Bradford 005D,51.4,48.6
E01010775,Bradford 024D,50.4,49.6
E01010776,Bradford 021A,51.5,48.5
E01010777,Bradford 021B,49.0,51.0
E01010778,Bradford 024E,52.7,47.3
E01010779,Bradford 021C,53.4,46.6
E01010781,Bradford 021D,53.1,46.9
E01010782,Bradford 020B,50.0,50.0
E01010783,Bradford 021E,51.1,48.9
E01010784,Bradford 018C,53.0,47.0
E01010785,Bradford 018D,53.4,46.6
E01010786,Bradford 018E,53.4,46.6
E01010787,Bradford 020C,51.4,48.6
E01010788,Bradford 020D,49.4,50.6
E01010789,Bradford 025A,50.7,49.3
E01010790,Bradford 018F,52.3,47.7
E01010791,Bradford 025B,49.5,50.5
E01010792,Bradford 025C,50.6,49.4
E01010793,Bradford 025D,49.5,50.5
E01010794,Bradford 043A,52.0,48.0
E01010795,Bradford 043B,50.4,49.6
E01010796,Bradford 043C,51.8,48.2
E01010797,Bradford 043D,50.4,49.6
E01010798,Bradford 043E,50.6,49.4
E01010799,Bradford 036C,51.5,48.5
E01010800,Bradford 036D,53.3,46.7
E01010801,Bradford 036E,51.2,48.8
E01010802,Bradford 036F,53.5,46.5
E01010803,Bradford 037A,51.8,48.2
E01010804,Bradford 033A,50.5,49.5
E01010805,Bradford 030D,49.9,50.1
E01010806,Bradford 033B,51.8,48.2
E01010807,Bradford 033C,48.8,51.2
E01010808,Bradford 033D,50.5,49.5
E01010809,Bradford 033E,51.6,48.4
E01010810,Bradford 037B,50.5,49.5
E01010811,Bradford 037C,51.1,48.9
E01010812,Bradford 041B,48.6,51.4
E01010813,Bradford 037D,50.7,49.3
E01010814,Bradford 057A,51.9,48.1
E01010815,Bradford 057B,51.2,48.8
E01010816,Bradford 057C,49.7,50.3
E01010817,Bradford 057D,53.3,46.7
E01010818,Bradford 057E,50.8,49.2
E01010819,Bradford 052B,50.6,49.4
E01010820,Bradford 052C,50.4,49.6
E01010821,Bradford 052D,55.4,44.6
E01010822,Bradford 052E,51.1,48.9
E01010824,Bradford 034C,50.0,50.0
E01010825,Bradford 032C,50.9,49.1
E01010826,Bradford 027D,50.7,49.3
E01010827,Bradford 032D,47.5,52.5
E01010828,Bradford 035A,51.9,48.1
E01010829,Bradford 035B,48.2,51.8
E01010830,Bradford 035C,49.2,50.8
E01010831,Bradford 035D,47.8,52.2
E01010832,Bradford 035E,51.3,48.7
E01010833,Bradford 041C,50.4,49.6
E01010834,Bradford 044A,46.7,53.3
E01010836,Bradford 044C,46.9,53.1
E01010837,Bradford 044D,50.7,49.3
E01010838,Bradford 044E,48.8,51.2
