week_ending,BD25 Event,Bradford 2025 Turner Prize,Education/Session,Evaluation,Induction,Third Party Event
2024-08-18,0.0,0.0,0.0,0.0,0.0,120.0
2024-08-25,153.75,0.0,0.0,0.0,0.0,31.5
2024-09-01,4.0,0.0,0.0,0.0,0.0,0.0
2024-09-08,12.0,0.0,0.0,34.0,0.0,22.5
2024-09-15,259.0,0.0,0.0,0.0,0.0,30.0
2024-09-22,0.0,0.0,0.0,26.0,0.0,30.0
2024-09-29,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-06,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-13,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-20,0.0,0.0,0.0,58.0,0.0,0.0
2024-10-27,0.0,0.0,0.0,34.0,0.0,54.0
2024-11-03,0.0,0.0,0.0,0.0,99.0,0.0
2024-11-10,0.0,0.0,0.0,22.0,363.0,0.0
2024-11-17,0.0,0.0,48.0,20.0,312.0,0.0
2024-11-24,26.0,0.0,48.0,30.0,0.0,0.0
2024-12-01,36.0,0.0,0.0,0.0,246.0,0.0
2024-12-08,30.0,0.0,56.0,24.0,84.0,0.0
2024-12-15,37.0,0.0,64.0,0.0,246.0,36.0
2024-12-22,32.5,0.0,0.0,0.0,0.0,0.0
2024-12-29,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-05,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-12,1243.75,0.0,0.0,0.0,0.0,0.0
2025-01-19,142.0,0.0,32.0,12.0,0.0,0.0
2025-01-26,203.0,0.0,32.0,0.0,210.0,0.0
2025-02-02,278.5,0.0,0.0,0.0,354.0,0.0
2025-02-09,226.0,0.0,0.0,0.0,0.0,0.0
2025-02-16,837.5,0.0,0.0,0.0,0.0,0.0
2025-02-23,525.0,0.0,0.0,40.0,90.0,0.0
2025-03-02,491.5,0.0,0.0,0.0,87.0,0.0
2025-03-09,213.5,0.0,0.0,0.0,0.0,0.0
2025-03-16,459.0,0.0,0.0,0.0,48.0,0.0
2025-03-23,324.5,0.0,0.0,60.0,0.0,0.0
2025-03-30,314.0,0.0,88.0,0.0,96.0,0.0
2025-04-06,541.5,0.0,80.0,0.0,93.0,0.0
2025-04-13,678.5,0.0,0.0,0.0,0.0,21.0
2025-04-20,665.25,0.0,0.0,22.0,100.0,0.0
2025-04-27,648.25,0.0,0.0,0.0,0.0,0.0
2025-05-04,603.167,0.0,0.0,0.0,51.0,0.0
2025-05-11,728.75,0.0,0.0,0.0,0.0,0.0
2025-05-18,685.333,0.0,175.0,26.0,63.0,0.0
2025-05-25,908.75,0.0,0.0,0.0,60.0,34.0
2025-06-01,690.75,0.0,0.0,0.0,99.0,0.0
2025-06-08,691.25,0.0,0.0,0.0,0.0,0.0
2025-06-15,1164.083,0.0,0.0,0.0,39.0,52.0
2025-06-22,748.75,0.0,0.0,20.0,66.0,0.0
2025-06-29,305.25,0.0,0.0,0.0,33.0,18.5
2025-07-06,394.5,0.0,0.0,0.0,21.0,9.0
2025-07-13,510.917,0.0,88.0,0.0,66.0,0.0
2025-07-20,789.5,0.0,88.0,2.0,33.0,38.0
2025-07-27,1196.25,0.0,0.0,0.0,0.0,0.0
2025-08-03,1125.5,0.0,0.0,0.0,54.0,12.0
2025-08-10,1003.75,0.0,0.0,0.0,39.0,0.0
2025-08-17,947.25,0.0,0.0,0.0,60.0,0.0
2025-08-24,854.25,0.0,0.0,0.0,0.0,12.0
2025-08-31,1139.5,0.0,0.0,0.0,42.0,0.0
2025-09-07,1087.75,0.0,0.0,0.0,51.0,0.0
2025-09-14,557.75,0.0,0.0,0.0,30.0,0.0
2025-09-21,832.5,0.0,0.0,30.0,33.0,0.0
2025-09-28,780.0,376.0,0.0,0.0,33.0,0.0
2025-10-05,361.75,376.25,0.0,0.0,21.0,0.0
2025-10-12,756.5,372.0,0.0,0.0,54.0,7.5
2025-10-19,464.0,275.75,0.0,0.0,18.0,50.5
2025-10-26,427.083,270.0,6.0,0.0,39.0,4.0
2025-11-02,667.333,296.5,0.0,0.0,0.0,0.0
2025-11-09,687.667,300.5,0.0,0.0,12.0,0.0
2025-11-16,532.25,274.75,5.0,0.0,45.0,199.0
2025-11-23,510.0,263.25,0.0,0.0,0.0,84.0
2025-11-30,356.25,234.0,0.0,0.0,71.0,120.5
2025-12-07,328.0,165.75,12.0,0.0,42.0,0.0
