week_ending,BD25 Event,Bradford 2025 Turner Prize,Education/Session,Evaluation,Induction,Third Party Event
2024-08-18,119,0,0,0,0,35
2024-08-25,160,0,0,0,0,42
2024-09-01,161,0,0,0,0,42
2024-09-08,163,0,0,17,0,47
2024-09-15,238,0,0,17,0,53
2024-09-22,238,0,0,30,0,58
2024-09-29,238,0,0,30,0,58
2024-10-06,238,0,0,30,0,58
2024-10-13,238,0,0,30,0,58
2024-10-20,238,0,0,59,0,58
2024-10-27,238,0,0,76,0,67
2024-11-03,238,0,0,76,33,67
2024-11-10,238,0,0,87,154,67
2024-11-17,238,0,6,97,258,67
2024-11-24,251,0,12,112,258,67
2024-12-01,268,0,12,112,340,67
2024-12-08,283,0,19,124,368,67
2024-12-15,300,0,27,124,450,76
2024-12-22,313,0,27,124,450,76
2024-12-29,313,0,27,124,450,76
2025-01-05,313,0,27,124,450,76
2025-01-12,563,0,27,124,450,76
2025-01-19,596,0,31,130,450,76
2025-01-26,650,0,35,130,520,76
2025-02-02,727,0,35,130,638,76
2025-02-09,812,0,35,130,638,76
2025-02-16,1025,0,35,130,638,76
2025-02-23,1140,0,35,150,668,76
2025-03-02,1238,0,35,150,697,76
2025-03-09,1317,0,35,150,697,76
2025-03-16,1422,0,35,150,713,76
2025-03-23,1498,0,35,180,713,76
2025-03-30,1580,0,46,180,737,76
2025-04-06,1723,0,56,180,768,76
2025-04-13,1899,0,56,180,768,79
2025-04-20,2049,0,56,191,793,79
2025-04-27,2235,0,56,191,793,79
2025-05-04,2388,0,56,191,810,79
2025-05-11,2556,0,56,191,810,79
2025-05-18,2750,0,81,204,831,79
2025-05-25,2966,0,81,204,851,87
2025-06-01,3137,0,81,204,884,87
2025-06-08,3344,0,81,204,884,87
2025-06-15,3602,0,81,204,897,95
2025-06-22,3784,0,81,214,919,95
2025-06-29,3868,0,81,214,930,100
2025-07-06,3973,0,81,214,937,103
2025-07-13,4107,0,92,214,959,103
2025-07-20,4281,0,103,215,970,112
2025-07-27,4586,0,103,215,970,112
2025-08-03,4810,0,103,215,988,115
2025-08-10,5028,0,103,215,1001,115
2025-08-17,5228,0,103,215,1021,115
2025-08-24,5401,0,103,215,1021,118
2025-08-31,5622,0,103,215,1036,118
2025-09-07,5873,0,103,215,1053,118
2025-09-14,6020,0,103,215,1063,118
2025-09-21,6222,0,103,230,1074,118
2025-09-28,6420,133,103,230,1085,118
2025-10-05,6526,222,103,230,1092,118
2025-10-12,6724,309,103,230,1110,120
2025-10-19,6841,371,103,230,1116,131
2025-10-26,6954,432,106,230,1129,132
2025-11-02,7123,499,106,230,1129,132
2025-11-09,7289,566,106,230,1133,132
2025-11-16,7442,630,108,230,1148,174
2025-11-23,7576,691,108,230,1148,190
2025-11-30,7667,744,108,230,1175,214
2025-12-07,7786,796,114,230,1189,217
2025-12-14,7863,878,114,240,1189,221
2025-12-21,8092,913,114,245,1189,225
2025-12-28,8093,955,114,245,1189,225
2026-01-04,8093,997,114,245,1189,225
2026-01-11,8104,1052,114,245,1189,225
2026-01-18,8119,1120,114,245,1189,225
2026-01-25,8135,1182,114,245,1189,225
2026-02-01,8154,1249,114,245,1189,229
2026-02-08,8184,1323,114,245,1189,229
