code,name,colour,short_code
E05001341,Baildon,pink,BAI
E05001342,Bingley,pink,BLY
E05001343,Bingley Rural,pink,BYR
E05001344,Bolton and Undercliffe,pink,BUC
E05001345,Bowling and Barkerend,pink,BBA
E05001346,Bradford Moor,pink,BMO
E05001347,City,pink,CTY
E05001348,Clayton and Fairweather Green,pink,CFG
E05001349,Craven,pink,CRA
E05001350,Eccleshill,pink,ECC
E05001351,Great Horton,pink,GHN
E05001352,Heaton,pink,HEA
E05001353,Idle and Thackley,pink,IDT
E05001354,Ilkley,pink,ILK
E05001355,Keighley Central,pink,KYC
E05001356,Keighley East,pink,KYE
E05001357,Keighley West,pink,KYW
E05001358,Little Horton,pink,LHN
E05001359,Manningham,pink,MHM
E05001360,Queensbury,pink,QBY
E05001361,Royds,pink,ROY
E05001362,Shipley,pink,SHY
E05001363,Thornton and Allerton,pink,THA
E05001364,Toller,pink,TOL
E05001365,Tong,pink,TNG
E05001366,Wharfedale,pink,WHF
E05001367,Wibsey,pink,WIB
E05001368,Windhill and Wrose,pink,WHW
E05001369,Worth Valley,pink,WTV
E05001370,Wyke,pink,WYK
