"WD23NM","WD23CD","2022 estimate"
"Baildon","E05001341",16202
"Bingley","E05001342",18259
"Bingley Rural","E05001343",19041
"Bolton and Undercliffe","E05001344",17904
"Bowling and Barkerend","E05001345",23483
"Bradford Moor","E05001346",21923
"City (Bradford)","E05001347",23707
"Clayton and Fairweather Green","E05001348",18342
"Craven","E05001349",17955
"Eccleshill","E05001350",20654
"Great Horton","E05001351",19119
"Heaton (Bradford)","E05001352",19945
"Idle and Thackley","E05001353",17652
"Ilkley","E05001354",15170
"Keighley Central","E05001355",18746
"Keighley East","E05001356",17225
"Keighley West","E05001357",17273
"Little Horton","E05001358",22010
"Manningham","E05001359",21193
"Queensbury (Bradford)","E05001360",17638
"Royds","E05001361",18221
"Shipley","E05001362",15721
"Thornton and Allerton","E05001363",18574
"Toller (Bradford)","E05001364",20927
"Tong","E05001365",21265
"Wharfedale (Bradford)","E05001366",12168
"Wibsey","E05001367",16116
"Windhill and Wrose","E05001368",17106
"Worth Valley","E05001369",14252
"Wyke","E05001370",15253
