datestamp,centre_name,value
2019-01-01,Met Office - Bradford,530996
2019-01-02,Met Office - Bradford,568621
2019-01-03,Met Office - Bradford,606939
2019-01-04,Met Office - Bradford,508695
2019-01-05,Met Office - Bradford,468546
2019-01-06,Met Office - Bradford,410141
2019-01-07,Met Office - Bradford,488741
2019-01-08,Met Office - Bradford,490209
2019-01-09,Met Office - Bradford,541583
2019-01-10,Met Office - Bradford,540426
2019-01-11,Met Office - Bradford,397085
2019-01-12,Met Office - Bradford,466904
2019-01-13,Met Office - Bradford,401610
2019-01-14,Met Office - Bradford,546142
2019-01-15,Met Office - Bradford,569376
2019-01-16,Met Office - Bradford,515693
2019-01-17,Met Office - Bradford,479236
2019-01-18,Met Office - Bradford,593648
2019-01-19,Met Office - Bradford,501700
2019-01-20,Met Office - Bradford,615148
2019-01-21,Met Office - Bradford,600620
2019-01-22,Met Office - Bradford,524345
2019-01-23,Met Office - Bradford,525697
2019-01-24,Met Office - Bradford,674026
2019-01-25,Met Office - Bradford,605638
2019-01-26,Met Office - Bradford,689841
2019-01-27,Met Office - Bradford,714268
2019-01-28,Met Office - Bradford,606034
2019-01-29,Met Office - Bradford,629256
2019-01-30,Met Office - Bradford,608144
2019-01-31,Met Office - Bradford,588780
2019-02-01,Met Office - Bradford,654563
2019-02-02,Met Office - Bradford,495699
2019-02-03,Met Office - Bradford,611140
2019-02-04,Met Office - Bradford,559821
2019-02-05,Met Office - Bradford,514916
2019-02-06,Met Office - Bradford,656539
2019-02-07,Met Office - Bradford,600414
2019-02-08,Met Office - Bradford,603753
2019-02-09,Met Office - Bradford,556484
2019-02-10,Met Office - Bradford,544660
2019-02-11,Met Office - Bradford,656557
2019-02-12,Met Office - Bradford,704906
2019-02-13,Met Office - Bradford,553966
2019-02-14,Met Office - Bradford,665889
2019-02-15,Met Office - Bradford,526092
2019-02-16,Met Office - Bradford,542935
2019-02-17,Met Office - Bradford,585078
2019-02-18,Met Office - Bradford,693438
2019-02-19,Met Office - Bradford,691896
2019-02-20,Met Office - Bradford,625205
2019-02-21,Met Office - Bradford,651160
2019-02-22,Met Office - Bradford,585079
2019-02-23,Met Office - Bradford,575862
2019-02-24,Met Office - Bradford,586309
2019-02-25,Met Office - Bradford,614656
2019-02-26,Met Office - Bradford,704951
2019-02-27,Met Office - Bradford,722395
2019-02-28,Met Office - Bradford,721797
2019-03-01,Met Office - Bradford,786667
2019-03-02,Met Office - Bradford,572753
2019-03-03,Met Office - Bradford,464424
2019-03-04,Met Office - Bradford,776666
2019-03-05,Met Office - Bradford,549411
2019-03-06,Met Office - Bradford,716841
2019-03-07,Met Office - Bradford,728112
2019-03-08,Met Office - Bradford,707019
2019-03-09,Met Office - Bradford,596620
2019-03-10,Met Office - Bradford,570495
2019-03-11,Met Office - Bradford,656703
2019-03-12,Met Office - Bradford,745573
2019-03-13,Met Office - Bradford,582017
2019-03-14,Met Office - Bradford,679943
2019-03-15,Met Office - Bradford,624271
2019-03-16,Met Office - Bradford,611850
2019-03-17,Met Office - Bradford,775808
2019-03-18,Met Office - Bradford,619772
2019-03-19,Met Office - Bradford,559123
2019-03-20,Met Office - Bradford,546257
2019-03-21,Met Office - Bradford,630787
2019-03-22,Met Office - Bradford,652110
2019-03-23,Met Office - Bradford,593792
2019-03-24,Met Office - Bradford,424728
2019-03-25,Met Office - Bradford,608990
2019-03-26,Met Office - Bradford,533979
2019-03-27,Met Office - Bradford,601752
2019-03-28,Met Office - Bradford,664837
2019-03-29,Met Office - Bradford,738125
2019-03-30,Met Office - Bradford,616266
2019-03-31,Met Office - Bradford,579057
2019-04-01,Met Office - Bradford,659425
2019-04-02,Met Office - Bradford,634940
2019-04-03,Met Office - Bradford,661084
2019-04-04,Met Office - Bradford,654453
2019-04-05,Met Office - Bradford,618471
2019-04-06,Met Office - Bradford,667068
2019-04-07,Met Office - Bradford,606205
2019-04-08,Met Office - Bradford,713357
2019-04-09,Met Office - Bradford,628870
2019-04-10,Met Office - Bradford,688571
2019-04-11,Met Office - Bradford,646443
2019-04-12,Met Office - Bradford,651434
2019-04-13,Met Office - Bradford,658234
2019-04-14,Met Office - Bradford,655470
2019-04-15,Met Office - Bradford,705728
2019-04-16,Met Office - Bradford,594817
2019-04-17,Met Office - Bradford,646579
2019-04-18,Met Office - Bradford,713770
2019-04-19,Met Office - Bradford,606526
2019-04-20,Met Office - Bradford,671331
2019-04-21,Met Office - Bradford,665217
2019-04-22,Met Office - Bradford,668684
2019-04-23,Met Office - Bradford,672195
2019-04-24,Met Office - Bradford,566031
2019-04-25,Met Office - Bradford,696287
2019-04-26,Met Office - Bradford,655318
2019-04-27,Met Office - Bradford,572038
2019-04-28,Met Office - Bradford,487452
2019-04-29,Met Office - Bradford,501224
2019-04-30,Met Office - Bradford,537693
2019-05-01,Met Office - Bradford,674494
2019-05-02,Met Office - Bradford,664329
2019-05-03,Met Office - Bradford,646458
2019-05-04,Met Office - Bradford,688272
2019-05-05,Met Office - Bradford,747373
2019-05-06,Met Office - Bradford,570625
2019-05-07,Met Office - Bradford,688809
2019-05-08,Met Office - Bradford,616504
2019-05-09,Met Office - Bradford,568086
2019-05-10,Met Office - Bradford,601440
2019-05-11,Met Office - Bradford,606356
2019-05-12,Met Office - Bradford,481549
2019-05-13,Met Office - Bradford,657854
2019-05-14,Met Office - Bradford,673500
2019-05-15,Met Office - Bradford,636999
2019-05-16,Met Office - Bradford,703030
2019-05-17,Met Office - Bradford,852053
2019-05-18,Met Office - Bradford,826128
2019-05-19,Met Office - Bradford,688663
2019-05-20,Met Office - Bradford,770172
2019-05-21,Met Office - Bradford,682926
2019-05-22,Met Office - Bradford,771588
2019-05-23,Met Office - Bradford,688941
2019-05-24,Met Office - Bradford,698674
2019-05-25,Met Office - Bradford,662201
2019-05-26,Met Office - Bradford,725980
2019-05-27,Met Office - Bradford,700257
2019-05-28,Met Office - Bradford,677254
2019-05-29,Met Office - Bradford,675797
2019-05-30,Met Office - Bradford,661631
2019-05-31,Met Office - Bradford,754937
2019-06-01,Met Office - Bradford,784627
2019-06-02,Met Office - Bradford,751002
2019-06-03,Met Office - Bradford,752174
2019-06-04,Met Office - Bradford,682954
2019-06-05,Met Office - Bradford,681964
2019-06-06,Met Office - Bradford,656092
2019-06-07,Met Office - Bradford,652066
2019-06-08,Met Office - Bradford,610569
2019-06-09,Met Office - Bradford,622952
2019-06-10,Met Office - Bradford,635075
2019-06-11,Met Office - Bradford,668175
2019-06-12,Met Office - Bradford,784641
2019-06-13,Met Office - Bradford,621980
