datestamp,centre_name,value
2024-01-01,Bradford - City Centre,8883
2024-01-02,Bradford - City Centre,17971
2024-01-03,Bradford - City Centre,9233
2024-01-04,Bradford - City Centre,27165
2024-01-05,Bradford - City Centre,16933
2024-01-06,Bradford - City Centre,17244
2024-01-07,Bradford - City Centre,8497
2024-01-08,Bradford - City Centre,16903
2024-01-09,Bradford - City Centre,25308
2024-01-10,Bradford - City Centre,16872
2024-01-11,Bradford - City Centre,25867
2024-01-12,Bradford - City Centre,8467
2024-01-13,Bradford - City Centre,26058
2024-01-14,Bradford - City Centre,18110
2024-01-15,Bradford - City Centre,27060
2024-01-16,Bradford - City Centre,8951
2024-01-17,Bradford - City Centre,18604
2024-01-18,Bradford - City Centre,28256
2024-01-19,Bradford - City Centre,17181
2024-01-20,Bradford - City Centre,15468
2024-01-21,Bradford - City Centre,13755
2024-01-22,Bradford - City Centre,25962
2024-01-23,Bradford - City Centre,45985
2024-01-24,Bradford - City Centre,6129
2024-01-25,Bradford - City Centre,16458
2024-01-26,Bradford - City Centre,8087
2024-01-27,Bradford - City Centre,16343
2024-01-28,Bradford - City Centre,8316
2024-01-29,Bradford - City Centre,7977
2024-01-30,Bradford - City Centre,17244
2024-01-31,Bradford - City Centre,7691
2024-02-01,Bradford - City Centre,17181
2024-02-02,Bradford - City Centre,16994
2024-02-03,Bradford - City Centre,13042
2024-02-04,Bradford - City Centre,9090
2024-02-05,Bradford - City Centre,9021
2024-02-06,Bradford - City Centre,8951
2024-02-07,Bradford - City Centre,24430
2024-02-08,Bradford - City Centre,28558
2024-02-09,Bradford - City Centre,32686
2024-02-10,Bradford - City Centre,8467
2024-02-11,Bradford - City Centre,16933
2024-02-12,Bradford - City Centre,8528
2024-02-13,Bradford - City Centre,17119
2024-02-14,Bradford - City Centre,34744
2024-02-15,Bradford - City Centre,25689
2024-02-16,Bradford - City Centre,16633
2024-02-17,Bradford - City Centre,17700
2024-02-18,Bradford - City Centre,18180
2024-02-19,Bradford - City Centre,24949
2024-02-20,Bradford - City Centre,17056
2024-02-21,Bradford - City Centre,16286
2024-02-22,Bradford - City Centre,40158
2024-02-23,Bradford - City Centre,16633
2024-02-24,Bradford - City Centre,34362
2024-02-25,Bradford - City Centre,33873
2024-02-26,Bradford - City Centre,33384
2024-02-27,Bradford - City Centre,68728
2024-02-28,Bradford - City Centre,17372
2024-02-29,Bradford - City Centre,8654
2024-03-01,Bradford - City Centre,31788
2024-03-02,Bradford - City Centre,24949
2024-03-03,Bradford - City Centre,8784
2024-03-04,Bradford - City Centre,17437
2024-03-05,Bradford - City Centre,43592
2024-03-06,Bradford - City Centre,41435
2024-03-07,Bradford - City Centre,42716
2024-03-09,Bradford - City Centre,25038
2024-03-10,Bradford - City Centre,16633
2024-03-11,Bradford - City Centre,34744
2024-03-12,Bradford - City Centre,33989
2024-03-13,Bradford - City Centre,22703
2024-03-14,Bradford - City Centre,25962
2024-03-15,Bradford - City Centre,24515
2024-03-16,Bradford - City Centre,39650
2024-03-17,Bradford - City Centre,8087
2024-03-18,Bradford - City Centre,17056
2024-03-19,Bradford - City Centre,16574
2024-03-20,Bradford - City Centre,21065
2024-03-21,Bradford - City Centre,22336
2024-03-22,Bradford - City Centre,24949
2024-03-23,Bradford - City Centre,33919
2024-03-24,Bradford - City Centre,9553
2024-03-25,Bradford - City Centre,18875
2024-03-26,Bradford - City Centre,32965
2024-03-27,Bradford - City Centre,13756
2024-03-28,Bradford - City Centre,9438
2024-03-29,Bradford - City Centre,19410
2024-03-30,Bradford - City Centre,23834
2024-03-31,Bradford - City Centre,19584
2024-04-01,Bradford - City Centre,17480
2024-04-02,Bradford - City Centre,17229
