datestamp,centre_name,value
2018-12-01,Wibsey Park - BD6 3,381930
2019-01-01,Wibsey Park - BD6 3,487204
2019-02-01,Wibsey Park - BD6 3,458396
2019-03-01,Wibsey Park - BD6 3,518190
2019-04-01,Wibsey Park - BD6 3,489773
2019-05-01,Wibsey Park - BD6 3,425662
2019-06-01,Wibsey Park - BD6 3,327734
2019-07-01,Wibsey Park - BD6 3,324022
2019-08-01,Wibsey Park - BD6 3,332105
2019-09-01,Wibsey Park - BD6 3,271192
2019-10-01,Wibsey Park - BD6 3,194618
2019-11-01,Wibsey Park - BD6 3,192305
2019-12-01,Wibsey Park - BD6 3,155293
2020-01-01,Wibsey Park - BD6 3,98725
2020-02-01,Wibsey Park - BD6 3,73948
2020-03-01,Wibsey Park - BD6 3,89225
2020-04-01,Wibsey Park - BD6 3,120156
2020-05-01,Wibsey Park - BD6 3,110576
2020-06-01,Wibsey Park - BD6 3,82618
2020-07-01,Wibsey Park - BD6 3,62459
2020-08-01,Wibsey Park - BD6 3,57741
2020-09-01,Wibsey Park - BD6 3,54154
2020-10-01,Wibsey Park - BD6 3,47408
2020-11-01,Wibsey Park - BD6 3,35884
2020-12-01,Wibsey Park - BD6 3,33679
2021-01-01,Wibsey Park - BD6 3,36404
2021-02-01,Wibsey Park - BD6 3,30243
2021-03-01,Wibsey Park - BD6 3,41168
2021-04-01,Wibsey Park - BD6 3,45150
2021-05-01,Wibsey Park - BD6 3,47433
2021-06-01,Wibsey Park - BD6 3,44814
2021-07-01,Wibsey Park - BD6 3,51648
2021-08-01,Wibsey Park - BD6 3,46864
2021-09-01,Wibsey Park - BD6 3,40887
2021-10-01,Wibsey Park - BD6 3,51390
2021-11-01,Wibsey Park - BD6 3,51475
2021-12-01,Wibsey Park - BD6 3,54987
2022-01-01,Wibsey Park - BD6 3,59113
2022-02-01,Wibsey Park - BD6 3,56024
2022-03-01,Wibsey Park - BD6 3,56700
2022-04-01,Wibsey Park - BD6 3,64403
2022-05-01,Wibsey Park - BD6 3,95631
2022-06-01,Wibsey Park - BD6 3,100213
2022-07-01,Wibsey Park - BD6 3,104802
2022-08-01,Wibsey Park - BD6 3,122773
2022-09-01,Wibsey Park - BD6 3,136573
2022-10-01,Wibsey Park - BD6 3,158550
2022-11-01,Wibsey Park - BD6 3,165086
2022-12-01,Wibsey Park - BD6 3,180803
2023-01-01,Wibsey Park - BD6 3,189268
2023-02-01,Wibsey Park - BD6 3,181856
2023-03-01,Wibsey Park - BD6 3,237886
2023-04-01,Wibsey Park - BD6 3,272441
2023-05-01,Wibsey Park - BD6 3,282491
2023-06-01,Wibsey Park - BD6 3,241695
2023-07-01,Wibsey Park - BD6 3,227770
2023-08-01,Wibsey Park - BD6 3,231492
2023-09-01,Wibsey Park - BD6 3,217910
2023-10-01,Wibsey Park - BD6 3,207638
2023-11-01,Wibsey Park - BD6 3,202295
2023-12-01,Wibsey Park - BD6 3,230723
2024-01-01,Wibsey Park - BD6 3,252869
2024-02-01,Wibsey Park - BD6 3,241696
2024-03-01,Wibsey Park - BD6 3,251490
2024-04-01,Wibsey Park - BD6 3,215406
2024-05-01,Wibsey Park - BD6 3,183551
2024-06-01,Wibsey Park - BD6 3,167189
2024-07-01,Wibsey Park - BD6 3,164609
2024-08-01,Wibsey Park - BD6 3,174520
2024-09-01,Wibsey Park - BD6 3,198316
2024-10-01,Wibsey Park - BD6 3,202581
2024-11-01,Wibsey Park - BD6 3,180105
2024-12-01,Wibsey Park - BD6 3,170501
2025-01-01,Wibsey Park - BD6 3,158331
2025-02-01,Wibsey Park - BD6 3,129441
2025-03-01,Wibsey Park - BD6 3,125732
2025-04-01,Wibsey Park - BD6 3,139905
2025-05-01,Wibsey Park - BD6 3,157649
2025-06-01,Wibsey Park - BD6 3,144902
2025-07-01,Wibsey Park - BD6 3,160635
2025-08-01,Wibsey Park - BD6 3,187540
2025-09-01,Wibsey Park - BD6 3,237400
2025-10-01,Wibsey Park - BD6 3,258072
2025-11-01,Wibsey Park - BD6 3,208441
2025-12-01,Wibsey Park - BD6 3,117445
