datestamp,centre_name,value
2018-12-01,Lister Park - BD9 4,524397
2019-01-01,Lister Park - BD9 4,444168
2019-02-01,Lister Park - BD9 4,433218
2019-03-01,Lister Park - BD9 4,518480
2019-04-01,Lister Park - BD9 4,491016
2019-05-01,Lister Park - BD9 4,414471
2019-06-01,Lister Park - BD9 4,381658
2019-07-01,Lister Park - BD9 4,402797
2019-08-01,Lister Park - BD9 4,353591
2019-09-01,Lister Park - BD9 4,310282
2019-10-01,Lister Park - BD9 4,213172
2019-11-01,Lister Park - BD9 4,196124
2019-12-01,Lister Park - BD9 4,203419
2020-01-01,Lister Park - BD9 4,130617
2020-02-01,Lister Park - BD9 4,93630
2020-03-01,Lister Park - BD9 4,116203
2020-04-01,Lister Park - BD9 4,106006
2020-05-01,Lister Park - BD9 4,117184
2020-06-01,Lister Park - BD9 4,125324
2020-07-01,Lister Park - BD9 4,116886
2020-08-01,Lister Park - BD9 4,74609
2020-09-01,Lister Park - BD9 4,71435
2020-10-01,Lister Park - BD9 4,61764
2020-11-01,Lister Park - BD9 4,47455
2020-12-01,Lister Park - BD9 4,42403
2021-01-01,Lister Park - BD9 4,44036
2021-02-01,Lister Park - BD9 4,51315
2021-03-01,Lister Park - BD9 4,68619
2021-04-01,Lister Park - BD9 4,74315
2021-05-01,Lister Park - BD9 4,74067
2021-06-01,Lister Park - BD9 4,70597
2021-07-01,Lister Park - BD9 4,80518
2021-08-01,Lister Park - BD9 4,86970
2021-09-01,Lister Park - BD9 4,79679
2021-10-01,Lister Park - BD9 4,84700
2021-11-01,Lister Park - BD9 4,81626
2021-12-01,Lister Park - BD9 4,75978
2022-01-01,Lister Park - BD9 4,82794
2022-02-01,Lister Park - BD9 4,60625
2022-03-01,Lister Park - BD9 4,81451
2022-04-01,Lister Park - BD9 4,99809
2022-05-01,Lister Park - BD9 4,116361
2022-06-01,Lister Park - BD9 4,134191
2022-07-01,Lister Park - BD9 4,133177
2022-08-01,Lister Park - BD9 4,157543
2022-09-01,Lister Park - BD9 4,213326
2022-10-01,Lister Park - BD9 4,215491
2022-11-01,Lister Park - BD9 4,191342
2022-12-01,Lister Park - BD9 4,177712
2023-01-01,Lister Park - BD9 4,191382
2023-02-01,Lister Park - BD9 4,184615
2023-03-01,Lister Park - BD9 4,230105
2023-04-01,Lister Park - BD9 4,323401
2023-05-01,Lister Park - BD9 4,428071
2023-06-01,Lister Park - BD9 4,324254
2023-07-01,Lister Park - BD9 4,291390
2023-08-01,Lister Park - BD9 4,320420
2023-09-01,Lister Park - BD9 4,264204
2023-10-01,Lister Park - BD9 4,262148
2023-11-01,Lister Park - BD9 4,270506
2023-12-01,Lister Park - BD9 4,315846
2024-01-01,Lister Park - BD9 4,281297
2024-02-01,Lister Park - BD9 4,254396
2024-03-01,Lister Park - BD9 4,335435
2024-04-01,Lister Park - BD9 4,303964
2024-05-01,Lister Park - BD9 4,292420
2024-06-01,Lister Park - BD9 4,279029
2024-07-01,Lister Park - BD9 4,265270
2024-08-01,Lister Park - BD9 4,270722
2024-09-01,Lister Park - BD9 4,253589
2024-10-01,Lister Park - BD9 4,221814
2024-11-01,Lister Park - BD9 4,217029
2024-12-01,Lister Park - BD9 4,220996
2025-01-01,Lister Park - BD9 4,193595
2025-02-01,Lister Park - BD9 4,174980
2025-03-01,Lister Park - BD9 4,207671
2025-04-01,Lister Park - BD9 4,217816
2025-05-01,Lister Park - BD9 4,242820
2025-06-01,Lister Park - BD9 4,206887
2025-07-01,Lister Park - BD9 4,170978
2025-08-01,Lister Park - BD9 4,191227
2025-09-01,Lister Park - BD9 4,236198
2025-10-01,Lister Park - BD9 4,264877
2025-11-01,Lister Park - BD9 4,248795
