datestamp,centre_name,value
2024-05-19,Bradford - Penistone Hill,6200
2024-05-20,Bradford - Penistone Hill,6118
2024-05-21,Bradford - Penistone Hill,6106
2024-05-22,Bradford - Penistone Hill,6093
2024-05-23,Bradford - Penistone Hill,6080
2024-05-24,Bradford - Penistone Hill,6067
2024-05-25,Bradford - Penistone Hill,6055
2024-05-26,Bradford - Penistone Hill,6042
2024-05-27,Bradford - Penistone Hill,5962
2024-05-28,Bradford - Penistone Hill,5951
2024-05-29,Bradford - Penistone Hill,5941
2024-05-30,Bradford - Penistone Hill,5930
2024-05-31,Bradford - Penistone Hill,5919
2024-06-01,Bradford - Penistone Hill,5908
2024-06-02,Bradford - Penistone Hill,5898
2024-06-03,Bradford - Penistone Hill,5818
2024-06-04,Bradford - Penistone Hill,5807
2024-06-05,Bradford - Penistone Hill,5795
2024-06-06,Bradford - Penistone Hill,5784
2024-06-07,Bradford - Penistone Hill,5773
2024-06-08,Bradford - Penistone Hill,5762
2024-06-09,Bradford - Penistone Hill,5751
2024-06-10,Bradford - Penistone Hill,5670
2024-06-11,Bradford - Penistone Hill,5659
2024-06-12,Bradford - Penistone Hill,5647
2024-06-13,Bradford - Penistone Hill,5636
2024-06-14,Bradford - Penistone Hill,5624
2024-06-15,Bradford - Penistone Hill,5612
2024-06-16,Bradford - Penistone Hill,5601
2025-01-03,Bradford - Penistone Hill,5328
2025-02-03,Bradford - Penistone Hill,4972
2025-03-03,Bradford - Penistone Hill,4360
2025-04-03,Bradford - Penistone Hill,3929
2025-05-03,Bradford - Penistone Hill,4444
2025-06-20,Bradford - Penistone Hill,4858
2025-06-21,Bradford - Penistone Hill,4598
