code,name,colour
E05001341,Baildon,pink
E05001342,Bingley,pink
E05001343,Bingley Rural,pink
E05001344,Bolton and Undercliffe,pink
E05001345,Bowling and Barkerend,pink
E05001346,Bradford Moor,pink
E05001347,City,pink
E05001348,Clayton and Fairweather Green,pink
E05001349,Craven,pink
E05001350,Eccleshill,pink
E05001351,Great Horton,pink
E05001352,Heaton,pink
E05001353,Idle and Thackley,pink
E05001354,Ilkley,pink
E05001355,Keighley Central,pink
E05001356,Keighley East,pink
E05001357,Keighley West,pink
E05001358,Little Horton,pink
E05001359,Manningham,pink
E05001360,Queensbury,pink
E05001361,Royds,pink
E05001362,Shipley,pink
E05001363,Thornton and Allerton,pink
E05001364,Toller,pink
E05001365,Tong,pink
E05001366,Wharfedale,pink
E05001367,Wibsey,pink
E05001368,Windhill and Wrose,pink
E05001369,Worth Valley,pink
E05001370,Wyke,pink
