event_name,start,tickets
The Archers Podcast Recording,2025-09-18 17:00:00,341
Bradford Open Mic Night,2025-09-18 19:00:00,61
BBC Radio 4 Front Row,2025-09-18 19:00:00,406
BBC Introducing Showcase,2025-09-18 21:00:00,215
BBC Radio 4 Start the Week,2025-09-19 11:00:00,179
BBC Writers: Who We Are & What We Do,2025-09-19 12:15:00,61
BBC Radio Club,2025-09-19 13:00:00,87
CSL Poetry Shorts: Mind & Body,2025-09-19 14:00:00,80
Language is a Queer Thing Workshop,2025-09-19 14:00:00,16
CSL Poetry Shorts: Poetic Justice,2025-09-19 15:00:00,80
CSL Poetry Shorts: Music & Lyrics,2025-09-19 16:00:00,73
BBC Radio 4 The Adverb,2025-09-19 19:00:00,309
Sisterverse Poetry Night,2025-09-19 19:00:00,46
Antony Szmierek,2025-09-19 20:30:00,389
CSL Poetry Shorts: The Power of the Women of Bradford,2025-09-20 10:30:00,68
CSL Poetry Gala: Part I,2025-09-20 12:00:00,181
Sustainability Panel: The Present,2025-09-20 12:30:00,43
Book of Bradford Launch,2025-09-20 13:30:00,137
CSL Poetry Shorts: Migration & Belonging,2025-09-20 14:15:00,67
The Verb,2025-09-20 14:30:00,327
CSL Poetry Shorts: Words in the Wild,2025-09-20 15:30:00,66
BBC Introducing Panel,2025-09-20 16:15:00,47
Word Out Sharing Event,2025-09-20 17:30:00,20
BBC Radio 4 Loose Ends,2025-09-20 18:00:00,861
An Evening with The Beehive Poets: Poetry Playground,2025-09-20 19:00:00,36
Listen In: Jeremy Dyson & Mark Gatiss,2025-09-20 20:00:00,1016
Yoga & Poetry Workshop,2025-09-21 10:00:00,16
Peregrinations: Urban Nature Poetry Walk,2025-09-21 10:00:00,36
BBC Radio 4 Beyond Belief,2025-09-21 10:30:00,131
Sustainability Panel: Shadows and Light,2025-09-21 11:00:00,33
CSL Poetry Gala: Part II,2025-09-21 12:15:00,190
Sustainability Panel: Future,2025-09-21 12:30:00,24
Language is a Queer Thing Showcase,2025-09-21 12:30:00,116
CSL Poetry Shorts: Mills & Hills,2025-09-21 14:15:00,60
Forward Prize Launch,2025-09-21 14:15:00,91
CSL Poetry Shorts: Love in the 21st Century,2025-09-21 15:30:00,67
Listen In: Nick Ahad,2025-09-21 15:30:00,89
Words First Showcase,2025-09-21 16:00:00,142
Alfred Bradley Bursary Award (ABBA),2025-09-21 18:00:00,56
