start,geography_type,geography_code,count_of_tickets
ALL,postcode_area,BD3,216
ALL,postcode_area,BD4,479
ALL,postcode_area,BD5,343
ALL,postcode_area,BD6,706
ALL,postcode_area,BD7,462
ALL,postcode_area,BD8,416
ALL,postcode_area,BD9,635
ALL,postcode_area,LS29,736
ALL,postcode_area,OTHER,11097
2025-01-10 18:30:00,oslaua,E06000002,6
2025-01-10 18:30:00,oslaua,E06000004,10
2025-01-10 18:30:00,oslaua,E06000005,2
2025-01-10 18:30:00,oslaua,E06000008,5
2025-01-10 18:30:00,oslaua,E06000010,41
2025-01-10 18:30:00,oslaua,E06000011,26
2025-01-10 18:30:00,oslaua,E06000012,2
2025-01-10 18:30:00,oslaua,E06000013,2
2025-01-10 18:30:00,oslaua,E06000014,39
2025-01-10 18:30:00,oslaua,E06000018,3
2025-01-10 18:30:00,oslaua,E06000021,9
2025-01-10 18:30:00,oslaua,E06000026,4
2025-01-10 18:30:00,oslaua,E06000030,3
2025-01-10 18:30:00,oslaua,E06000044,1
2025-01-10 18:30:00,oslaua,E06000049,5
2025-01-10 18:30:00,oslaua,E06000050,2
2025-01-10 18:30:00,oslaua,E06000056,1
2025-01-10 18:30:00,oslaua,E06000057,1
2025-01-10 18:30:00,oslaua,E06000061,4
2025-01-10 18:30:00,oslaua,E06000062,2
2025-01-10 18:30:00,oslaua,E06000063,2
2025-01-10 18:30:00,oslaua,E06000064,4
2025-01-10 18:30:00,oslaua,E06000065,332
2025-01-10 18:30:00,oslaua,E07000035,5
2025-01-10 18:30:00,oslaua,E07000062,5
2025-01-10 18:30:00,oslaua,E07000068,1
2025-01-10 18:30:00,oslaua,E07000081,2
2025-01-10 18:30:00,oslaua,E07000099,2
2025-01-10 18:30:00,oslaua,E07000118,2
2025-01-10 18:30:00,oslaua,E07000122,13
2025-01-10 18:30:00,oslaua,E07000125,4
2025-01-10 18:30:00,oslaua,E07000128,1
2025-01-10 18:30:00,oslaua,E07000130,1
2025-01-10 18:30:00,oslaua,E07000138,2
2025-01-10 18:30:00,oslaua,E07000140,2
2025-01-10 18:30:00,oslaua,E07000141,4
2025-01-10 18:30:00,oslaua,E07000175,2
2025-01-10 18:30:00,oslaua,E07000177,1
2025-01-10 18:30:00,oslaua,E07000214,1
2025-01-10 18:30:00,oslaua,E07000215,2
2025-01-10 18:30:00,oslaua,E07000216,3
2025-01-10 18:30:00,oslaua,E08000002,5
2025-01-10 18:30:00,oslaua,E08000003,24
2025-01-10 18:30:00,oslaua,E08000004,4
2025-01-10 18:30:00,oslaua,E08000005,6
2025-01-10 18:30:00,oslaua,E08000006,1
2025-01-10 18:30:00,oslaua,E08000008,2
2025-01-10 18:30:00,oslaua,E08000009,18
2025-01-10 18:30:00,oslaua,E08000012,1
2025-01-10 18:30:00,oslaua,E08000013,4
2025-01-10 18:30:00,oslaua,E08000014,7
2025-01-10 18:30:00,oslaua,E08000015,1
2025-01-10 18:30:00,oslaua,E08000016,10
2025-01-10 18:30:00,oslaua,E08000017,7
2025-01-10 18:30:00,oslaua,E08000018,6
2025-01-10 18:30:00,oslaua,E08000019,26
2025-01-10 18:30:00,oslaua,E08000021,1
2025-01-10 18:30:00,oslaua,E08000022,2
2025-01-10 18:30:00,oslaua,E08000024,4
2025-01-10 18:30:00,oslaua,E08000025,1
2025-01-10 18:30:00,oslaua,E08000026,3
2025-01-10 18:30:00,oslaua,E08000029,4
2025-01-10 18:30:00,oslaua,E08000030,2
2025-01-10 18:30:00,oslaua,E08000032,6109
2025-01-10 18:30:00,oslaua,E08000033,464
2025-01-10 18:30:00,oslaua,E08000034,375
2025-01-10 18:30:00,oslaua,E08000035,1190
2025-01-10 18:30:00,oslaua,E08000036,51
2025-01-10 18:30:00,oslaua,E08000037,1
2025-01-10 18:30:00,oslaua,E09000007,4
2025-01-10 18:30:00,oslaua,E09000009,1
2025-01-10 18:30:00,oslaua,E09000011,5
2025-01-10 18:30:00,oslaua,E09000013,2
2025-01-10 18:30:00,oslaua,E09000014,6
2025-01-10 18:30:00,oslaua,E09000019,6
2025-01-10 18:30:00,oslaua,E09000026,3
2025-01-10 18:30:00,oslaua,E09000027,6
2025-01-10 18:30:00,oslaua,E09000028,2
2025-01-10 18:30:00,oslaua,E09000029,1
2025-01-10 18:30:00,oslaua,E09000030,5
2025-01-10 18:30:00,oslaua,E09000032,1
2025-01-10 18:30:00,oslaua,MISSING,2805
2025-01-10 18:30:00,oslaua,N09000003,2
2025-01-10 18:30:00,oslaua,S12000014,6
2025-01-10 18:30:00,oslaua,S12000023,1
2025-01-10 18:30:00,oslaua,S12000047,2
2025-01-10 18:30:00,oslaua,S12000048,5
2025-01-10 18:30:00,oslaua,S12000049,16
2025-01-10 18:30:00,oslaua,UNMATCHED,35
2025-01-10 18:30:00,oslaua,W06000002,4
2025-01-10 18:30:00,oslaua,W06000003,8
2025-01-10 18:30:00,oslaua,W06000006,5
2025-01-10 18:30:00,oslaua,W06000011,1
2025-01-10 18:30:00,oslaua,W06000015,9
2025-01-10 18:30:00,osward,E05001341,388
2025-01-10 18:30:00,osward,E05001342,379
2025-01-10 18:30:00,osward,E05001343,257
2025-01-10 18:30:00,osward,E05001344,242
2025-01-10 18:30:00,osward,E05001345,113
2025-01-10 18:30:00,osward,E05001346,38
2025-01-10 18:30:00,osward,E05001347,398
2025-01-10 18:30:00,osward,E05001348,254
2025-01-10 18:30:00,osward,E05001349,96
2025-01-10 18:30:00,osward,E05001350,190
2025-01-10 18:30:00,osward,E05001351,93
2025-01-10 18:30:00,osward,E05001352,221
2025-01-10 18:30:00,osward,E05001353,240
2025-01-10 18:30:00,osward,E05001354,206
2025-01-10 18:30:00,osward,E05001355,23
2025-01-10 18:30:00,osward,E05001356,176
2025-01-10 18:30:00,osward,E05001357,49
2025-01-10 18:30:00,osward,E05001358,150
2025-01-10 18:30:00,osward,E05001359,81
2025-01-10 18:30:00,osward,E05001360,179
2025-01-10 18:30:00,osward,E05001361,158
2025-01-10 18:30:00,osward,E05001362,924
2025-01-10 18:30:00,osward,E05001363,344
2025-01-10 18:30:00,osward,E05001364,139
2025-01-10 18:30:00,osward,E05001365,149
2025-01-10 18:30:00,osward,E05001366,110
2025-01-10 18:30:00,osward,E05001367,151
2025-01-10 18:30:00,osward,E05001368,158
2025-01-10 18:30:00,osward,E05001369,83
2025-01-10 18:30:00,osward,E05001370,120
2025-01-10 18:30:00,osward,OTHER,5720
2025-01-10 18:30:00,postcode_area,BD1,243
2025-01-10 18:30:00,postcode_area,BD10,283
2025-01-10 18:30:00,postcode_area,BD12,126
2025-01-10 18:30:00,postcode_area,BD13,393
2025-01-10 18:30:00,postcode_area,BD14,162
2025-01-10 18:30:00,postcode_area,BD15,210
2025-01-10 18:30:00,postcode_area,BD16,491
2025-01-10 18:30:00,postcode_area,BD17,482
2025-01-10 18:30:00,postcode_area,BD18,974
2025-01-10 18:30:00,postcode_area,BD2,432
2025-01-10 18:30:00,postcode_area,BD20,203
2025-01-10 18:30:00,postcode_area,BD21,86
2025-01-10 18:30:00,postcode_area,BD22,114
2025-01-10 18:30:00,postcode_area,BD3,70
2025-01-10 18:30:00,postcode_area,BD4,231
2025-01-10 18:30:00,postcode_area,BD5,212
2025-01-10 18:30:00,postcode_area,BD6,322
2025-01-10 18:30:00,postcode_area,BD7,231
2025-01-10 18:30:00,postcode_area,BD8,243
2025-01-10 18:30:00,postcode_area,BD9,263
2025-01-10 18:30:00,postcode_area,LS29,338
2025-01-10 18:30:00,postcode_area,OTHER,5720
2025-01-11 18:30:00,oslaua,E06000001,3
2025-01-11 18:30:00,oslaua,E06000002,3
2025-01-11 18:30:00,oslaua,E06000004,6
2025-01-11 18:30:00,oslaua,E06000005,7
2025-01-11 18:30:00,oslaua,E06000006,3
2025-01-11 18:30:00,oslaua,E06000008,9
2025-01-11 18:30:00,oslaua,E06000010,33
2025-01-11 18:30:00,oslaua,E06000011,19
2025-01-11 18:30:00,oslaua,E06000012,2
2025-01-11 18:30:00,oslaua,E06000013,2
2025-01-11 18:30:00,oslaua,E06000014,43
2025-01-11 18:30:00,oslaua,E06000016,8
2025-01-11 18:30:00,oslaua,E06000018,2
2025-01-11 18:30:00,oslaua,E06000025,1
2025-01-11 18:30:00,oslaua,E06000030,2
2025-01-11 18:30:00,oslaua,E06000035,2
2025-01-11 18:30:00,oslaua,E06000049,2
2025-01-11 18:30:00,oslaua,E06000050,6
2025-01-11 18:30:00,oslaua,E06000051,4
2025-01-11 18:30:00,oslaua,E06000054,1
2025-01-11 18:30:00,oslaua,E06000056,1
2025-01-11 18:30:00,oslaua,E06000060,2
2025-01-11 18:30:00,oslaua,E06000063,2
2025-01-11 18:30:00,oslaua,E06000065,322
2025-01-11 18:30:00,oslaua,E07000032,2
2025-01-11 18:30:00,oslaua,E07000035,2
2025-01-11 18:30:00,oslaua,E07000082,4
2025-01-11 18:30:00,oslaua,E07000115,2
2025-01-11 18:30:00,oslaua,E07000117,5
2025-01-11 18:30:00,oslaua,E07000118,3
2025-01-11 18:30:00,oslaua,E07000121,13
2025-01-11 18:30:00,oslaua,E07000122,6
2025-01-11 18:30:00,oslaua,E07000123,2
2025-01-11 18:30:00,oslaua,E07000124,2
2025-01-11 18:30:00,oslaua,E07000125,1
2025-01-11 18:30:00,oslaua,E07000126,6
2025-01-11 18:30:00,oslaua,E07000127,5
2025-01-11 18:30:00,oslaua,E07000130,10
2025-01-11 18:30:00,oslaua,E07000142,3
2025-01-11 18:30:00,oslaua,E07000146,2
2025-01-11 18:30:00,oslaua,E07000171,2
2025-01-11 18:30:00,oslaua,E07000175,5
2025-01-11 18:30:00,oslaua,E07000179,3
2025-01-11 18:30:00,oslaua,E07000198,2
2025-01-11 18:30:00,oslaua,E07000209,1
2025-01-11 18:30:00,oslaua,E07000222,3
2025-01-11 18:30:00,oslaua,E07000225,2
2025-01-11 18:30:00,oslaua,E07000229,3
2025-01-11 18:30:00,oslaua,E07000234,5
2025-01-11 18:30:00,oslaua,E07000244,6
2025-01-11 18:30:00,oslaua,E08000002,21
2025-01-11 18:30:00,oslaua,E08000003,38
2025-01-11 18:30:00,oslaua,E08000004,9
2025-01-11 18:30:00,oslaua,E08000005,4
2025-01-11 18:30:00,oslaua,E08000006,11
2025-01-11 18:30:00,oslaua,E08000007,16
2025-01-11 18:30:00,oslaua,E08000009,9
2025-01-11 18:30:00,oslaua,E08000010,2
2025-01-11 18:30:00,oslaua,E08000012,12
2025-01-11 18:30:00,oslaua,E08000014,13
2025-01-11 18:30:00,oslaua,E08000015,2
2025-01-11 18:30:00,oslaua,E08000016,9
2025-01-11 18:30:00,oslaua,E08000017,12
2025-01-11 18:30:00,oslaua,E08000018,12
2025-01-11 18:30:00,oslaua,E08000019,33
2025-01-11 18:30:00,oslaua,E08000021,4
2025-01-11 18:30:00,oslaua,E08000022,2
2025-01-11 18:30:00,oslaua,E08000025,10
2025-01-11 18:30:00,oslaua,E08000026,6
2025-01-11 18:30:00,oslaua,E08000027,9
2025-01-11 18:30:00,oslaua,E08000032,6434
2025-01-11 18:30:00,oslaua,E08000033,701
2025-01-11 18:30:00,oslaua,E08000034,495
