geography_code,geography_name,Very good health,Good health,Fair health,Bad health,Very bad health
E01010568,Bradford 016A,47.8,35.2,12.0,3.5,1.5
E01010569,Bradford 016B,44.0,33.2,14.6,6.3,1.9
E01010570,Bradford 018A,52.1,32.0,11.5,3.9,0.5
E01010571,Bradford 016C,45.5,36.2,12.9,4.3,1.1
E01010572,Bradford 016D,46.4,37.2,13.2,2.4,0.9
E01010573,Bradford 013A,51.4,33.7,11.0,2.8,1.0
E01010574,Bradford 013B,47.6,33.9,13.0,4.3,1.1
E01010575,Bradford 013C,44.8,38.2,12.6,3.9,0.5
E01010576,Bradford 016E,49.1,35.5,11.2,3.0,1.3
E01010577,Bradford 013D,52.4,34.8,10.1,2.1,0.7
E01010578,Bradford 015A,45.6,30.4,15.6,6.6,1.8
E01010579,Bradford 010A,49.6,34.5,12.7,2.6,0.6
E01010580,Bradford 010B,53.5,31.1,10.5,4.1,0.8
E01010581,Bradford 015B,50.2,34.7,11.3,2.9,1.0
E01010582,Bradford 015C,48.6,33.8,12.2,4.3,1.2
E01010583,Bradford 018B,46.3,34.7,12.9,4.0,2.0
E01010584,Bradford 015D,42.5,33.1,16.7,6.3,1.3
E01010585,Bradford 015E,46.9,33.4,14.5,4.4,0.7
E01010586,Bradford 022A,53.9,32.6,10.5,2.1,0.9
E01010587,Bradford 022B,54.1,32.9,9.9,2.2,0.9
E01010588,Bradford 022C,43.9,37.4,13.6,4.0,1.2
E01010589,Bradford 022D,46.8,37.2,12.7,2.8,0.5
E01010590,Bradford 031A,53.4,32.8,10.5,2.6,0.7
E01010591,Bradford 022E,41.7,33.4,16.9,6.6,1.4
E01010592,Bradford 031B,43.1,37.3,14.7,3.4,1.4
E01010593,Bradford 022F,47.1,35.3,12.2,4.5,0.9
E01010594,Bradford 031C,46.0,36.6,12.8,3.7,0.9
E01010595,Bradford 031D,45.6,35.1,12.8,5.0,1.5
E01010596,Bradford 022G,46.2,34.8,14.3,3.7,1.0
E01010597,Bradford 028A,46.1,34.7,13.6,4.1,1.4
E01010598,Bradford 028B,39.5,40.1,15.7,3.7,1.0
E01010599,Bradford 028C,45.8,36.2,13.2,4.3,0.4
E01010600,Bradford 028D,45.2,35.5,12.9,5.0,1.4
E01010601,Bradford 032A,44.8,36.8,13.5,3.4,1.5
E01010602,Bradford 028E,45.4,36.5,13.2,3.4,1.4
E01010603,Bradford 024A,46.2,34.6,13.5,4.5,1.2
E01010604,Bradford 024B,43.8,37.4,14.2,3.3,1.3
E01010605,Bradford 024C,40.9,34.3,16.0,6.8,1.9
E01010606,Bradford 064E,44.4,31.5,15.5,5.6,3.0
E01010607,Bradford 064C,42.6,35.5,14.0,5.7,2.2
E01010608,Bradford 045A,48.6,31.9,12.5,5.7,1.4
E01010609,Bradford 046A,41.9,33.4,16.9,5.7,2.1
E01010610,Bradford 046B,46.2,30.9,14.3,6.5,2.1
E01010611,Bradford 046C,44.3,35.1,14.0,4.9,1.7
E01010612,Bradford 052A,44.2,32.9,16.1,5.4,1.5
E01010613,Bradford 045B,46.1,32.3,12.8,7.2,1.6
E01010614,Bradford 046D,47.0,32.1,13.6,5.7,1.5
E01010615,Bradford 053A,41.8,36.4,14.3,5.6,1.8
E01010616,Bradford 053B,46.0,33.6,12.8,5.8,1.8
E01010617,Bradford 064B,43.6,31.6,14.5,7.0,3.3
E01010618,Bradford 038A,48.3,32.4,13.0,4.7,1.6
E01010619,Bradford 038B,48.9,35.6,10.5,4.1,1.0
E01010620,Bradford 042A,44.2,33.9,13.8,5.6,2.5
E01010621,Bradford 042B,48.4,35.7,10.4,4.0,1.5
E01010622,Bradford 042C,44.1,35.0,13.3,5.9,1.7
E01010623,Bradford 042D,41.5,31.6,16.6,7.9,2.4
E01010624,Bradford 042E,45.2,32.8,14.0,5.9,2.2
E01010625,Bradford 038C,43.1,34.3,15.0,5.7,2.0
E01010626,Bradford 038D,44.4,38.0,11.2,5.0,1.4
E01010627,Bradford 038E,46.7,34.4,13.4,4.6,1.0
E01010628,Bradford 040A,40.0,36.9,16.9,4.8,1.4
E01010629,Bradford 040B,43.4,38.2,12.6,4.8,1.2
E01010630,Bradford 040C,46.3,34.7,13.3,4.1,1.6
E01010631,Bradford 040D,45.0,32.5,14.9,5.7,1.8
E01010632,Bradford 040E,42.9,35.7,13.7,5.9,1.8
E01010633,Bradford 047A,45.8,33.4,15.4,4.4,1.0
E01010634,Bradford 047B,47.3,32.8,14.2,4.7,1.0
E01010635,Bradford 047C,37.0,32.9,18.2,9.4,2.5
E01010636,Bradford 047D,42.2,39.3,13.6,3.5,1.4
E01010637,Bradford 047E,54.1,31.3,11.2,2.9,0.6
E01010638,Bradford 062A,40.1,40.8,14.9,3.1,1.0
E01010639,Bradford 063C,46.6,36.1,13.1,3.5,0.8
E01010640,Bradford 063A,45.4,36.6,14.0,3.2,0.9
E01010641,Bradford 063B,42.6,35.6,13.6,4.9,3.3
E01010642,Bradford 062B,48.5,34.1,13.4,3.1,0.8
E01010643,Bradford 062E,46.7,34.7,12.1,4.3,2.1
E01010644,Bradford 062D,50.8,33.3,12.3,2.8,0.8
E01010645,Bradford 062C,50.0,35.0,11.0,3.2,0.8
E01010646,Bradford 001A,50.1,34.6,12.8,2.2,0.4
E01010647,Bradford 001B,48.6,31.9,15.2,3.3,1.0
E01010648,Bradford 001C,49.5,34.4,12.0,3.2,1.0
E01010649,Bradford 027A,41.8,38.1,14.2,4.6,1.3
E01010650,Bradford 027B,45.4,35.7,11.8,5.4,1.6
E01010651,Bradford 032B,49.2,34.9,11.1,3.8,1.0
E01010652,Bradford 026A,38.7,37.5,17.0,4.9,1.9
E01010653,Bradford 026B,42.2,34.0,16.0,6.1,1.7
E01010654,Bradford 027C,46.1,32.9,13.9,5.4,1.6
E01010655,Bradford 026C,42.0,35.8,14.9,5.3,1.9
E01010656,Bradford 026D,43.4,36.0,14.8,4.7,1.2
E01010657,Bradford 026E,42.7,38.4,13.8,4.2,0.9
E01010658,Bradford 041A,46.3,32.9,15.2,4.2,1.4
E01010659,Bradford 049A,42.3,34.4,15.4,6.0,1.9
E01010662,Bradford 049D,46.7,34.5,13.1,4.7,0.9
E01010663,Bradford 050A,45.6,34.2,12.9,5.2,2.1
E01010664,Bradford 049E,43.1,37.8,13.3,4.4,1.4
E01010665,Bradford 050B,43.6,36.6,14.2,3.6,2.0
E01010666,Bradford 050C,40.5,32.5,14.5,10.1,2.4
E01010667,Bradford 050D,49.4,33.2,11.5,4.4,1.6
E01010668,Bradford 055A,43.6,37.5,14.9,3.2,0.8
E01010669,Bradford 030A,46.0,36.4,12.2,3.8,1.6
E01010670,Bradford 029A,45.2,35.8,14.5,3.2,1.2
E01010671,Bradford 029B,48.3,34.1,12.1,3.9,1.6
E01010672,Bradford 036A,51.8,34.5,10.1,2.8,0.8
E01010673,Bradford 029C,41.7,37.5,13.8,5.2,1.9
E01010674,Bradford 030B,49.2,36.2,9.5,3.9,1.2
E01010675,Bradford 029D,44.5,34.7,15.6,4.0,1.3
E01010676,Bradford 034A,45.5,35.0,13.3,4.6,1.6
E01010678,Bradford 036B,43.0,34.7,15.0,5.5,1.8
E01010679,Bradford 034B,40.3,37.9,14.5,5.1,2.2
E01010680,Bradford 019A,40.6,34.7,16.8,6.2,1.7
E01010681,Bradford 019B,56.3,31.4,9.8,1.7,0.7
E01010682,Bradford 019C,38.6,34.3,18.2,7.3,1.6
E01010683,Bradford 017A,56.3,32.7,8.7,1.7,0.6
E01010684,Bradford 017B,42.8,38.3,14.7,3.4,0.9
E01010685,Bradford 017C,46.2,37.7,10.7,4.0,1.3
E01010686,Bradford 017D,48.7,34.0,12.3,4.0,1.0
E01010687,Bradford 019D,52.1,36.0,8.8,2.6,0.6
E01010688,Bradford 019E,47.8,35.6,10.9,4.3,1.4
E01010689,Bradford 019F,52.0,32.3,12.0,2.7,1.0
E01010690,Bradford 019G,42.6,36.1,15.2,4.5,1.5
E01010691,Bradford 002A,58.1,28.7,10.3,2.1,0.8
E01010692,Bradford 001D,49.7,32.3,12.4,4.1,1.5
