geography_code,geography_name,Very good health,Good health,Fair health,Bad health,Very bad health,order
E05001365,Tong,44.6,33.5,14.3,5.9,1.7,-7.6000000000000005
E05001359,Manningham,42.7,35.6,14.2,5.6,2.0,-7.6
E05001345,Bowling and Barkerend,45.6,33.0,14.0,5.4,1.9,-7.300000000000001
E05001346,Bradford Moor,45.5,34.4,13.1,5.3,1.7,-7.0
E05001361,Royds,44.5,33.6,15.1,5.4,1.4,-6.800000000000001
E05001358,Little Horton,47.2,33.4,12.7,5.1,1.7,-6.8
E05001364,Toller (Bradford),45.2,35.3,12.7,5.1,1.7,-6.8
E05001347,City (Bradford),47.5,34.3,11.6,5.2,1.5,-6.7
E05001351,Great Horton,44.6,34.8,13.9,5.1,1.6,-6.699999999999999
E05001355,Keighley Central,43.3,35.0,15.1,5.3,1.3,-6.6
E05001363,Thornton and Allerton,44.8,34.8,14.1,4.9,1.5,-6.4
E05001348,Clayton and Fairweather Green,44.6,34.9,14.2,4.9,1.4,-6.300000000000001
E05001367,Wibsey,44.5,34.5,14.7,5.0,1.3,-6.3
E05001350,Eccleshill,44.2,35.8,13.8,4.8,1.4,-6.199999999999999
E05001357,Keighley West,43.7,35.0,15.2,4.8,1.4,-6.199999999999999
E05001368,Windhill and Wrose,44.2,35.4,14.3,4.5,1.5,-6.0
E05001370,Wyke,44.4,34.6,15.2,4.5,1.4,-5.9
E05001344,Bolton and Undercliffe,43.8,36.4,14.0,4.5,1.3,-5.8
E05001362,Shipley,46.7,34.4,13.3,4.3,1.3,-5.6
E05001352,Heaton (Bradford),47.0,34.8,12.9,4.0,1.3,-5.3
E05001342,Bingley,48.9,33.3,12.7,4.1,1.0,-5.1
E05001360,Queensbury (Bradford),47.6,35.2,12.3,3.7,1.3,-5.0
E05001356,Keighley East,46.5,35.4,13.2,3.7,1.2,-4.9
E05001353,Idle and Thackley,48.3,34.6,12.2,3.7,1.1,-4.800000000000001
E05001343,Bingley Rural,47.8,34.9,12.6,3.7,1.0,-4.7
E05001341,Baildon,48.2,35.1,12.1,3.5,1.0,-4.5
E05001349,Craven,47.3,35.2,13.1,3.3,1.1,-4.4
E05001354,Ilkley,52.8,31.1,11.9,3.3,0.9,-4.2
E05001369,Worth Valley,49.0,34.6,12.1,3.2,1.0,-4.2
E05001366,Wharfedale (Bradford),54.5,32.3,10.2,2.4,0.7,-3.0999999999999996
