metric,count
"GS (Gateway Review) audience engagements with Culture, Heritage or Sport",10
Face to face event attendees,11
Digital event attendees,12
Audience split from Bradford,3457
Participants involved in activities,2352
Surveyed audiences reporting a positive experience,431
Schools engaged,325
Participants engaged in creative health activities,5432
