type,code,count
oslaua,E06000003,1.2058823529411764
oslaua,E06000004,1.2058823529411764
oslaua,E06000011,1.2058823529411764
oslaua,E06000012,1.2058823529411764
oslaua,E06000014,1.2058823529411764
oslaua,E06000015,1.2058823529411764
oslaua,E06000016,1.2058823529411764
oslaua,E06000023,1.2058823529411764
oslaua,E06000044,1.2058823529411764
oslaua,E06000049,1.2058823529411764
oslaua,E06000060,1.2058823529411764
oslaua,E06000065,17
oslaua,E07000086,1.2058823529411764
oslaua,E07000118,1.2058823529411764
oslaua,E07000137,1.2058823529411764
oslaua,E07000227,1.2058823529411764
oslaua,E08000001,1.2058823529411764
oslaua,E08000003,1.2058823529411764
oslaua,E08000005,1.2058823529411764
oslaua,E08000007,1.2058823529411764
oslaua,E08000009,1.2058823529411764
oslaua,E08000010,1.2058823529411764
oslaua,E08000015,1.2058823529411764
oslaua,E08000017,1.2058823529411764
oslaua,E08000019,1.2058823529411764
oslaua,E08000026,1.2058823529411764
oslaua,E08000028,1.2058823529411764
oslaua,E08000032,1694
oslaua,E08000033,37
oslaua,E08000034,58
oslaua,E08000035,137
oslaua,E08000036,1.2058823529411764
oslaua,E09000003,1.2058823529411764
oslaua,E09000005,1.2058823529411764
oslaua,E09000009,1.2058823529411764
oslaua,E09000013,1.2058823529411764
oslaua,E09000023,1.2058823529411764
oslaua,E09000026,1.2058823529411764
oslaua,MISSING,444
oslaua,S12000049,1.2058823529411764
oslaua,UNMATCHED,42
