Week ending (Sunday),1. Monitoring & Evaluation,2. Sign Up to Induction,3. Fully Inducted Volunteers,1. Monitoring & Evaluation cumulative,2. Sign Up to Induction cumulative,3. Fully Inducted Volunteers cumulative,1. Monitoring & Evaluation cumulative (incl),2. Sign Up to Induction cumulative (incl)
2024-09-15,22,0,0,734,0,0,734,0
2024-09-22,-82,126,0,652,126,0,778,126
2024-09-29,-54,76,1,598,202,1,801,203
2024-10-06,-44,61,0,554,263,1,818,264
2024-10-13,0,20,0,554,283,1,838,284
2024-10-20,-11,47,0,543,330,1,874,331
2024-10-27,-4,36,0,539,366,1,906,367
2024-11-03,9,-8,32,548,358,33,939,391
2024-11-10,-38,1,119,510,359,152,1021,511
2024-11-17,-9,-30,104,501,329,256,1086,585
2024-11-24,6,81,-1,507,410,255,1172,665
2024-12-01,-20,-28,81,487,382,336,1205,718
2024-12-08,9,-1,28,496,381,364,1241,745
2024-12-15,2,-44,82,498,337,446,1281,783
2024-12-22,2,24,0,500,361,446,1307,807
2024-12-29,3,10,0,503,371,446,1320,817
2025-01-05,0,32,0,503,403,446,1352,849
2025-01-12,1,117,1,504,520,447,1471,967
2025-01-19,-1,56,1,503,576,448,1527,1024
2025-01-26,0,-25,69,503,551,517,1571,1068
2025-02-02,-3,-90,116,500,461,633,1594,1094
2025-02-09,2,2,2,502,463,635,1600,1098
2025-02-16,0,0,0,502,463,635,1600,1098
2025-02-23,0,0,0,502,463,635,1600,1098
2025-03-02,5,60,22,507,523,657,1687,1180
2025-03-09,5,-8,30,512,515,687,1714,1202
2025-03-16,0,15,18,512,530,705,1747,1235
2025-03-23,1,33,0,513,563,705,1781,1268
2025-03-30,6,10,24,519,573,729,1821,1302
2025-04-06,7,23,15,526,596,744,1866,1340
2025-04-13,2,23,9,528,619,753,1900,1372
2025-04-20,4,-6,28,532,613,781,1926,1394
2025-04-27,1,20,-1,533,633,780,1946,1413
2025-05-04,2,5,25,535,638,805,1978,1443
2025-05-11,1,8,1,536,646,806,1988,1452
2025-05-18,0,14,21,536,660,827,2023,1487
2025-05-25,1,-6,23,537,654,850,2041,1504
2025-06-01,1,-21,30,538,633,880,2051,1513
2025-06-08,3,14,-1,541,647,879,2067,1526
2025-06-15,2,11,14,543,658,893,2094,1551
2025-06-22,-2,-5,22,541,653,915,2109,1568
2025-06-29,-1,-6,18,540,647,933,2120,1580
2025-07-06,0,23,-2,540,670,931,2141,1601
2025-07-13,3,-8,23,543,662,954,2159,1616
2025-07-20,-2,13,11,541,675,965,2181,1640
2025-07-27,0,11,0,541,686,965,2192,1651
2025-08-03,3,-2,18,544,684,983,2211,1667
2025-08-10,1,-1,12,545,683,995,2223,1678
2025-08-17,-2,5,10,543,688,1005,2236,1693
2025-08-24,0,4,10,543,692,1015,2250,1707
2025-08-31,0,6,5,543,698,1020,2261,1718
2025-09-07,2,-7,26,545,691,1046,2282,1737
2025-09-14,1,-3,13,546,688,1059,2293,1747
2025-09-21,0,24,10,546,712,1069,2327,1781
2025-09-28,6,1,12,552,713,1081,2346,1794
2025-10-05,3,9,8,555,722,1089,2366,1811
2025-10-12,0,2,6,555,724,1095,2374,1819
2025-10-19,1,-2,15,556,722,1110,2388,1832
2025-10-26,3,-7,13,559,715,1123,2397,1838
2025-11-02,0,7,0,559,722,1123,2404,1845
2025-11-09,-1,1,4,558,723,1127,2408,1850
2025-11-16,3,-3,12,561,720,1139,2420,1859
2025-11-23,1,5,-1,562,725,1138,2425,1863
2025-11-30,4,27,26,566,752,1164,2482,1916
2025-12-07,1,-8,16,567,744,1180,2491,1924
2025-12-14,1,2,0,568,746,1180,2494,1926
