Week ending (Sunday),1. Monitoring & Evaluation,2. Sign Up to Induction,3. Fully Inducted Volunteers,1. Monitoring & Evaluation cumulative,2. Sign Up to Induction cumulative,3. Fully Inducted Volunteers cumulative
2024-09-15,19,0,0,701,0,0
2024-09-22,41,122,0,742,122,0
2024-09-29,26,71,0,768,193,0
2024-10-06,14,60,0,782,253,0
2024-10-13,19,21,0,801,274,0
2024-10-20,38,46,0,839,320,0
2024-10-27,39,36,0,878,356,0
2024-11-03,44,25,31,922,381,31
2024-11-10,72,115,118,994,496,149
2024-11-17,65,73,98,1059,569,247
2024-11-24,81,79,0,1140,648,247
2024-12-01,35,49,80,1175,697,327
2024-12-08,35,27,28,1210,724,355
2024-12-15,41,38,79,1251,762,434
2024-12-22,23,22,0,1274,784,434
2024-12-29,12,10,0,1286,794,434
2025-01-05,32,32,0,1318,826,434
2025-01-12,119,116,1,1437,942,435
2025-01-19,54,56,1,1491,998,436
2025-01-26,47,44,68,1538,1042,504
2025-02-02,29,29,114,1567,1071,618
2025-02-09,27,5,3,1594,1076,621
2025-02-16,31,0,0,1625,1076,621
2025-02-23,16,0,0,1641,1076,621
2025-03-02,23,72,21,1664,1148,642
2025-03-09,33,21,29,1697,1169,671
2025-03-16,29,32,17,1726,1201,688
2025-03-23,33,33,0,1759,1234,688
2025-03-30,39,33,24,1798,1267,712
2025-04-06,54,39,15,1852,1306,727
2025-04-13,34,31,10,1886,1337,737
2025-04-20,26,21,28,1912,1358,765
2025-04-27,21,20,0,1933,1378,765
2025-05-04,31,22,24,1964,1400,789
2025-05-11,11,9,0,1975,1409,789
2025-05-18,36,34,21,2011,1443,810
2025-05-25,13,12,20,2024,1455,830
2025-06-01,15,10,33,2039,1465,863
2025-06-08,18,16,0,2057,1481,863
2025-06-15,30,26,13,2087,1507,876
2025-06-22,12,16,22,2099,1523,898
2025-06-29,12,12,18,2111,1535,916
2025-07-06,31,31,7,2142,1566,923
2025-07-13,21,16,23,2163,1582,946
2025-07-20,20,22,11,2183,1604,957
2025-07-27,10,10,1,2193,1614,958
2025-08-03,19,16,17,2212,1630,975
2025-08-10,16,14,14,2228,1644,989
2025-08-17,17,16,11,2245,1660,1000
2025-08-24,10,14,9,2255,1674,1009
2025-08-31,14,11,5,2269,1685,1014
2025-09-07,18,19,25,2287,1704,1039
2025-09-14,11,7,12,2298,1711,1051
2025-09-21,37,32,11,2335,1743,1062
2025-09-28,26,18,13,2361,1761,1075
2025-10-05,21,15,8,2382,1776,1083
2025-10-12,11,9,7,2393,1785,1090
2025-10-19,14,15,17,2407,1800,1107
2025-10-26,9,5,13,2416,1805,1120
2025-11-02,9,8,1,2425,1813,1121
2025-11-09,3,5,4,2428,1818,1125
2025-11-16,14,8,14,2442,1826,1139
2025-11-23,1,0,0,2443,1826,1139
