type,code,count
postcode_area,BD1,86
postcode_area,BD10,32
postcode_area,BD12,20
postcode_area,BD13,52
postcode_area,BD14,16
postcode_area,BD15,39
postcode_area,BD16,94
postcode_area,BD17,61
postcode_area,BD18,162
postcode_area,BD2,90
postcode_area,BD20,32
postcode_area,BD21,41
postcode_area,BD22,28
postcode_area,BD3,106
postcode_area,BD4,64
postcode_area,BD5,110
postcode_area,BD6,71
postcode_area,BD7,327
postcode_area,BD8,88
postcode_area,BD9,90
postcode_area,LS29,54
