aggregation,variable_group,variable,value
TOTAL,ALL,participant_instances,200584
TOTAL,ALL,participants,100272
BY_PARTICIPANT_TYPE,community_programme,participant_instances,134542
BY_PARTICIPANT_TYPE,cultural_learning,participant_instances,44031
BY_PARTICIPANT_TYPE,volunteers,participant_instances,22011
BY_PARTICIPANT_TYPE,community_programme,participants,74678
BY_PARTICIPANT_TYPE,cultural_learning,participants,24413
BY_PARTICIPANT_TYPE,volunteers,participants,1181
