aggregation,project_name,variable,value
BY_PROJECT,,participant_instances,19347
BY_PROJECT,,participants,1180
BY_PROJECT,A Good Yarn: Luke Jerram,participant_instances,2154
BY_PROJECT,A Good Yarn: Luke Jerram,participants,1920
BY_PROJECT,A Portrait of Us - Outdoor Exhibition,participant_instances,0
BY_PROJECT,A Portrait of Us - Outdoor Exhibition,participants,0
BY_PROJECT,A Somali Village in Lister Park: Friends of Bradford Art Galleries and Museums,participant_instances,0
BY_PROJECT,A Somali Village in Lister Park: Friends of Bradford Art Galleries and Museums,participants,0
BY_PROJECT,A World Without Death,participant_instances,0
BY_PROJECT,A World Without Death,participants,0
BY_PROJECT,Akram Khan and Dance United - Memories of the Future,participant_instances,0
BY_PROJECT,Akram Khan and Dance United - Memories of the Future,participants,0
BY_PROJECT,An Evening with Resi/Dance @ The Beacon (Dance United),participant_instances,0
BY_PROJECT,An Evening with Resi/Dance @ The Beacon (Dance United),participants,0
BY_PROJECT,An Evening with: Jacqui Dankworth,participant_instances,0
BY_PROJECT,An Evening with: Jacqui Dankworth,participants,0
BY_PROJECT,Ark,participant_instances,365
BY_PROJECT,Ark,participants,348
BY_PROJECT,Art & Play Family Day,participant_instances,117
BY_PROJECT,Art & Play Family Day,participants,117
BY_PROJECT,"Aswad Arts Presents StreetSounds ""LIVE"" Bhangra Niche Set ""LIVE""",participant_instances,0
BY_PROJECT,"Aswad Arts Presents StreetSounds ""LIVE"" Bhangra Niche Set ""LIVE""",participants,0
BY_PROJECT,At The 1 in 12,participant_instances,192
BY_PROJECT,At The 1 in 12,participants,186
BY_PROJECT,BBC Bitesize,participant_instances,0
BY_PROJECT,BBC Bitesize,participants,0
BY_PROJECT,BBC Bradford Fire Doc,participant_instances,0
BY_PROJECT,BBC Bradford Fire Doc,participants,0
BY_PROJECT,BBC Contains Strong Language,participant_instances,0
BY_PROJECT,BBC Contains Strong Language,participants,0
BY_PROJECT,BBC Extraordinary Portraits,participant_instances,1200
BY_PROJECT,BBC Extraordinary Portraits,participants,1200
BY_PROJECT,BBC Introducing @ The Beacon,participant_instances,9
BY_PROJECT,BBC Introducing @ The Beacon,participants,9
BY_PROJECT,BBC Introducing at The Underground,participant_instances,0
BY_PROJECT,BBC Introducing at The Underground,participants,0
BY_PROJECT,BBC: Not Even Water Live (Podcast Recording),participant_instances,0
BY_PROJECT,BBC: Not Even Water Live (Podcast Recording),participants,0
BY_PROJECT,BD Festival 2025,participant_instances,0
BY_PROJECT,BD Festival 2025,participants,0
BY_PROJECT,BD is Lit 2023,participant_instances,0
BY_PROJECT,BD is Lit 2023,participants,0
BY_PROJECT,BD: Is LIT 2025,participant_instances,0
BY_PROJECT,BD: Is LIT 2025,participants,0
BY_PROJECT,BD: Walls,participant_instances,350
BY_PROJECT,BD: Walls,participants,217
BY_PROJECT,BOLD! Bradford Artist Scratch Night,participant_instances,0
BY_PROJECT,BOLD! Bradford Artist Scratch Night,participants,0
BY_PROJECT,Babysphere & Colorsphere,participant_instances,0
BY_PROJECT,Babysphere & Colorsphere,participants,0
BY_PROJECT,Back In The Pink - Castles In The Sky,participant_instances,7
BY_PROJECT,Back In The Pink - Castles In The Sky,participants,7
BY_PROJECT,Basel Zaraa - Moomins,participant_instances,346
BY_PROJECT,Basel Zaraa - Moomins,participants,132
BY_PROJECT,Bassline Symphony,participant_instances,782
BY_PROJECT,Bassline Symphony,participants,193
BY_PROJECT,Baton of Hope,participant_instances,0
BY_PROJECT,Baton of Hope,participants,0
BY_PROJECT,Beacon,participant_instances,0
BY_PROJECT,Beacon,participants,0
BY_PROJECT,Beacon Church Community Cuppa,participant_instances,76
BY_PROJECT,Beacon Church Community Cuppa,participants,76
BY_PROJECT,Beacon Feature Curtain,participant_instances,136
BY_PROJECT,Beacon Feature Curtain,participants,16
BY_PROJECT,Bertha Speaks,participant_instances,26
BY_PROJECT,Bertha Speaks,participants,26
BY_PROJECT,Beyond the Spectrum,participant_instances,0
BY_PROJECT,Beyond the Spectrum,participants,0
BY_PROJECT,Big Bradford WESTival Celebration of Culture and Community,participant_instances,0
BY_PROJECT,Big Bradford WESTival Celebration of Culture and Community,participants,0
BY_PROJECT,Big Brass Blowout,participant_instances,99
BY_PROJECT,Big Brass Blowout,participants,33
BY_PROJECT,Big Quiffy Bingo,participant_instances,0
BY_PROJECT,Big Quiffy Bingo,participants,0
BY_PROJECT,Blankets & Wine Festival Bradford,participant_instances,0
BY_PROJECT,Blankets & Wine Festival Bradford,participants,0
BY_PROJECT,Bloom,participant_instances,2954
BY_PROJECT,Bloom,participants,147
BY_PROJECT,Bradford 2025 Partners and Funders Networking Event,participant_instances,0
BY_PROJECT,Bradford 2025 Partners and Funders Networking Event,participants,0
BY_PROJECT,Bradford 2025 Volunteer Celebration,participant_instances,0
BY_PROJECT,Bradford 2025 Volunteer Celebration,participants,0
BY_PROJECT,Bradford A City Of Film: A Screen Near You - Bradford Cinema Creators (Cinema for All),participant_instances,0
BY_PROJECT,Bradford A City Of Film: A Screen Near You - Bradford Cinema Creators (Cinema for All),participants,0
BY_PROJECT,Bradford A City Of Film: A Screen Near You - The Incredible Moving Cinema,participant_instances,0
BY_PROJECT,Bradford A City Of Film: A Screen Near You - The Incredible Moving Cinema,participants,0
BY_PROJECT,Bradford A City Of Film: The Bigger Picture - Film Festivals Support,participant_instances,0
BY_PROJECT,Bradford A City Of Film: The Bigger Picture - Film Festivals Support,participants,0
BY_PROJECT,Bradford A City Of Film: The Bigger Picture @ Pictureville - Epic Yorkshire Season,participant_instances,0
BY_PROJECT,Bradford A City Of Film: The Bigger Picture @ Pictureville - Epic Yorkshire Season,participants,0
BY_PROJECT,Bradford A City Of Film: The Bigger Picture @ Pictureville - Northern Soul Season,participant_instances,0
BY_PROJECT,Bradford A City Of Film: The Bigger Picture @ Pictureville - Northern Soul Season,participants,0
BY_PROJECT,Bradford A City of Film: A Screen Near You - The Collective View (Film Societies Support),participant_instances,0
BY_PROJECT,Bradford A City of Film: A Screen Near You - The Collective View (Film Societies Support),participants,0
BY_PROJECT,Bradford A City of Film: Big Screen @Cannon Mills,participant_instances,0
BY_PROJECT,Bradford A City of Film: Big Screen @Cannon Mills,participants,0
BY_PROJECT,Bradford A City of Film: Big Screen @Ilkley Lido,participant_instances,0
BY_PROJECT,Bradford A City of Film: Big Screen @Ilkley Lido,participants,0
BY_PROJECT,Bradford A City of Film: Big Screen @Milner Field,participant_instances,0
BY_PROJECT,Bradford A City of Film: Big Screen @Milner Field,participants,0
BY_PROJECT,Bradford A City of Film: Big Screen@ Thornton Viaduct,participant_instances,0
BY_PROJECT,Bradford A City of Film: Big Screen@ Thornton Viaduct,participants,0
BY_PROJECT,Bradford A City of Film: The Bigger Picture - Other Independent Cinema Support,participant_instances,0
BY_PROJECT,Bradford A City of Film: The Bigger Picture - Other Independent Cinema Support,participants,0
BY_PROJECT,Bradford A City of Film: The Bigger Picture - Pictureville Year Round Programme,participant_instances,0
BY_PROJECT,Bradford A City of Film: The Bigger Picture - Pictureville Year Round Programme,participants,0
BY_PROJECT,Bradford Belles,participant_instances,0
BY_PROJECT,Bradford Belles,participants,0
BY_PROJECT,Bradford City Fire 40th Anniversary Memorial,participant_instances,0
BY_PROJECT,Bradford City Fire 40th Anniversary Memorial,participants,0
BY_PROJECT,Bradford DNA by Razwan Ul-Haq,participant_instances,0
BY_PROJECT,Bradford DNA by Razwan Ul-Haq,participants,0
BY_PROJECT,Bradford Digital Creatives (BDC),participant_instances,3486
BY_PROJECT,Bradford Digital Creatives (BDC),participants,1860
BY_PROJECT,Bradford Glow,participant_instances,475
BY_PROJECT,Bradford Glow,participants,327
BY_PROJECT,Bradford Literature Festival - New Commissions,participant_instances,0
BY_PROJECT,Bradford Literature Festival - New Commissions,participants,0
BY_PROJECT,Bradford Literature Festival @ Loading Bay,participant_instances,0
BY_PROJECT,Bradford Literature Festival @ Loading Bay,participants,0
BY_PROJECT,Bradford Made,participant_instances,458
BY_PROJECT,Bradford Made,participants,458
BY_PROJECT,Bradford Poetry Slam 2025,participant_instances,5225
BY_PROJECT,Bradford Poetry Slam 2025,participants,1781
BY_PROJECT,Bradford Resource Centre archiving,participant_instances,0
BY_PROJECT,Bradford Resource Centre archiving,participants,0
BY_PROJECT,"Bradford Roots: Echoes of the Past, Inspiring Tomorrow’s Voices by Sinead Campbell - Artist Led Project",participant_instances,0
BY_PROJECT,"Bradford Roots: Echoes of the Past, Inspiring Tomorrow’s Voices by Sinead Campbell - Artist Led Project",participants,0
BY_PROJECT,Bradford Sanctuary Seekers Education Awards 2025,participant_instances,115
BY_PROJECT,Bradford Sanctuary Seekers Education Awards 2025,participants,115
BY_PROJECT,Bradford Selection,participant_instances,0
BY_PROJECT,Bradford Selection,participants,0
BY_PROJECT,Bradford South Asian Festival : Shadmanny,participant_instances,447
BY_PROJECT,Bradford South Asian Festival : Shadmanny,participants,447
BY_PROJECT,Bradford South Young Peoples Celebration (Youth Service),participant_instances,70
BY_PROJECT,Bradford South Young Peoples Celebration (Youth Service),participants,70
BY_PROJECT,Bradford StoryHub Drop In,participant_instances,0
BY_PROJECT,Bradford StoryHub Drop In,participants,0
BY_PROJECT,Bradford on Foot,participant_instances,487
BY_PROJECT,Bradford on Foot,participants,234
BY_PROJECT,Bradford: A City of Film (DUPLICATE - TO BE DELETED),participant_instances,0
BY_PROJECT,Bradford: A City of Film (DUPLICATE - TO BE DELETED),participants,0
BY_PROJECT,Bring it Back by Natalie Davies,participant_instances,0
BY_PROJECT,Bring it Back by Natalie Davies,participants,0
BY_PROJECT,Built By Sound (formerly Daytimers),participant_instances,16
BY_PROJECT,Built By Sound (formerly Daytimers),participants,16
BY_PROJECT,CANCELLED Stick in the Wheel,participant_instances,0
BY_PROJECT,CANCELLED Stick in the Wheel,participants,0
BY_PROJECT,CBeebies Bedtime Story Day,participant_instances,0
BY_PROJECT,CBeebies Bedtime Story Day,participants,0
BY_PROJECT,Camille O'Sullivan,participant_instances,0
BY_PROJECT,Camille O'Sullivan,participants,0
BY_PROJECT,Channels (Bodies of Water) - Turbynes,participant_instances,0
BY_PROJECT,Channels (Bodies of Water) - Turbynes,participants,0
BY_PROJECT,Charlie Mackesy Schools Talk,participant_instances,172
BY_PROJECT,Charlie Mackesy Schools Talk,participants,172
BY_PROJECT,Chasing the Wind,participant_instances,0
BY_PROJECT,Chasing the Wind,participants,0
