id,Activity,Project Name,start,end,date_difference,BD25 Lead Producer,Item Type,Greenlight Status
recZLy3h8kM7gIgwQ,Crafts,Our Patch - Marie Curie Residents Project,2025-06-10 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recZP5tjORgPsBRbc,Crafts,Our Patch - Marie Curie Residents Project,2025-06-24 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recdT5Fh4ZLKGB7ZL,Crafts,Our Patch - Marie Curie Residents Project,2025-06-17 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
reclrGwed3QMruJ03,Crafts,Our Patch - Marie Curie Residents Project,2025-06-03 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recWbct0A4O2gkHwJ,,Wandering Imaginations: Emerging Fantasy Writer Exchange,,,,Harry Jelley,Event (any public-facing activity),Greenlit
recN2rtcyE3VvgObS,Boxing,Our Patch - Boxing for wellbeing Kirkgate Centre,2025-06-28 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recoQ8NVjHnF98JHC,Boxing,Our Patch - Boxing for wellbeing Kirkgate Centre,2025-06-21 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recFkO4svXt4zKRC4,Hands That Speak,Our Patch - BSL and Art/Hands that Speak / Open Hands,2025-06-26 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recX46aApYn5IvrAV,Hands That Speak (Eid Art Session),Our Patch - BSL and Art/Hands that Speak / Open Hands,2025-06-05 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recpf7Oz9ZW1ftz9b,Hands That Speak,Our Patch - BSL and Art/Hands that Speak / Open Hands,2025-06-12 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recBC2OsaoB5e7sgI,Cultural Cafe Lower Grange,Our Patch - Lower Grange Culture Cafe,2025-06-23 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recMWNruNq0KQxBGo,Cultural Cafe Lower Grange,Our Patch - Lower Grange Culture Cafe,2025-06-09 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recf7Sr2LrBmfkPYX,Cultural Cafe Lower Grange,Our Patch - Lower Grange Culture Cafe,2025-06-16 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recoQgZjcpIvI93pw,Cultural Cafe Lower Grange,Our Patch - Lower Grange Culture Cafe,2025-06-02 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recAATKkm1o2xEjNh,Act Out,Our Patch - ACT OUT!,2025-06-17 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recQAg5lRqv4ntf3h,Act Out,Our Patch - ACT OUT!,2025-06-24 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recqSgKifJWLAZwp0,Act Out,Our Patch - ACT OUT!,2025-06-10 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
recrxIF2i2HP6eYWX,Act Out,Our Patch - ACT OUT!,2025-06-03 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
rectV0FvgmlTTIVfV,Act out!,Our Patch - ACT OUT!,2025-06-03 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
rec1gprhuyV63lrEu,Baildon Carnival Workshop - GymFever,Our Patch - Baildon Carnival - Banner Making,2025-06-04 23:00:00+00:00,,,,Event (any public-facing activity),Greenlit
