Start Date,End Date,occurrences,Activity,Project Name,BD25 Lead Producer
2025-06-08,2025-08-08,62,Performance Day 3: Manchester Jazz Festival,New Music Biennial,Ned Archibong
2025-07-15,2025-09-15,63,Junk Modelling- Helen Howes Private Day Nursery,PLAY: Science Explorers Play Lab,Cat Stiles
2025-04-03,2025-06-13,72,Community Workshop - All Star Callout,Bassline Symphony,Ned Archibong
2025-06-16,2025-08-31,77,Bradford Workshops Delivered,Wandering Imaginations: Emerging Fantasy Writer Exchange,Harry Jelley
2025-06-16,2025-08-31,77,Accra Workshops Delivered,Wandering Imaginations: Emerging Fantasy Writer Exchange,Harry Jelley
2025-10-11,2025-12-30,81,Veiled Reality - Carbon Imagineering (Artist-led Grant Award) ,Veiled Reality by Imran Ali (Carbon Imagineering),Florence Simms
2025-03-25,2025-06-13,81,Community Workshop - Coleman Training ,Bassline Symphony,Ned Archibong
2025-06-20,2025-09-13,86,Ice Age Art Now Exhibition Open,Ice Age Art Now,Jessica
2025-06-14,2025-09-07,86,"ReelBFD: Digital Arts, Bradford Stories",Digital Creatives,
2025-05-22,2025-08-16,87,Journeys with Mai (exhibition),Journeys with Mai (exhibition),Daniel Cutmore
2025-05-22,2025-08-16,87,Jameel Prize: Moving Images,Jameel Prize: Moving Images,Daniel Cutmore
2025-05-22,2025-08-16,87,Portrait of Mai - Bradford Cartwright Hall Display,The Portrait of Mai: Youth Engagement Programme,Rhiannon Hannon
2025-02-01,2025-04-29,88,"Feb – April 2025   Local choir Cultural Exchange   X4 choirs would be invited to explore songs of heritage: the definition of this just meaning songs of their heritage, folk songs, songs they remember from being children, songs they learnt from their parents, grandparents. Choir members would teach each other in their pairs. This is also an opportunity for them to share stories, the meanings behind the lyrics and learning a new language song.    Session 1 (x2) - meet their paired choir, introduce new song (s) including the sharing heritage stories/folk traditions/translating and learning new language lyrics - then go away to practice in own choirs   Session 2 (x2) - come back together to rehearse newly learned material and sing together   Session 3 - All 4 choirs come together to rehearse - putting together all the new learning into one cohesive performance, facilitated by the lead facilitator ",We Will Sing by Ann Hamilton at Salt's Mill,Jessica
2025-08-31,2025-11-29,91,Penguin Build a Book Workshop 3,Penguin Books Partnership,Andra Chelcea
2025-08-31,2025-11-29,91,Penguin Build a Book Workshop 1,Penguin Books Partnership,Andra Chelcea
2025-08-31,2025-11-29,91,Penguin Build a Book Workshop 2,Penguin Books Partnership,Andra Chelcea
2025-05-01,2025-07-31,92,Run first screening between May – July 2025.  ,A Screen Near You - Cinema for All (grassroots development and screening),Kat Boon
2025-05-01,2025-07-31,92,Wraparound workshops are delivered ,Unseen by Ascendance,Kerry Campbell
2025-03-14,2025-06-14,93,Community Workshops - One in a million ,Bassline Symphony,Ned Archibong
2025-01-31,2025-05-04,94,I AM ME,I AM ME,Daniel Cutmore
2025-09-23,2025-12-31,100,Bradford Installation Live,Wandering Imaginations: Emerging Fantasy Writer Exchange,Harry Jelley
2025-01-17,2025-04-27,101,Fighting to be Heard (British Library),Fighting to be Heard (British Library),
2024-07-06,2024-10-19,106,Engagement with Sanctuary Seeker Groups Begins (6 sessions),Bradford Selection,Alice Boulton-Breeze
2024-07-09,2024-10-22,106,Engagement with Leeds Road Sikh Temple - Older Punjabi Diaspora - begins (6 sessions),Bradford Selection,Alice Boulton-Breeze
2024-07-09,2024-10-22,106,Engagement with Young Muslim Boxer Group Begins (6 sessions),Bradford Selection,Alice Boulton-Breeze
2025-01-11,2025-04-26,106,Nationhood: Memory and Hope,Nationhood: Memory and Hope (Aida Muluneh Photography exhibition),Jessica
2024-07-14,2024-11-03,113,Community growing and harvesting engagement sessions begin with  community grower 3 (NEET) (6 sessions),Bradford Selection,Alice Boulton-Breeze
2024-07-08,2024-10-28,113,Community growing and harvesting engagement sessions begin with  community grower 2 (Wibsey Community Garden) (6 sessions),Bradford Selection,Alice Boulton-Breeze
2024-07-15,2024-11-04,113,Community growing and harvesting engagement sessions begin with  community grower 4 (Horton Community Garden) (6 sessions),Bradford Selection,Alice Boulton-Breeze
2024-07-07,2024-10-27,113,Community growing and harvesting engagement sessions begin with community grower 1 (Horton Community Farm) (6 sessions),Bradford Selection,Alice Boulton-Breeze
2024-11-04,2025-02-28,117,Writers Workshops,Wandering Imaginations: Emerging Fantasy Writer Exchange,Harry Jelley
2025-01-27,2025-05-24,118,All groups start 18 x  weekly sessions,Akram Khan and Dance United - Memories of the Future,Jodie Noble
2026-01-01,2026-04-29,119,Workshops in schools  ,New Focus: Bradford Young Curators,Kerry Campbell
2025-09-25,2026-01-24,122,Turner Prize Exhibitions live,Turner Prize,Molly Rigg
2025-01-15,2025-05-17,123,Pieced Together,Pieced Together,
2025-01-15,2025-05-18,124,Pieced Together Exhibition,DRAW!,
2025-07-26,2025-11-27,125,Exhibition,A Good Yarn: Luke Jerram,Helen Wells
2025-06-11,2025-10-29,141,NSMM Exhibition Live,Frontline 1984-1985 by Victor Wedderburn,Kerry Campbell
2025-05-23,2025-10-11,142,Exhibition Open: May – October 2025 ,Wild Uplands,Kat Boon
2025-05-23,2025-10-11,142,Earth and Sky (part of Wild Uplands),Earth & Sky (part of Wild Uplands),Jane Earnshaw
2025-10-01,2026-02-28,151,Turner Prize Core Exhibitions,Turner Prize,Molly Rigg
2024-05-02,2024-10-12,164,Where It Began – Osman Yousefzada (exhibition),Where It Began – Osman Yousefzada,Jodie Noble
2025-05-30,2025-11-15,170,Bodies Of Water - Turbynes,Channels (Bodies of Water) - Turbynes,Jessica
2024-03-12,2024-09-11,184,Poster campaign,Drum Roll Please,Beth Murrell
2025-05-03,2025-11-02,184,We Will Sing - Exhibition open to the public + public programme of events ,We Will Sing by Ann Hamilton at Salt's Mill,Jessica
2025-04-21,2025-10-31,194,Community groups guided walking programme - not guided by BD25,Bradford on Foot,Alice Boulton-Breeze
2025-08-05,2026-03-31,239,Public launch of Digital Map ,Digital Map,
2025-01-05,2025-09-03,242,Bradford DNA by Razwan Ul-Haq,Bradford DNA by Razwan Ul-Haq,Daniel Cutmore
2025-04-02,2026-02-27,332,Media Museum Sound spaces - City of Wonder,YOU:MATTER (Marshmallow Laser Feast),Matthew Allen
2024-09-20,2025-09-19,365,Comma Press 'Book of the City',Comma Press 'Book of the City',Harry Jelley
2024-07-19,2025-07-19,366,My Mother’s Funeral – Social Activity,Tour the Writer,Jodie Noble
2024-05-09,2025-06-30,418,Where it Began - Osman Yousefzada (Public Art Sculpture),Where It Began – Osman Yousefzada,Jodie Noble
