event_name,tickets,earliest
Alfred Bradley Bursary Award (ABBA),168,2025-09-21 18:00:00+01:00
An Evening with The Beehive Poets: Poetry Playground,108,2025-09-20 19:00:00+01:00
Angélique Kidjo: African Symphony,4287,2025-09-07 15:00:00+01:00
Antony Szmierek,1167,2025-09-19 20:30:00+01:00
Ark Bradford: Storm Gathering,366,2025-09-04 19:00:00+01:00
Arts Council England Project Grant - Advice Session,54,2025-01-30 12:30:00+00:00
Audience Development - Workshop,21,2025-02-22 10:00:00+00:00
Audio Description Headset - Pink After Dark,15,2025-10-11 20:30:00+01:00
Audio Description Headset - Public Interest,3,2025-05-29 13:30:00+01:00
Audio Description Headset - RIDE!,24,2025-09-20 13:30:00+01:00
Augmenting Bradford’s DNA: Calligraphy Workshop & Talk,120,2025-04-12 13:15:00+01:00
BBC Introducing Panel,141,2025-09-20 16:15:00+01:00
BBC Introducing Showcase,654,2025-09-18 21:00:00+01:00
BBC Radio 4 Beyond Belief,393,2025-09-21 10:30:00+01:00
BBC Radio 4 Front Row,1233,2025-09-18 19:00:00+01:00
BBC Radio 4 Loose Ends,2625,2025-09-20 18:00:00+01:00
BBC Radio 4 Start the Week,540,2025-09-19 11:00:00+01:00
BBC Radio 4 The Adverb,975,2025-09-19 19:00:00+01:00
BBC Radio Club,261,2025-09-19 13:00:00+01:00
BBC Writers: Who We Are & What We Do,183,2025-09-19 12:15:00+01:00
BD:Festival Launch,156,2025-07-25 17:00:00+01:00
Back in The Pink: Big Nights OUT,87,2025-10-11 00:00:00+01:00
Back in The Pink: Cinema Special,63,2025-10-12 11:00:00+01:00
Back in The Pink: LGBTQ+ History Walking Tour,99,2025-10-10 17:30:00+01:00
Back in The Pink: Pink After Dark,60,2025-10-11 20:00:00+01:00
Back in the Pink: Pink After Dark,216,2025-10-11 20:30:00+01:00
Bantam's Drift,426,2025-06-06 21:15:00+01:00
Book Making,9,2025-07-12 15:00:00+01:00
Book of Bradford Launch,411,2025-09-20 13:30:00+01:00
Bradford 2025 Roadshow,54,2025-02-12 11:30:00+00:00
Bradford City Centre Guided Walking Tour,1131,2025-06-07 14:30:00+01:00
Bradford Made Conference,168,2025-11-12 10:00:00+00:00
Bradford Open Mic Night,183,2025-09-18 19:00:00+01:00
Bradford Poetry Slam Final - Primary Schools,444,2025-06-11 18:30:00+01:00
Bradford Poetry Slam Final - Secondary Schools,432,2025-06-12 18:30:00+01:00
Bradford Roots: Legacy in Focus,60,2025-05-06 11:00:00+01:00
Bradford Walking Tour,15,2025-04-26 15:00:00+01:00
Brass on a Sunday Afternoon ,771,2025-04-13 15:00:00+01:00
Breakin - Dance Workshop,3,2025-10-25 10:30:00+01:00
CSL Poetry Gala: Part I,543,2025-09-20 12:00:00+01:00
CSL Poetry Gala: Part II,570,2025-09-21 12:15:00+01:00
CSL Poetry Shorts: Love in the 21st Century,207,2025-09-21 15:30:00+01:00
CSL Poetry Shorts: Migration & Belonging,207,2025-09-20 14:15:00+01:00
CSL Poetry Shorts: Mills & Hills,180,2025-09-21 14:15:00+01:00
CSL Poetry Shorts: Mind & Body,243,2025-09-19 14:00:00+01:00
CSL Poetry Shorts: Music & Lyrics,222,2025-09-19 16:00:00+01:00
CSL Poetry Shorts: Poetic Justice,240,2025-09-19 15:00:00+01:00
CSL Poetry Shorts: The Power of the Women of Bradford,204,2025-09-20 10:30:00+01:00
CSL Poetry Shorts: Words in the Wild,204,2025-09-20 15:30:00+01:00
Calligraphy Workshop with Razwan Ul-Haq,102,2025-04-19 14:00:00+01:00
Charlotte Brontë: Senseless Trash,87,2025-07-26 13:30:00+01:00
Chasing Sunlight,846,2025-06-06 17:00:00+01:00
Crepe Paper Flower-Making,3,2025-07-12 12:00:00+01:00
DANCE SUITE,801,2025-06-07 21:00:00+01:00
DJ Marco - Balkan Beats & Brass,603,2025-04-12 21:00:00+01:00
DRAW: Continuous Line Drawing Workshop,3,2025-06-11 18:00:00+01:00
Decolonial Practices in Archives & Heritage,45,2025-06-28 10:00:00+01:00
Dhamaal – Core,801,2025-06-08 19:30:00+01:00
Digital Marketing - Elevate Workshop,36,2025-04-26 10:00:00+01:00
Drag-Ford: Pre-Show Workshop,54,2025-07-11 18:30:00+01:00
Echoes of the North,852,2025-04-11 19:30:00+01:00
Embedding Access in Your Projects - Elevate Workshop,24,2025-03-22 10:00:00+00:00
Evaluating Your Project - Elevate Workshop,45,2025-08-09 10:00:00+01:00
Everything for Everyone,606,2025-06-14 15:00:00+01:00
Fighting to Be Heard - Preview Event,471,2025-01-16 17:00:00+00:00
Film: Amar Akbar Anthony,195,2025-04-17 17:40:00+01:00
Film: Bajrangi Bhaijaan,81,2025-04-17 12:40:00+01:00
Film: Barbie,411,2025-06-08 17:00:00+01:00
Film: Big Hero 6,426,2025-06-08 14:00:00+01:00
Film: Bride and Prejudice,144,2025-06-10 20:00:00+01:00
Film: Conclave,663,2025-06-10 11:00:00+01:00
Film: Dil Dhadakne Do,57,2025-06-14 19:30:00+01:00
Film: Everybody's Talking About Jamie,1236,2025-08-22 19:00:00+01:00
Film: Everything Everywhere All at Once,405,2025-06-09 17:00:00+01:00
Film: Fantastic Mr. Fox,384,2025-06-08 11:00:00+01:00
Film: Flow,816,2025-06-07 14:00:00+01:00
Film: Jab We Met,384,2025-04-19 17:40:00+01:00
Film: Pulp Fiction,165,2025-06-07 19:30:00+01:00
Film: Raiders of the Lost Ark,27,2025-06-10 20:00:00+01:00
Film: Sexy Beast,1134,2025-08-23 19:00:00+01:00
Film: Speed,288,2025-04-18 17:40:00+01:00
Film: The Apartment,27,2025-06-09 11:00:00+01:00
Film: The Apartment ,87,2025-06-13 11:00:00+01:00
Film: The Grand Budapest Hotel,1152,2025-09-13 19:00:00+01:00
Film: The Greatest Showman,774,2025-06-07 17:00:00+01:00
Film: The Lorax,660,2025-06-07 11:00:00+01:00
Film: The Matrix,384,2025-06-08 19:30:00+01:00
Film: The Salt Path (Silver Screen),42,2025-06-10 17:00:00+01:00
Film: The Terminator,138,2025-06-09 19:30:00+01:00
Film: The Wild Robot,228,2025-04-18 12:40:00+01:00
Film: Zindagi Na Milegi Dobara,129,2025-04-19 12:40:00+01:00
Forward Prize Launch,279,2025-09-21 14:15:00+01:00
Frontline 1984-1985 Exhibition: Opening Preview,297,2025-04-17 18:00:00+01:00
Frontline 1984/1985 Drinks Reception,264,2025-06-11 16:00:00+01:00
Grue Audio Description - Penfriend Kit,126,2025-02-08 15:50:00+00:00
Hall Royd Brass Band,681,2025-04-12 16:30:00+01:00
Holocene,1098,2025-06-07 16:30:00+01:00
Home Educator Session: Alive & Kicking Drama Adventures,45,2025-10-23 13:30:00+01:00
How to Get Published,600,2025-08-03 10:30:00+01:00
Into the Night,1965,2025-06-07 12:00:00+01:00
Intro to Comedy: Graduation Night,69,2025-07-13 17:00:00+01:00
KOKOROKO,3669,2025-04-13 19:30:00+01:00
La Haine - Asian Dub Foundation,3435,2025-01-15 19:30:00+00:00
Language is a Queer Thing Showcase,354,2025-09-21 12:30:00+01:00
Language is a Queer Thing Workshop,51,2025-09-19 14:00:00+01:00
Lanre Bakare - 'We Were There' Book Launch,612,2025-04-26 19:00:00+01:00
Life Class: Cuppa T,174,2025-10-08 15:00:00+01:00
Listen In: Jeremy Dyson & Mark Gatiss,3087,2025-09-20 20:00:00+01:00
Listen In: Nick Ahad,279,2025-09-21 15:30:00+01:00
Loading Bay Launch Event,174,2025-03-11 18:30:00+00:00
Loading Bay Open Door,39,2025-05-01 10:30:00+01:00
Loading Bay Test Event,165,2025-03-08 18:00:00+00:00
Loading Bay Venue Tour,9,2025-03-21 11:00:00+00:00
Love's Letter,51,2025-06-07 19:30:00+01:00
MARCH,723,2025-06-08 12:00:00+01:00
Memories of the Future: Pre-Show Reception,210,2025-07-05 18:00:00+01:00
Mercury Songs,906,2025-06-08 15:00:00+01:00
Moth x Human,747,2025-06-07 10:30:00+01:00
Nocturnal Sun,570,2025-06-08 10:30:00+01:00
North Street Band,246,2025-05-24 19:15:00+01:00
N’dehou,723,2025-06-06 19:45:00+01:00
OUR TURN Festival Launch: Practice Bradford,549,2025-09-17 17:30:00+01:00
Open-Air Cinema: Milner Field,399,2025-10-30 19:00:00+00:00
Oranje Brass – Amazing Music From The Netherlands,600,2025-04-12 19:00:00+01:00
"Our Story, Our City Launch",192,2025-09-19 17:30:00+01:00
PLAY: The Great Adventure Build - Community Slots,450,2025-08-12 13:30:00+01:00
PLAY: The Great Adventure Build - Home Education,162,2025-04-03 15:30:00+01:00
PLAY: The Great Adventure Build - Schools,384,2025-04-03 09:30:00+01:00
Penumbra,573,2025-06-06 18:15:00+01:00
Peregrinations: Urban Nature Poetry Walk,111,2025-09-21 10:00:00+01:00
Producing Ambitious Projects - Elevate Workshop,45,2025-07-26 10:00:00+01:00
Public Interest Club Night,165,2025-05-31 22:00:00+01:00
Public Interest: Access Opening Event,12,2025-05-13 17:00:00+01:00
