TOTAL CARBON FOOTPRINT (tCO2e),Average car occupancy,TOTAL MILES BY ALL TRAVEL TYPES,Percentage of total miles by bicycle,Percentage of total miles by bus,Percentage of total miles by car (diesel),Percentage of total miles by car (electric),Percentage of total miles by car (hybrid),Percentage of total miles by car (other),Percentage of total miles by car (petrol),Percentage of total miles by car (plug in hybrid),Percentage of total miles by coach,Percentage of total miles by ferry,Percentage of total miles by flying,Percentage of total miles by motorbike,Percentage of total miles by rail,Percentage of total miles by taxi,Carbon footprint - Bus,Carbon footprint - Car (Diesel),Carbon footprint - Car (Electric),Carbon footprint - Car (Hybrid),Carbon footprint - Car (Other),Carbon footprint - Car (Petrol),Carbon footprint - Car (Plug in hybrid),Carbon footprint - Coach,Carbon footprint - Ferry,Carbon footprint - Flying,Carbon footprint - Motorbike,Carbon footprint - Rail,Carbon footprint - Taxi
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,49.47,0,2.87,0,0,0,0,97.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,9.77,0,17.09,0,0,0,0,82.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.57,82.63,0,0,55.22,0,0,0,44.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,4.43,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,2.21,0,10.86,2.26,0,0,0,54.3,0,0,0,0,0,32.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.12,760.25,0.2,4.28,3.99,0.18,21.22,1.3,57.74,0,2.61,0,0,0,7.15,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.9,1451.67,0.03,3.39,19.93,6.49,0.35,5.46,25.28,0,0,0,0,0,38.17,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
