Date,DRAW→Page views,DRAW→Unique users,Digital Map→Page views,Digital Map→Unique users,CHANNELS→Page views,CHANNELS→Unique users,BD on Foot→Page views,BD on Foot→Unique users,BD on Foot walks→Page views,BD on Foot walks→Unique users,BD on Foot PDFs→Page views,BD on Foot PDFs→Unique users,Wild Uplands Digital→Page views,Wild Uplands Digital→Unique users,Railway Children audio experience→Page views,Railway Children audio experience→Unique users
2024-09,1640,1361,,,,,385,338,385,338,,,,,,
2024-10,256,219,,,,,174,142,174,142,,,,,,
2024-11,234,203,,,,,145,121,145,121,,,,,,
2024-12,1363,1052,,,,,496,423,496,423,,,,,,
2025-01,11989,8849,,,,,3056,2631,3056,2631,,,,,,
2025-02,7505,5983,,,161,104,1111,1020,1111,1020,,,,,,
2025-03,4303,2993,,,103,86,1354,1210,1354,1210,,,,,,
2025-04,4087,2540,,,62,50,2151,1304,2151,1304,,,,,,
2025-05,4072,2821,,,256,129,17625,10677,15412,9349,2213,1328,,,,
2025-06,5310,4064,,,1212,957,7776,5014,6623,4228,1153,786,26,6,,
2025-07,3518,2280,98,33,836,708,5962,4168,4962,3492,1000,676,978,106,544,438
2025-08,5123,4104,604,482,647,579,7529,5161,6253,4274,1276,887,2326,898,3180,2584
2025-09,3963,2653,357,332,372,352,4455,3441,3706,2843,749,598,1436,594,677,563
2025-10,2685,1971,330,314,448,413,3397,2808,2682,2187,715,621,1333,630,32,30
2025-11,6206,4427,362,330,391,348,3230,2412,2650,1976,580,436,510,293,10,10
2025-12,2457,1718,251,233,282,256,2849,2283,2325,1865,524,418,239,148,6,6
2026-01,1629,1082,208,181,161,139,2977,2494,2321,1933,656,561,179,130,4,4
2026-02,3022,2103,132,117,123,107,2478,2095,1955,1637,523,458,207,147,10,10
