Name,Project (from Schedule Entry) (from Junction-Attendees-Org & Schedule item) (from Venues & Organisations),Total number of CL participants engaged from ward,Total number of CL sessions delivered in this ward,Total number of engaged schools from ward
Baildon,"Bradford Poetry Slam 2025,""Sing, Dance, Leap"",Creative Communities Fund - Invictus Wellbeing,Bradford Poetry Slam 2025,Our Patch - Baildon Carnival - Banner Making ,Bradford Poetry Slam 2025,""Sing, Dance, Leap"",""Sing, Dance, Leap"",Our Patch - Baildon Carnival - Banner Making ,Our Patch - Baildon Carnival - Banner Making ,Where It Began – Osman Yousefzada,Our Patch - Baildon Carnival - Banner Making ,Our Patch - Baildon Carnival - Banner Making ,Our Patch - Baildon Carnival - Banner Making ,""Sing, Dance, Leap"",PLAY: Intergenerational Play,""Sing, Dance, Leap"",PLAY: Intergenerational Play,""Sing, Dance, Leap"",PLAY: Drama Adventures with Alive & Kicking,PLAY: Intergenerational Play,PLAY: Intergenerational Play,PLAY: Intergenerational Play,PLAY: Drama Adventures with Alive & Kicking,""Sing, Dance, Leap"",PLAY: Intergenerational Play,Our Patch - Baildon Carnival - Banner Making ,Our Patch - Baildon Carnival - Banner Making ,Our Patch - Baildon Carnival - Banner Making ,Our Patch - Baildon Carnival - Banner Making ,WOW Community Partnership,Do Your Thing - Baildon Civic & Historical Society,Mental Health Engagement Project,Mental Health Engagement Project,Mental Health Engagement Project,Mental Health Engagement Project,Mental Health Engagement Project,Mental Health Engagement Project,Mental Health Engagement Project,Mental Health Engagement Project,Mental Health Engagement Project,Mental Health Engagement Project,Mental Health Engagement Project,Mental Health Engagement Project,Mental Health Engagement Project,Mental Health Engagement Project,Mental Health Engagement Project,Mental Health Engagement Project,Mental Health Engagement Project,Mental Health Engagement Project,Mental Health Engagement Project,Our Patch - Heart and Hands Studio,Our Patch - Heart and Hands Studio,Our Patch - Heart and Hands Studio,Our Patch - Heart and Hands Studio,Our Patch - Heart and Hands Studio,Our Patch - Heart and Hands Studio,Our Patch - Heart and Hands Studio,Bradford on Foot",463,18,3
Bingley,"Our Patch - DRAW Tour Workshops: Shipley,PLAY: Grue,PLAY: Replay,PLAY: Replay,PLAY: Grue,PLAY: Grue,PLAY: Science Explorers Play Lab,PLAY: Grue,PLAY: Replay,PLAY: Replay,PLAY: Replay,PLAY: Replay,PLAY: Replay,PLAY: Intergenerational Play,PLAY: Grue,""Sing, Dance, Leap"",PLAY: Intergenerational Play,PLAY: Intergenerational Play,PLAY: Intergenerational Play,PLAY: Intergenerational Play,PLAY: Intergenerational Play,""Sing, Dance, Leap"",PLAY: Replay,Penguin Books Partnership,We Will Sing ,We Will Sing ,PLAY: Grue,PLAY: Grue,PLAY: Grue,PLAY: Grue,PLAY: Grue,PLAY: Grue,PLAY: Grue,""Sing, Dance, Leap"",PLAY: Grue,PLAY: Drama Adventures with Alive & Kicking,PLAY: Drama Adventures with Alive & Kicking,Turner Prize,PLAY: Replay,PLAY: Replay,PLAY: Replay,Bradford Made,Bradford Made,PLAY: Grue,""Sing, Dance, Leap"",""Sing, Dance, Leap"",Bradford Made,Turner Prize,Turner Prize,Turner Prize,Turner Prize,Turner Prize,PLAY: Science Explorers Play Lab,PLAY: Grue,Our Patch - Community Trips - Shipley ,Creative Communities Fund - Bingley Arts Centre,PLAY: Grue,""Our Patch - Our Story, Our City"",Bradford A City of Film: The Bigger Picture - Festivals & City-Wide Cinemas,Drum Roll Please,History In The Making - Summat Creative CIC,Do Your Thing - SEND Salaam & Summat Creative,Drum Roll Please,PLAY: Grue,PLAY: Grue,Drum Roll Please,Our Patch - One-off community events: Shipley ,Bradford Made,Rise,PLAY: Grue,PLAY: Intergenerational Play,PLAY: Intergenerational Play,PLAY: Intergenerational Play,PLAY: Intergenerational Play,PLAY: Intergenerational Play,PLAY: Intergenerational Play,Bradford A City Of Film: A Screen Near You - The Incredible Moving Cinema,Creative Communities Fund - Bingley Arts Centre,Creative Communities Fund - Bingley Arts Centre,Our Patch - Bingley Skate Park/Myrtle Park,Creative Communities Fund - Bingley Arts Centre,Creative Communities Fund - Bingley Arts Centre,Do Your Thing - Friends of Myrtle Park,Creative Communities Fund - Bingley Arts Centre,Our Patch - Bingley Skate Park/Myrtle Park,Our Patch - Bingley Skate Park/Myrtle Park,Creative Communities Fund - Bingley Arts Centre,Creative Communities Fund - Bingley Arts Centre,Our Patch - Crazy Zebra Crew,""Our Patch - Our Story, Our City"",PLAY: Replay,Our Patch - Between the Lines,Our Patch - Between the Lines,Our Patch - Between the Lines,Our Patch - Between the Lines,Our Patch - Between the Lines,Our Patch - Between the Lines,Our Patch - Between the Lines,Our Patch - Between the Lines,Our Patch - Between the Lines,Our Patch - Between the Lines,Our Patch - Between the Lines,Our Patch - One-off community events: Shipley ,Bradford A City of Film: Big Screen @ Milner Field Manor House Ruins ,PLAY: Intergenerational Play,PLAY: Intergenerational Play,PLAY: Intergenerational Play,PLAY: Intergenerational Play,PLAY: Intergenerational Play,PLAY: Intergenerational Play,PLAY: Intergenerational Play,PLAY: Replay,PLAY: Replay,Our Patch - (Beacon) The Big Beacon Family Welcome - Lister,Do Your Thing - Bingley Ukulele Group,The Bradford Progress ,The Bradford Progress ,The Bradford Progress ,The Bradford Progress ,The Bradford Progress ,Bradford on Foot,The Bradford Progress ,The Bradford Progress ,The Bradford Progress ,The Bradford Progress ,The Bradford Progress ,Creative Communities Fund - Bingley Arts Centre,Creative Communities Fund - Bingley Arts Centre,Do Your Thing - Bingley Bell Ringers,Do Your Thing - Harden Players,Do Your Thing - Bingley and District Local History Society,Do Your Thing - Feeding Bradford and Keighley,Our Patch - K Town Inconvenience Shop ,Creative Communities Fund - Bingley Arts Centre",891,42,7
Bingley Rural,"""Sing, Dance, Leap"",""Sing, Dance, Leap"",PLAY: Grue,Penguin Books Partnership,PLAY: Grue,PLAY: Grue,PLAY: Grue,PLAY: Replay,PLAY: Replay,History In The Making - Shared Stories 2025 (AllStar),Wild Uplands,Penguin Books Partnership,PLAY: Grue,Turner Prize,Royal Visit ,Penguin Books Partnership,Bradford Poetry Slam 2025,Bradford Poetry Slam 2025,PLAY: Escape Room Design Challenge,STRIKE,STRIKE,STRIKE,STRIKE,Bradford Made,Bradford Made,Bradford Made,Bradford Made,Bradford Made,Penguin Books Partnership,Bradford Poetry Slam 2025,PLAY: Escape Room Design Challenge,Bradford Poetry Slam 2025,Bradford Poetry Slam 2025,Earth & Sky,Earth & Sky,Earth & Sky,Earth & Sky,Earth & Sky,Earth & Sky,Earth & Sky,Penguin Books Partnership,PLAY: Intergenerational Play,PLAY: Intergenerational Play,PLAY: Intergenerational Play,PLAY: Intergenerational Play,PLAY: Intergenerational Play,PLAY: Intergenerational Play,PLAY: Grue,PLAY: Intergenerational Play,PLAY: Intergenerational Play,PLAY: Intergenerational Play,PLAY: Intergenerational Play,PLAY: Intergenerational Play,Our Patch - Denholme Juniors Youth Group,Our Patch - Denholme Youth Group,Our Patch - Denholme Youth Group,Our Patch - Denholme Youth Group,Our Patch - Denholme Youth Group,Our Patch - Denholme Youth Group,Our Patch - Denholme Youth Group,Our Patch - Denholme Mural Project,Our Patch - Denholme Mural Project,Our Patch - Extra Miles Workshops Shipley,Our Patch - DRAW Tour Workshops: Shipley,Our Patch - Community Trips - Shipley ,PLAY: Science Explorers Play Lab,Bloom,Bloom,Bloom,Bloom,Bloom,Bloom,Bloom,Do Your Thing - Denholme Shared Church,Bloom,Bloom,Bloom,Bloom,Bloom,Bloom,Bloom,Bloom,Bloom,Bloom,Bloom,Bloom,Bloom,Bloom,Bradford on Foot,Creative Communities Fund - Bingley Arts Centre",903,31,9
Bolton and Undercliffe,"Our Patch - Heart and Hands Studio,Our Patch - Heart and Hands Studio,Our Patch - Heart and Hands Studio,Our Patch - Heart and Hands Studio,Our Patch - Heart and Hands Studio,Our Patch - Heart and Hands Studio,Our Patch - Heart and Hands Studio,Penguin Books Partnership,""Sing, Dance, Leap"",Bradford Poetry Slam 2025,PLAY: Drama Adventures with Alive & Kicking,Bradford Poetry Slam 2025,""Sing, Dance, Leap"",""Sing, Dance, Leap"",PLAY: Drama Adventures with Alive & Kicking,PLAY: Science Explorers Play Lab,PLAY: Science Explorers Play Lab,PLAY: Drama Adventures with Alive & Kicking,PLAY: Drama Adventures with Alive & Kicking,Cultural Learning One-Off Activity,Creative Communities Fund - Undercliffe Cemetery Charity,PLAY: Intergenerational Play,PLAY: Intergenerational Play,PLAY: Intergenerational Play,PLAY: Intergenerational Play,PLAY: Intergenerational Play,PLAY: Intergenerational Play,Penguin Books Partnership,""Creative Communities Fund - Marie, Sue and Ian Too"",Creative Communities Fund - Undercliffe Cemetery Charity,The Bradford Progress ,Bradford on Foot,Our Patch - DRAW Tour Workshops: East,PLAY: Intergenerational Play,PLAY: Intergenerational Play,PLAY: Intergenerational Play,PLAY: Intergenerational Play,PLAY: Intergenerational Play,PLAY: Intergenerational Play,Our Patch - DRAW Tour Workshops: East,Our Patch - Community Trips - Shipley ,Our Patch - Community Trips - Bradford East,Ark,Ark,""Aswad Arts Presents StreetSounds """"LIVE"""" Bhangra Niche Set """"LIVE"""""",Our Patch - Urdu Shurdu ,Our Patch - Youth Music at Bolton Community Church,Bloom,Bloom,Bloom,Bloom,Bloom,Bloom,Bloom,Bloom,Cirque Eloize - ID Reimagined,Wonky Olympics",347,15,5
Bowling and Barkerend,"Bradford Poetry Slam 2025,Bradford Digital Creatives ,Penguin Books Partnership,Our Patch - Boxing for wellbeing Carlton Bolling School ,Our Patch - Rhythms on The Road East,Turner Prize,Where It Began – Osman Yousefzada,Bradford Poetry Slam 2025,PLAY: Escape Room Design Challenge,Turner Prize,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Bradford Digital Creatives ,Our Patch - Rhythms on The Road East,Our Patch - Get2Gether Group ,Our Patch - Get2Gether Group ,Our Patch - Get2Gether Group ,Our Patch - Get2Gether Group ,Our Patch - Get2Gether Group ,Our Patch - Get2Gether Group ,Our Patch - Get2Gether Group ,Our Patch - DRAW Tour Workshops: East,Our Patch - Get2Gether Group ,Our Patch - DRAW Tour Workshops: East,Our Patch - Get2Gether Group ,Our Patch - DRAW Tour Workshops: East,Our Patch - Get2Gether Group ,Our Patch - Get2Gether Group ,Our Patch - Get2Gether Group ,Our Patch - Arabic Calligraphy,Our Patch - Arabic Calligraphy,Our Patch - Arabic Calligraphy,Our Patch - Arabic Calligraphy,Our Patch - Arabic Calligraphy,Multicultural Pentecost Party,PLAY: Escape Room Design Challenge,PLAY: Escape Room Design Challenge,PLAY: Escape Room Design Challenge,PLAY: Escape Room Design Challenge,Share Your Story at Beacon (National Literacy Trust),PLAY: Escape Room Design Challenge,PLAY: Escape Room Design Challenge,PLAY: Escape Room Design Challenge,PLAY: Escape Room Design Challenge,Bassline Symphony,Penguin Books Partnership,PLAY: Escape Room Design Challenge,PLAY: Escape Room Design Challenge,Bassline Symphony,Bassline Symphony,Turner Prize,PLAY: Escape Room Design Challenge,PLAY: Escape Room Design Challenge,Bassline Symphony,Bradford Made,Bradford Made,""Sing, Dance, Leap"",""Sing, Dance, Leap"",""Sing, Dance, Leap"",""Sing, Dance, Leap"",Bradford Poetry Slam 2025,Penguin Books Partnership,Greed,Bradford Poetry Slam 2025,Bradford Poetry Slam 2025,Penguin Books Partnership,Penguin Books Partnership,Bradford Made,Penguin Books Partnership,Turner Prize,Earth & Sky,Earth & Sky,Earth & Sky,Earth & Sky,Penguin Books Partnership,Earth & Sky,Earth & Sky,Turner Prize,""Sing, Dance, Leap"",""Sing, Dance, Leap"",Bradford on Foot,""Sing, Dance, Leap"",""Sing, Dance, Leap"",Bradford on Foot,""Sing, Dance, Leap"",Charlie Mackesy Schools Talk,DRAW! (How to Films & non-Our Patch Events),DRAW! (How to Films & non-Our Patch Events),Bradford Made,Bradford Made,Bradford Made,Bradford Made,Bradford Made,Bradford Made,Bradford Made,Bradford Made,""Sing, Dance, Leap"",Creative Communities Fund - E:merge UK Ltd,Share Your Story at Beacon (National Literacy Trust),Turner Prize,Compagnie Off: Giraffes,""Sing, Dance, Leap"",Turner Prize,""Sing, Dance, Leap"",PLAY: Drama Adventures with Alive & Kicking,PLAY: Drama Adventures with Alive & Kicking,PLAY: Drama Adventures with Alive & Kicking,Creative Communities Fund - Bradford Hindu Council (BHC),Creative Communities Fund - The Anchor Project,Creative Communities Fund - West Bowling Youth Initiative,Our Patch - Community Trips - Bradford East,Our Patch - Community Trips - Bradford East,Ark,Our Patch - DRAW Tour Workshops: East,Frontline 1984-1985 by Victor Wedderburn,Our Patch - Parkside Tapestry/Craft Project ,Our Patch - Parkside Tapestry/Craft Project ,Our Patch - Parkside Tapestry/Craft Project ,Our Patch - Parkside Tapestry/Craft Project ,Our Patch - Parkside Tapestry/Craft Project ,Our Patch - Parkside Tapestry/Craft Project ,Our Patch - Parkside Tapestry/Craft Project ,Our Patch - Parkside Tapestry/Craft Project ,Our Patch - Parkside Tapestry/Craft Project ,Our Patch - Parkside Tapestry/Craft Project ,Our Patch - Parkside Tapestry/Craft Project ,Our Patch - Parkside Tapestry/Craft Project ,Our Patch - Parkside Tapestry/Craft Project ,Our Patch - Parkside Tapestry/Craft Project ,Our Patch - Parkside Tapestry/Craft Project ,Our Patch - Parkside Tapestry/Craft Project ,Our Patch - Parkside Tapestry/Craft Project ,Our Patch - Parkside Tapestry/Craft Project ,Our Patch - Parkside Tapestry/Craft Project ,Our Patch - Boxing for wellbeing Oneness Centre ,Our Patch - Rhythms on The Road East,Our Patch - DRAW Tour Workshops: East,Our Patch - Barkerend Family Hub Sensory Garden and Craft Group Project,Our Patch - Barkerend Family Hub Sensory Garden and Craft Group Project,Our Patch - Barkerend Family Hub Sensory Garden and Craft Group Project,Our Patch - Barkerend Family Hub Sensory Garden and Craft Group Project,Our Patch - Barkerend Family Hub Sensory Garden and Craft Group Project,Our Patch - Barkerend Family Hub Sensory Garden and Craft Group Project,Our Patch - Barkerend Family Hub Sensory Garden and Craft Group Project,Our Patch - Barkerend Family Hub Sensory Garden and Craft Group Project,Our Patch - Barkerend Family Hub Sensory Garden and Craft Group Project,Our Patch - Rhythms on The Road East,Our Patch - Barkerend Family Hub Sensory Garden and Craft Group Project,Our Patch - Barkerend Family Hub Sensory Garden and Craft Group Project,Our Patch - Barkerend Family Hub Sensory Garden and Craft Group Project,Our Patch - Barkerend Family Hub Sensory Garden and Craft Group Project,Our Patch - Grateful performances,Our Patch - Grateful performances,Our Patch - Dhol Drumming ,Our Patch - Rhythms on The Road East,Our Patch - Get2Gether Group ,Our Patch - Get2Gether Group ,Our Patch - Get2Gether Group ,Our Patch - Get2Gether Group ,Our Patch - Get2Gether Group ,Our Patch - Get2Gether Group ,Our Patch - Get2Gether Group ,Our Patch - Get2Gether Group ,Our Patch - Arabic Calligraphy,Our Patch - Arabic Calligraphy,Our Patch - Arabic Calligraphy,Our Patch - Arabic Calligraphy,Our Patch - Get2Gether Group ,Our Patch - Get2Gether Group ,Our Patch - Get2Gether Group ,Our Patch - Get2Gether Group ,Our Patch - Get2Gether Group ,Our Patch - Get2Gether Group ,Our Patch - Get2Gether Group ,Our Patch - Get2Gether Group ,Our Patch - Get2Gether Group ,Our Patch - Get2Gether Group ,Our Patch - Get2Gether Group ,Our Patch - Dhol Drumming ,Our Patch - Arabic Calligraphy,Our Patch - Arabic Calligraphy,Our Patch - Arabic Calligraphy,Our Patch - Arabic Calligraphy,Our Patch - Arabic Calligraphy,Our Patch - Arabic Calligraphy,Our Patch - Arabic Calligraphy,Our Patch - Arabic Calligraphy,Our Patch - Arabic Calligraphy,Our Patch - Arabic Calligraphy,Our Patch - DRAW Tour Workshops: East,Our Patch - Barkerend Family Hub Sensory Garden and Craft Group Project,Our Patch - Barkerend Family Hub Sensory Garden and Craft Group Project,Our Patch - Barkerend Family Hub Sensory Garden and Craft Group Project,Our Patch - Community Trips - Bradford East,Art & Play Family Day,Little Explorers [Festival of Archaeology],Bradford Made,Festival of Archaeology: Archaeology Talks!,Journeys with Mai: Exhibition and Youth Engagement Programme,Museums for Play and Growth,Ice Age Art Now,Turner Prize,Fighting to be Heard (British Library),A Good Yarn: Luke Jerram,Our Patch - (Beacon) Bowling Collective Family Welcome,Our Patch - One-off community events: South,Our Patch - One-off community events: South,Our Patch - One-off community events: South,Our Patch - DRAW Tour Workshops: South,Our Patch - Community Trips - Bradford South ,Our Patch - (Beacon) Bowling Collective Family Welcome,Our Patch - (Beacon) The Big Beacon Family Welcome - Wibsey,PLAY: Escape Room Design Challenge,Our Patch - Community Trips - Keighley & Ilkley ,Club Ekta (multiple events),Brighter Still,Brighter Still,Brighter Still,Brighter Still,Brighter Still,Brighter Still,Brighter Still,Brighter Still,Brighter Still,Brighter Still,Brighter Still,Brighter Still,Brighter Still,Brighter Still,Brighter Still,Tech Styles @ The Beacon,Our Patch - Delius School,Our Patch - Delius School,Our Patch - Delius School,Our Patch - Delius School,Our Patch - Delius School,Our Patch - Delius School,Our Patch - Delius School,Our Patch - Delius School,Our Patch - Delius School,Our Patch - Delius School,Our Patch - Delius School,Our Patch - Delius School,PLAY: Red Ball Project (WOW),Wild Uplands,Turner Prize,PLAY: The Great Adventure Build with Woodland Tribe,Do Your Thing - Thornbury Community Development Services (TCDS),Our Patch - Community Trips - Bradford East,Our Patch - Community Trips - Bradford East,Do Your Thing - Happy Healthy You,Do Your Thing - Mindfulness Girls",2652,92,9
Bradford Moor,"Our Patch - Rhythms on The Road East,Our Patch - Laisterdyke Women's Tapestry and Craft Group,Our Patch - Rhythms on The Road East,Our Patch - Smoothie Bike Project,""Sing, Dance, Leap"",""Sing, Dance, Leap"",""Sing, Dance, Leap"",Turner Prize,""Sing, Dance, Leap"",""Sing, Dance, Leap"",""Sing, Dance, Leap"",""Sing, Dance, Leap"",""Sing, Dance, Leap"",""Sing, Dance, Leap"",Turner Prize,""Sing, Dance, Leap"",Bradford on Foot,""Sing, Dance, Leap"",""Sing, Dance, Leap"",Bradford on Foot,Penguin Books Partnership,Bradford Poetry Slam 2025,""Sing, Dance, Leap"",""Sing, Dance, Leap"",""Sing, Dance, Leap"",""Sing, Dance, Leap"",""Sing, Dance, Leap"",Bradford Poetry Slam 2025,""Sing, Dance, Leap"",""Sing, Dance, Leap"",""Sing, Dance, Leap"",""Sing, Dance, Leap"",Bradford Poetry Slam 2025,""Sing, Dance, Leap"",""Sing, Dance, Leap"",""Sing, Dance, Leap"",""Sing, Dance, Leap"",""Sing, Dance, Leap"",""Sing, Dance, Leap"",""Sing, Dance, Leap"",""Sing, Dance, Leap"",""Sing, Dance, Leap"",""Sing, Dance, Leap"",""Sing, Dance, Leap"",""Sing, Dance, Leap"",""Sing, Dance, Leap"",""Sing, Dance, Leap"",Our Patch - Delius School,Turner Prize,Turner Prize,""Sing, Dance, Leap"",PLAY: Intergenerational Play,Turner Prize,""Sing, Dance, Leap"",PLAY: Intergenerational Play,""Sing, Dance, Leap"",""Sing, Dance, Leap"",Bradford on Foot,PLAY: Intergenerational Play,Bradford on Foot,PLAY: Intergenerational Play,PLAY: Intergenerational Play,PLAY: Intergenerational Play,Turner Prize,Turner Prize,""Sing, Dance, Leap"",Bradford Poetry Slam 2025,""Sing, Dance, Leap"",Bradford Poetry Slam 2025,Bradford on Foot,Bradford Poetry Slam 2025,Bradford on Foot,""Sing, Dance, Leap"",Akram Khan and Dance United - Memories of the Future,PLAY: Science Explorers Play Lab,PLAY: Science Explorers Play Lab,Creative Communities Fund - Spin Arts Ltd,RIDE! by Spin Arts,zz - Kate Test project 1,Our Patch - My Project Does Not Appear,Our Patch - DRAW Tour Workshops: East,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Marie Curie Residents Project ,Our Patch - Community Trips - Bradford East,Our Patch - Thornbury Roundabout Environmental Art Project,Our Patch - Thornbury Roundabout Environmental Art Project,Our Patch - Laisterdyke Women's Tapestry and Craft Group,PLAY: Intergenerational Play,PLAY: Intergenerational Play,PLAY: Intergenerational Play,PLAY: Intergenerational Play,PLAY: Intergenerational Play,PLAY: Intergenerational Play,Ramadan Pavillion",1301,62,7
