The event/activity makes me feel proud of my local area,Percentage
1. Strongly agree,53.27%
2. Agree,32.36%
3. Neither agree nor disagree,10.47%
4. Disagree,1.93%
5. Strongly disagree,1.67%
Don't know,0.25%
Don't know/Not applicable,0.05%
