Ward,Number of Projects
Baildon,48
Bingley,573
Bingley Rural,80
Bolton and Undercliffe,59
Bowling and Barkerend,404
Bradford Moor,139
City,1583
Clayton and Fairweather Green,79
Craven,15
Eccleshill,134
Great Horton,74
Heaton,184
Idle and Thackley,88
Ilkley,43
Keighley Central,339
Keighley East,87
Keighley West,100
Little Horton,244
Manningham,634
Online,80
Outside Bradford,94
Queensbury,38
Royds,55
Shipley,398
Thornton and Allerton,173
Toller,32
Tong,240
Wharfedale,18
Wibsey,133
Windhill and Wrose,135
Worth Valley,213
Wyke,56
