Beacon,Postcode,Location,BD1,BD2,BD3,BD4,BD5,BD6,BD7,BD8,BD9,BD10,BD11,BD12,BD13,BD14,BD15,BD16,BD17,BD18,BD19,BD20,BD21,BD22,BD23,BD24,LS29,HX2,HX3,HD6,LS12,LS19,LS20,LS21,LS28,Calderdale,Kirklees,Leeds,Wakefield,Somewhere Else,Total
Beacon 2,BD4,Bowling Park,14,47,36,123,128,30,18,18,14,33,0,11,27,7,11,8,15,45,3,7,11,3,1,0,5,5,10,3,5,2,1,0,7,8,10,34,4,37,741
Beacon 3,BD20,Cliffe Castle,3,3,4,1,3,9,1,6,7,3,3,3,12,3,16,25,12,31,0,92,75,32,17,0,27,4,1,0,0,7,3,4,10,8,4,24,3,20,476
Beacon 4,BD9,Lister Park,1,19,17,4,26,2,19,76,76,9,0,1,7,1,7,13,3,37,4,13,23,11,0,0,7,0,0,0,0,9,6,1,12,9,2,13,7,17,452
Total,,Total,18,69,57,128,157,41,38,100,97,45,3,15,46,11,34,46,30,113,7,112,109,46,18,0,39,9,11,3,5,18,10,5,29,25,16,71,14,74,1669
