It had a positive impact on my mental wellbeing,Percentage
1. Strongly agree,39.95%
2. Agree,41.47%
3. Neither agree nor disagree,14.33%
4. Disagree,2.08%
5. Strongly disagree,1.47%
Don't know,0.69%
