Which of the following applies to you?,Survey,Bradford population
Currently in paid employment,55.28,50.9
Retired from paid work,35.27,18.9
Full-time student,2.63,6.6
Unemployed,0,3.6
Not currently employed but have been employed within last 12 months,2.47,0
Not been in paid employment for last 12 months,1.92,0
Never worked,0.36,0
Prefer not to say,2.06,0
