Type,Value,Start,End
In-person events,4553,2023-01-01,2026-04
Online/digital events,4,2023-01-01,2026-04
Festivals,2,2023-07-01,2026-03-31
Festival events,109,2023-07-01,2026-04
Exhibitions,25,2023-01-01,2026-03-31
Exhibition days,1848,2023-07-01,2026-04
Community-led arts events,1999,2023-01-01,2026-03-31
Free to access,5792,2023-01-01,2026-03-31
