Age range,Survey,Bradford population
16-19,1.03,5.48
20-24,2.15,6.06
25-29,3.51,6.32
30-34,4.53,6.96
35-39,6.91,7.00
40-44,7.95,6.52
45-49,8.72,6.19
50-54,9.49,6.27
55-59,11.16,5.89
60-64,15.75,5.27
65-69,13.48,4.42
70-74,8.94,4.09
75+,5.73,6.68
Prefer not to say,0.63,0
