Category,All,Bowling,Cliffe Castle,Lister,Wibsey
Actual emissions,12163.79,2662.43,2324.04,3909.04,3268.28
HVO no battery,50499.35,14235.85,9667.32,11739.37,14856.82
Diesel with battery,64508.42,14119.69,12325.14,20730.90,17332.70
Diesel no battery,267813.99,75497.19,51268.83,62257.59,78790.38
