Net Promoter Score,Month,Year
51.8,May,2024
57.1,June,2024
100,July,2024
33.3,August,2024
33.3,September,2024
67.7,January,2025
83.1,February,2025
74.9,March,2025
76.4,April,2025
70.5,May,2025
71.7,June,2025
71.9,July,2025
83.8,August,2025
83.3,September,2025
73,October,2025
71.5,November,2025
65.4,December,2025
47.2,January,2026
54.2,February,2026
