Project Name (fx),Project Name,Programme Category,CP - Unique Participants to date,CL - Unique Participants to date,CP Activity Category,Total UNIQUE People Receiving Training
Inducted Volunteers & Corporate Volunteers,Inducted Volunteers & Corporate Volunteers,Inducted Volunteers & Corporate Volunteers,0,0,Inducted Volunteers & Corporate Volunteers,2604
Earth & Sky,Earth & Sky,"Digital,Music,Outdoor arts,Heritage,Talent Development",0,1100,01 - General CP activity,23
Venice Biennale Fellowship,Venice Biennale Fellowship,"Talent Development,International",0,0,01 - General CP activity,2
Bradford Poetry Slam 2025,Bradford Poetry Slam 2025,"Literature,Theatre,Engagement,Talent Development",0,1781,01 - General CP activity,20
Bradford Made,Bradford Made,"Digital,Engagement,Heritage,Talent Development",0,1386,01 - General CP activity,177
Greed,Greed,Dance / Movement / Circus,0,10,01 - General CP activity,0
Penguin Books Partnership,Penguin Books Partnership,"Literature,Engagement",0,86,01 - General CP activity,0
Cultural Learning Steering Group,Cultural Learning Steering Group,"Engagement,Talent Development",0,15,01 - General CP activity,15
Bradford Digital Creatives ,Bradford Digital Creatives ,"Digital,Major,National Collaboration",0,2856,01 - General CP activity,0
Beacon Feature Curtain,Beacon Feature Curtain,"Visual Arts and Sculpture,Engagement",0,16,01 - General CP activity,0
PLAY: Escape Room Design Challenge,PLAY: Escape Room Design Challenge,"Engagement,Talent Development",0,93,01 - General CP activity,1
PLAY: Science Explorers Play Lab,PLAY: Science Explorers Play Lab,Engagement,0,583,01 - General CP activity,0
PLAY: Common Ground,PLAY: Common Ground,"Engagement,Talent Development",0,141,01 - General CP activity,4
Intro to Comedy Workshop Series with Alex Dunlop,Intro to Comedy Workshop Series with Alex Dunlop,"Performance - other,Talent Development",0,0,01 - General CP activity,10
Launchpad Music Industry Careers Day,Launchpad Music Industry Careers Day,Music,0,72,01 - General CP activity,0
PLAY: Drama Adventures with Alive & Kicking,PLAY: Drama Adventures with Alive & Kicking,"Engagement,Talent Development",0,1652,01 - General CP activity,7
Bradford Glow,Bradford Glow,"Engagement,Digital",0,175,01 - General CP activity,0
Cultural Learning One-Off Activity,Cultural Learning One-Off Activity,Engagement,0,11,01 - General CP activity,0
Charlie Mackesy Schools Talk,Charlie Mackesy Schools Talk,"Literature,Engagement",0,172,01 - General CP activity,0
Bertha Speaks,Bertha Speaks,"Engagement,Theatre,Talent Development",0,26,01 - General CP activity,2
Seat-y of Culture,Seat-y of Culture,Associated Events,0,500,01 - General CP activity,0
Bloom,Bloom,"Outdoor arts,Major,International,Dance / Movement / Circus,Talent Development",202,0,01 - General CP activity,14
Zee and the City,Zee and the City,"Outdoor arts,Dance / Movement / Circus,Heritage,Major,Engagement",1389,0,01 - General CP activity,0
The Railway Children,The Railway Children,"Theatre,Major",121,0,01 - General CP activity,0
Bradford on Foot,Bradford on Foot,"Heritage,Digital,Outdoor (not Outdoor arts),Talent Development",29,175,01 - General CP activity,4
Tu i Tam / Tyt i Tam,Tu i Tam / Tyt i Tam,"Visual Arts and Sculpture,International,Exhibition",388,0,01 - General CP activity,0
DRAW! (How to Films & non-Our Patch Events),DRAW! (How to Films & non-Our Patch Events),"Visual Arts and Sculpture,Digital",2514,37,01 - General CP activity,0
PLAY: The Great Adventure Build with Woodland Tribe,PLAY: The Great Adventure Build with Woodland Tribe,"Engagement,Outdoor arts,Major,Talent Development",1794,126,01 - General CP activity,15
Public Interest by Common/Wealth,Public Interest by Common/Wealth,"Theatre,Engagement",376,0,01 - General CP activity,0
RISE,RISE,"Broadcast,Outdoor arts,Theatre,Dance / Movement / Circus,Major",190,0,01 - General CP activity,0
