It helped me to feel connected to people in the community,Percentage
1. Strongly agree,37.30%
2. Agree,35.17%
3. Neither agree nor disagree,19.29%
4. Disagree,5.33%
5. Strongly disagree,2.50%
Don't know,0.42%
