Ethnicity,Survey,Bradford population
White / White British,84.27,61.1
Asian / Asian British,7.29,32.1
Mixed/multiple ethnic group,2.47,2.7
Black / Black British,2.00,2.0
Any other ethnic group,1.30,2.0
None of the above,0.57,0
Prefer to self describe,0.59,0
Prefer not to say,1.51,0
