type,code,count
oslaua,E06000004,1
oslaua,E06000065,3
oslaua,E08000003,1
oslaua,E08000032,122
oslaua,E08000033,5
oslaua,E08000034,4
oslaua,E08000035,15
oslaua,E09000003,1
oslaua,E09000005,1
osward,E05001341,2
osward,E05001342,4
osward,E05001343,3
osward,E05001344,1
osward,E05001345,2
osward,E05001346,3
osward,E05001347,46
osward,E05001348,5
osward,E05001350,6
osward,E05001351,2
osward,E05001352,8
osward,E05001354,2
osward,E05001355,1
osward,E05001356,2
osward,E05001359,3
osward,E05001360,3
osward,E05001361,1
osward,E05001362,6
osward,E05001363,6
osward,E05001364,10
osward,E05001365,2
osward,E05001366,2
osward,E05001367,1
osward,E05001368,1
postcode_area,BD1,10
postcode_area,BD10,1
postcode_area,BD13,6
postcode_area,BD14,4
postcode_area,BD15,4
postcode_area,BD16,5
postcode_area,BD17,3
postcode_area,BD18,6
postcode_area,BD2,6
postcode_area,BD21,3
postcode_area,BD3,5
postcode_area,BD4,3
postcode_area,BD5,1
postcode_area,BD6,3
postcode_area,BD7,37
postcode_area,BD8,11
postcode_area,BD9,10
postcode_area,LS29,4
TOTAL,TOTAL,790
