geography_code,geography_name,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 15 years,Aged 16 to 19 years,Aged 20 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 to 74 years,Aged 75 to 84 years,Aged 85 years and over,order
E05001358,Little Horton,8.5,9.5,12.6,8.2,7.9,13.4,21.2,11.9,4.3,1.9,0.7,-46.7
E05001346,Bradford Moor,8.0,8.9,12.3,7.6,8.1,14.2,21.0,12.5,4.5,2.0,0.8,-44.9
E05001364,Toller (Bradford),8.2,8.1,10.6,7.6,8.7,15.1,21.2,12.1,5.0,2.2,1.1,-43.199999999999996
E05001359,Manningham,7.3,8.2,11.0,8.1,8.5,15.0,21.2,12.0,5.5,2.2,1.1,-43.1
E05001347,City (Bradford),7.4,6.8,8.1,7.3,13.4,20.4,20.2,10.1,3.7,1.8,0.9,-43.0
E05001345,Bowling and Barkerend,8.6,8.7,10.6,6.7,7.5,15.3,20.5,13.5,5.2,2.5,0.9,-42.1
E05001352,Heaton (Bradford),8.3,9.1,10.7,6.9,6.7,14.4,20.6,13.5,5.5,3.0,1.3,-41.7
E05001351,Great Horton,8.3,8.8,10.7,6.7,6.7,13.4,21.4,13.3,6.2,3.0,1.5,-41.2
E05001355,Keighley Central,6.8,7.7,10.7,6.9,6.9,14.0,20.4,13.7,7.2,3.8,1.9,-39.0
E05001348,Clayton and Fairweather Green,6.6,7.6,11.0,6.0,5.8,12.1,18.9,17.0,8.6,4.4,2.0,-37.0
E05001365,Tong,7.6,8.1,9.8,5.7,5.7,13.8,19.3,18.3,6.9,3.5,1.3,-36.9
E05001350,Eccleshill,7.2,8.5,9.8,5.4,5.5,14.2,19.6,17.0,7.3,4.0,1.5,-36.4
E05001344,Bolton and Undercliffe,7.1,7.7,9.3,5.4,6.0,13.9,19.4,17.3,7.6,4.2,2.1,-35.5
E05001367,Wibsey,7.4,7.3,8.7,5.1,5.9,12.9,18.7,18.5,8.8,4.8,2.1,-34.4
E05001361,Royds,6.7,7.5,9.0,5.1,5.3,13.5,19.6,18.8,8.2,4.3,2.1,-33.6
E05001363,Thornton and Allerton,6.8,7.4,9.1,4.9,5.0,12.3,19.8,18.6,9.2,5.0,1.9,-33.2
E05001357,Keighley West,6.7,7.3,8.2,4.2,5.3,13.3,17.9,20.3,9.6,5.3,1.9,-31.7
E05001356,Keighley East,5.9,7.0,8.2,4.8,5.2,12.6,19.3,19.4,10.4,5.4,1.9,-31.1
E05001368,Windhill and Wrose,6.5,6.7,7.4,4.3,5.5,14.2,19.3,19.5,9.2,5.2,2.0,-30.4
E05001360,Queensbury (Bradford),6.1,6.3,7.9,4.6,5.0,13.5,19.8,21.1,9.2,4.6,1.8,-29.9
E05001370,Wyke,5.8,6.3,7.3,4.3,4.7,13.1,18.0,20.7,11.6,6.2,2.0,-28.4
E05001362,Shipley,5.2,5.9,6.8,4.2,4.8,14.8,21.6,18.7,9.3,5.7,3.0,-26.9
E05001353,Idle and Thackley,5.7,5.4,6.7,3.7,4.7,13.5,19.7,21.8,10.5,5.7,2.5,-26.200000000000003
E05001366,Wharfedale (Bradford),4.8,6.1,8.1,4.0,3.2,8.1,19.8,22.0,12.6,7.7,3.6,-26.2
E05001343,Bingley Rural,4.7,5.8,7.2,3.8,3.9,11.0,18.7,22.0,12.9,7.5,2.5,-25.4
E05001342,Bingley,4.3,5.5,7.1,3.6,4.1,10.7,19.3,21.6,12.5,7.7,3.7,-24.599999999999998
E05001341,Baildon,4.9,5.5,6.2,3.5,3.8,9.5,18.4,22.3,14.1,8.5,3.3,-23.9
E05001369,Worth Valley,4.3,5.4,6.1,3.7,4.3,10.7,18.8,25.0,13.2,6.1,2.2,-23.8
E05001354,Ilkley,3.3,5.0,7.8,4.2,3.2,6.9,17.4,22.4,13.1,10.6,6.1,-23.5
E05001349,Craven,4.5,5.4,5.8,3.3,3.6,11.4,17.8,21.6,14.2,8.9,3.5,-22.6
