geography_code,geography_name,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 15 years,Aged 16 to 19 years,Aged 20 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 to 74 years,Aged 75 to 84 years,Aged 85 years and over
E01010568,Bradford 016A,5.8,4.8,6.9,2.7,3.8,9.7,19.4,20.7,14.4,8.8,3.0
E01010569,Bradford 016B,5.3,6.9,6.7,3.2,3.9,11.6,20.5,19.6,13.0,6.1,3.1
E01010570,Bradford 018A,4.3,5.1,6.1,3.9,3.7,5.8,17.5,22.4,15.6,11.4,4.1
E01010571,Bradford 016C,6.9,7.4,7.1,3.4,5.8,16.5,20.5,16.0,9.4,5.4,1.7
E01010572,Bradford 016D,4.4,5.0,5.7,2.7,2.6,11.9,17.3,24.3,13.1,8.8,4.2
E01010573,Bradford 013A,4.8,5.3,5.8,4.5,2.7,7.2,18.7,27.7,14.6,6.5,2.3
E01010574,Bradford 013B,3.3,6.0,5.5,3.0,2.9,6.8,17.0,21.0,18.3,11.5,4.7
E01010575,Bradford 013C,2.9,5.1,5.7,3.9,3.1,8.0,17.7,22.1,16.7,11.4,3.4
E01010576,Bradford 016E,6.4,4.8,4.1,2.9,4.8,9.9,15.7,24.7,13.7,8.1,5.0
E01010577,Bradford 013D,4.1,5.0,7.9,5.1,3.5,6.5,18.9,24.1,14.0,8.1,2.8
E01010578,Bradford 015A,2.9,4.8,4.2,2.9,5.9,11.3,20.8,23.9,12.0,7.1,4.1
E01010579,Bradford 010A,2.7,4.6,5.9,4.0,4.0,6.9,16.9,22.9,15.0,11.7,5.4
E01010580,Bradford 010B,4.8,5.8,8.2,4.0,3.5,8.2,19.8,21.5,12.9,8.2,3.1
E01010581,Bradford 015B,5.8,7.2,8.1,4.4,4.0,13.5,19.5,20.1,9.9,5.8,1.8
E01010582,Bradford 015C,5.4,5.1,8.1,4.3,4.6,15.0,23.5,18.6,7.5,4.0,3.9
E01010583,Bradford 018B,5.1,7.0,8.5,3.2,3.6,10.5,19.1,21.9,12.5,6.8,2.0
E01010584,Bradford 015D,4.6,5.3,7.5,2.6,6.2,16.9,19.2,20.8,8.8,5.6,2.5
E01010585,Bradford 015E,4.0,5.5,7.4,4.2,3.2,10.8,20.4,18.2,11.7,8.1,6.5
E01010586,Bradford 022A,3.9,4.4,5.4,3.7,3.1,10.4,14.5,25.5,16.5,9.7,2.9
E01010587,Bradford 022B,4.7,6.3,8.6,3.6,3.6,10.9,21.8,23.4,10.3,5.2,1.6
E01010588,Bradford 022C,4.5,4.9,8.9,3.5,4.0,10.1,19.0,23.5,12.9,5.9,2.7
E01010589,Bradford 022D,3.2,3.5,5.0,3.1,4.6,8.0,17.9,22.4,17.6,11.4,3.2
E01010590,Bradford 031A,5.9,5.9,6.7,3.6,3.4,11.7,17.9,24.4,12.9,5.4,2.2
E01010591,Bradford 022E,6.4,6.9,8.4,3.5,4.0,12.0,18.0,17.8,12.3,7.5,3.2
E01010592,Bradford 031B,4.6,6.4,6.4,3.4,3.1,10.3,19.8,18.1,14.9,10.4,2.6
E01010593,Bradford 022F,3.5,5.0,6.3,4.4,4.5,11.1,18.2,21.8,11.9,10.4,2.9
E01010594,Bradford 031C,4.0,5.9,8.0,3.8,4.9,11.3,16.8,24.1,12.4,6.9,2.0
E01010595,Bradford 031D,5.9,7.0,8.1,4.7,4.5,13.6,20.6,20.5,8.2,5.2,1.5
E01010596,Bradford 022G,4.2,6.4,6.8,4.0,3.1,9.1,17.8,21.1,15.2,7.8,4.6
E01010597,Bradford 028A,6.3,7.3,8.2,3.6,4.7,15.1,17.6,21.7,9.5,4.1,1.9
E01010598,Bradford 028B,5.7,5.6,7.9,5.0,6.6,13.2,17.0,19.7,10.1,6.4,2.8
E01010599,Bradford 028C,7.1,9.0,9.4,5.4,5.5,14.4,19.9,17.0,7.5,3.0,1.8
E01010600,Bradford 028D,6.4,7.6,9.7,5.6,6.4,12.0,20.2,16.2,8.1,5.0,2.8
E01010601,Bradford 032A,7.8,8.0,8.8,4.9,4.9,13.8,20.7,17.6,6.9,4.3,2.2
E01010602,Bradford 028E,7.6,6.5,9.2,4.7,5.7,14.4,20.2,17.3,7.0,5.0,2.4
E01010603,Bradford 024A,6.1,7.1,8.1,3.4,5.2,14.5,17.3,20.0,9.7,6.3,2.2
E01010604,Bradford 024B,5.2,5.3,5.0,4.8,4.6,12.0,15.5,21.0,12.3,9.8,4.5
E01010605,Bradford 024C,7.2,7.4,10.5,4.9,5.4,12.7,18.0,21.2,7.9,3.7,1.0
E01010606,Bradford 064E,8.3,7.5,11.2,7.6,9.0,16.3,19.7,12.7,4.3,2.0,1.5
E01010607,Bradford 064C,8.1,9.5,10.4,7.3,8.1,19.4,20.2,11.5,3.3,1.9,0.4
E01010608,Bradford 045A,6.9,8.7,13.1,7.9,8.6,14.3,22.6,11.5,3.9,2.1,0.3
E01010609,Bradford 046A,8.4,7.9,8.1,4.5,4.4,12.9,20.0,18.1,9.2,4.9,1.6
E01010610,Bradford 046B,10.8,8.4,9.2,5.4,7.0,16.3,19.8,15.3,5.1,1.9,0.8
E01010611,Bradford 046C,9.7,9.1,8.5,4.5,6.8,16.6,20.1,13.9,6.9,3.1,0.9
E01010612,Bradford 052A,8.6,10.8,13.9,6.4,4.8,15.7,19.3,13.6,4.5,1.9,0.7
E01010613,Bradford 045B,7.8,6.1,8.5,6.4,7.2,12.5,19.0,19.6,7.3,4.0,1.5
E01010614,Bradford 046D,5.9,7.6,12.5,11.3,7.1,12.6,16.7,15.3,6.4,3.2,1.2
E01010615,Bradford 053A,7.1,7.2,8.2,5.7,5.9,12.6,20.2,18.9,8.4,3.9,1.9
E01010616,Bradford 053B,7.2,11.1,12.1,6.9,6.5,11.6,21.4,12.7,5.9,3.7,0.8
E01010617,Bradford 064B,9.8,10.5,10.1,5.2,6.9,14.5,23.3,11.9,4.7,2.0,1.0
E01010618,Bradford 038A,8.4,8.3,11.7,7.3,9.3,14.5,18.7,14.9,4.9,1.4,0.6
E01010619,Bradford 038B,8.9,8.3,11.2,6.8,8.4,15.4,20.5,12.8,5.1,1.9,0.8
E01010620,Bradford 042A,7.3,8.4,13.2,6.7,6.8,13.9,22.9,12.0,4.7,2.6,1.4
E01010621,Bradford 042B,6.8,8.9,13.6,9.3,9.2,14.5,20.9,11.7,3.0,1.3,0.9
E01010622,Bradford 042C,9.3,9.9,12.6,7.4,7.3,13.8,21.6,11.4,3.8,2.1,0.8
E01010623,Bradford 042D,7.4,9.4,11.0,5.8,7.5,15.7,20.4,12.2,6.8,2.7,1.1
E01010624,Bradford 042E,6.1,8.6,11.7,8.6,9.7,13.9,21.5,12.6,4.0,2.8,0.6
E01010625,Bradford 038C,8.4,10.7,14.1,8.7,7.3,12.7,21.0,10.8,4.3,1.6,0.4
E01010626,Bradford 038D,8.9,8.3,13.0,9.0,7.4,13.2,21.2,13.0,3.8,1.3,1.0
E01010627,Bradford 038E,8.9,7.9,10.3,5.6,7.1,14.8,20.9,15.3,5.7,2.6,0.8
E01010628,Bradford 040A,7.3,7.4,9.1,4.7,4.4,12.8,17.7,15.9,10.9,5.9,3.9
E01010629,Bradford 040B,6.0,8.2,11.9,7.5,8.2,11.4,21.7,12.3,7.3,3.8,1.6
E01010630,Bradford 040C,10.0,11.4,10.6,4.6,5.4,12.1,23.1,12.1,5.6,3.6,1.7
E01010631,Bradford 040D,6.2,10.3,12.6,7.1,4.8,12.0,20.0,17.4,5.8,3.2,0.4
E01010632,Bradford 040E,10.6,10.5,11.3,4.4,7.1,15.6,20.6,13.1,4.8,1.2,0.8
E01010633,Bradford 047A,6.6,5.5,7.5,4.8,4.0,12.0,18.7,19.5,13.4,6.0,2.1
E01010634,Bradford 047B,5.5,4.7,6.2,4.1,5.2,13.3,15.9,23.8,11.4,6.4,3.4
E01010635,Bradford 047C,7.1,7.3,7.5,4.2,6.2,14.1,16.4,20.8,9.4,5.0,2.1
E01010636,Bradford 047D,3.5,5.0,6.3,3.8,6.0,10.6,18.7,23.8,12.0,6.7,3.6
E01010637,Bradford 047E,4.0,5.4,24.1,13.0,5.7,8.6,15.8,14.6,5.8,2.2,0.8
E01010638,Bradford 062A,3.8,4.6,4.2,2.6,3.6,9.3,15.8,26.2,17.5,8.9,3.6
E01010639,Bradford 063C,4.8,6.8,5.8,2.8,3.5,13.7,19.3,19.3,12.9,8.1,2.9
E01010640,Bradford 063A,5.9,6.0,6.3,3.8,5.4,16.4,20.5,19.2,9.5,4.8,2.2
E01010641,Bradford 063B,3.5,5.1,5.8,5.1,3.4,8.7,18.1,18.9,16.8,9.3,5.3
E01010642,Bradford 062B,4.4,5.1,5.4,2.6,3.8,10.2,15.0,23.5,15.5,10.1,4.4
E01010643,Bradford 062E,4.0,4.4,5.3,2.6,3.9,18.1,17.9,23.9,11.6,5.8,2.5
E01010644,Bradford 062D,6.7,7.1,7.4,3.4,4.3,13.9,20.8,18.6,8.7,5.9,3.3
E01010645,Bradford 062C,4.9,5.5,5.9,3.8,3.8,11.9,20.8,21.7,12.7,6.9,1.9
E01010646,Bradford 001A,3.3,3.3,5.6,3.3,2.5,4.7,14.3,23.7,18.2,15.1,5.7
E01010647,Bradford 001B,3.3,5.3,6.5,3.7,2.0,7.8,15.7,20.8,19.8,12.2,2.8
E01010648,Bradford 001C,3.3,4.9,5.3,3.3,2.1,6.2,15.1,23.7,17.7,14.2,4.3
E01010649,Bradford 027A,5.6,5.8,7.3,4.4,5.4,15.9,19.6,21.0,8.6,4.8,1.4
E01010650,Bradford 027B,8.3,10.2,13.3,7.8,5.2,13.7,21.8,14.1,3.3,1.6,0.6
E01010651,Bradford 032B,6.6,7.7,9.2,5.2,4.2,14.6,18.1,19.2,8.3,4.7,2.3
E01010652,Bradford 026A,5.3,4.8,6.3,3.1,6.1,12.0,16.4,19.7,12.8,9.9,3.6
E01010653,Bradford 026B,7.5,10.1,9.4,5.4,4.6,14.0,19.7,16.6,7.3,4.2,1.1
E01010654,Bradford 027C,7.1,9.8,10.8,5.8,6.2,13.5,21.6,15.1,6.4,2.5,1.1
E01010655,Bradford 026C,8.0,9.3,11.0,7.4,5.7,14.3,19.6,15.1,4.8,3.9,0.7
E01010656,Bradford 026D,5.5,5.8,7.9,5.6,5.3,11.3,17.7,20.8,9.3,6.9,3.7
E01010657,Bradford 026E,6.7,6.0,7.0,3.5,5.0,17.4,17.0,20.7,9.0,5.5,2.2
E01010658,Bradford 041A,7.9,9.7,12.0,7.4,6.3,13.0,22.0,12.5,5.7,2.8,0.7
E01010659,Bradford 049A,8.9,11.2,11.9,6.3,6.7,10.8,23.3,12.0,5.7,2.4,0.7
E01010662,Bradford 049D,7.4,7.8,10.0,6.4,5.5,11.9,21.7,15.6,9.1,3.4,1.1
