project_name,audience,events,interactions,participant_instances,participants
,,,,,1180
A Good Yarn: Luke Jerram,13979,126,,2299,2065
A Portrait of Us - Outdoor Exhibition,718630,1,,0,0
A Somali Village in Lister Park: Friends of Bradford Art Galleries and Museums,90,1,,0,0
A World Without Death,0,3,,0,0
Akram Khan and Dance United - Memories of the Future,1060,1,,0,0
An Evening with Resi/Dance @ The Beacon (Dance United),86,1,,0,0
An Evening with: Jacqui Dankworth,155,1,,0,0
Ark,100,22,,365,348
Art & Play Family Day,0,1,,117,117
"Aswad Arts Presents StreetSounds ""LIVE"" Bhangra Niche Set ""LIVE""",86,1,,0,0
At The 1 in 12,159,12,,192,186
BBC Bitesize,0,1,,0,0
BBC Bradford Fire Doc,0,1,,0,0
BBC Contains Strong Language,4001,44,,0,0
BBC Extraordinary Portraits,11004,19,,1200,1200
BBC Introducing @ The Beacon,126,2,,9,9
BBC Introducing at The Underground,0,4,,0,0
BBC: Not Even Water Live (Podcast Recording),40,1,,0,0
BD is Lit 2023,32000,2,,0,0
BD: Is LIT 2025,30000,9,,0,0
BD: Walls,0,20,,350,217
BOLD! Bradford Artist Scratch Night,33,1,,0,0
Babysphere & Colorsphere,424,5,,0,0
Back In The Pink - Castles In The Sky,780,7,,7,7
Bantam of the Opera,32033,1,,,
Basel Zaraa - Moomins,983,30,,346,132
Bassline Symphony,60,43,,1273,249
Baton of Hope,682,2,,0,0
Beacon,0,4,,0,0
Beacon Church Community Cuppa,0,1,,76,76
Beacon Feature Curtain,0,3,,272,32
Bertha Speaks,,,,26,26
Beyond the Spectrum,0,1,,0,0
Big Bradford WESTival Celebration of Culture and Community,149,1,,0,0
Big Brass Blowout,2444,22,,99,33
Big Quiffy Bingo,62,1,,0,0
Blankets & Wine Festival Bradford,547,1,,0,0
Bloom,0,63,,2954,147
Bradford 2025 Partners and Funders Networking Event,0,1,,0,0
Bradford 2025 Volunteer Celebration,0,1,,0,0
Bradford 2025 Website,,,2713966,,
Bradford A City Of Film: A Screen Near You - Bradford Cinema Creators (Cinema for All),0,6,,0,0
Bradford A City Of Film: A Screen Near You - The Incredible Moving Cinema,1004,5,,0,0
Bradford A City Of Film: The Bigger Picture - Film Festivals Support,0,3,,0,0
Bradford A City of Film: A Screen Near You - The Collective View (Film Societies Support),0,7,,0,0
Bradford A City of Film: Big Screen @Cannon Mills,1076,6,,0,0
Bradford A City of Film: Big Screen @Ilkley Lido,650,2,,0,0
Bradford A City of Film: Big Screen @Milner Field,0,2,,0,0
Bradford A City of Film: Big Screen@ Thornton Viaduct,237,1,,0,0
Bradford A City of Film: The Bigger Picture - Other Independent Cinema Support,0,8,,0,0
Bradford A City of Film: The Bigger Picture - Pictureville Year Round Programme,0,13,,0,0
Bradford Belles,146,2,,0,0
Bradford City Fire 40th Anniversary Memorial,0,1,,0,0
Bradford Digital Creatives (BDC),35275,1,,0,0
Bradford Glow,0,2,,950,502
Bradford Literature Festival - New Commissions,0,1,,0,0
Bradford Literature Festival @ Loading Bay,60,4,,0,0
Bradford Made,154,22,,685,685
Bradford Made MASTER,,,,231,231
Bradford On Foot,3776,0,,,
Bradford Poetry Slam 2025,110,28,,10450,3562
Bradford Producing Hub,,421,,,
Bradford Resource Centre archiving,0,1,,0,0
Bradford Sanctuary Seekers Education Awards 2025,0,1,,115,115
Bradford Selection,1383,2,,0,0
Bradford South Asian Festival : Shadmanny,0,24,,447,447
Bradford South Young Peoples Celebration (Youth Service),0,1,,70,70
Bradford StoryHub Drop In,0,2,,0,0
Bradford on Foot,12912,29,,945,439
Bradford: A City of Film,0,12,,0,0
Built By Sound (formerly Daytimers),192,22,,16,16
CANCELLED Stick in the Wheel,0,1,,0,0
CBeebies Bedtime Story Day,930,8,,0,0
CHANNELS,1130,0,,,
Camille O'Sullivan,175,1,,0,0
Celebrations of Bradford 2025 and LNER Partnership,120,1,,,
Channels (Bodies of Water) - Turbynes,0,3,,0,0
Charlie Mackesy Schools Talk,0,1,,344,344
Chasing the Wind,110,4,,0,0
Claytime,227,2,,0,0
Cliffe Castle Park 75th Birthday Bash,3253,1,,0,0
Closing Event (Brighter Still) - Emily Lim/Dan Canham,0,4,,84,84
Club Ekta (multiple events),0,2,,45,45
Cocoa Butter Club,73,2,,0,0
Come Rest in Chaos,42,1,,0,0
Comma Press 'Book of the City',64,8,,0,0
Common/Wealth: Public Interest,1051,18,,0,0
Community Takeover Days at Bradford City Football Club,0,4,,0,0
Compagnie Off: Giraffes,10232,7,,67,34
Connecting Communities,0,1,,392,392
Contains Strong Language - BBC,,,,0,0
Creative Briefs - Escape Room Design,,,,33,11
Creative Careers Festival,0,11,,0,0
Creative Cities Convention,436,2,,0,0
Creative Health,,14,,,
Creative Summer Social (Cultural Voice Forum),58,1,,441,441
Cricket Tournament Awards Ceremony,0,1,,60,60
Cultural Learning One-Off Activity,155,1,,0,0
Cultural Learning Steering Group,0,11,,128,28
Curious Investigators,245,2,,0,0
DRAW,,0,,,718
DRAW!,,,,37,37
DRAW! (How to Films & non-Our Patch Events),0,8,,37,37
Dancing with Colours,47,1,,0,0
David Hockney: Pieced Together,24007,122,,,
Digital Creatives,,,,0,0
Digital Map,0,1,,0,0
Do your thing micro awards,,53,,,
Dracula,705,4,,0,0
Drag-ford: Drag Cabaret Built in Bradford,56,2,,18,18
Dragons - Eun-Me Ahn Company,1274,2,,0,0
Drum Roll Please,0,10,,104,67
Earth & Sky (part of Wild Uplands),2943,66,,12358,2230
Easter Fun and Celebration,0,1,,421,421
Eggs Collective Dark Nights,130,2,,0,0
Elevate - Heritage Skills Project,474,26,,77,28
Eliza Carthy,175,1,,0,0
Elmet,1295,34,,88,87
Endless Hum,158,1,,0,0
