month,event_type,variable_group,variable,value
2024-01-01,Closed,ALL,events,3
2024-01-01,Closed,ALL,participant_instances,45
2024-01-01,Closed,ALL,participants,27
2024-02-01,Closed,ALL,audience,0
2024-02-01,Closed,ALL,events,7
2024-02-01,Closed,ALL,participant_instances,59
2024-02-01,Closed,ALL,participants,40
2024-03-01,Closed,ALL,audience,0
2024-03-01,Closed,ALL,events,3
2024-03-01,Closed,ALL,participant_instances,79
2024-03-01,Closed,ALL,participants,79
2024-04-01,,ALL,audience,0
2024-04-01,,ALL,participant_instances,25
2024-04-01,,ALL,participants,25
2024-04-01,Closed,ALL,audience,0
2024-04-01,Closed,ALL,events,4
2024-04-01,Closed,ALL,participant_instances,77
2024-04-01,Closed,ALL,participants,75
2024-05-01,,ALL,audience,325
2024-05-01,,ALL,events,15
2024-05-01,,ALL,interactions,11022
2024-05-01,,ALL,participant_instances,450
2024-05-01,,ALL,participants,150
2024-05-01,Closed,ALL,audience,0
2024-05-01,Closed,ALL,events,4
2024-05-01,Closed,ALL,participant_instances,470
2024-05-01,Closed,ALL,participants,170
2024-05-01,Open,ALL,audience,68443
2024-05-01,Open,ALL,events,54
2024-05-01,Open,ALL,participant_instances,26
2024-05-01,Open,ALL,participants,26
2024-06-01,,ALL,audience,0
2024-06-01,,ALL,events,34
2024-06-01,,ALL,interactions,10296
2024-06-01,,ALL,participant_instances,234
2024-06-01,,ALL,participants,234
2024-06-01,Closed,ALL,audience,0
2024-06-01,Closed,ALL,events,7
2024-06-01,Closed,ALL,participant_instances,303
2024-06-01,Closed,ALL,participants,283
2024-06-01,Open,ALL,audience,20833
2024-06-01,Open,ALL,events,31
2024-06-01,Open,ALL,participant_instances,0
2024-06-01,Open,ALL,participants,0
2024-07-01,,ALL,audience,250
2024-07-01,,ALL,events,29
2024-07-01,,ALL,interactions,16449
2024-07-01,,ALL,participant_instances,27
2024-07-01,,ALL,participants,27
2024-07-01,Closed,ALL,audience,0
2024-07-01,Closed,ALL,events,3
2024-07-01,Closed,ALL,participant_instances,33
2024-07-01,Closed,ALL,participants,33
2024-07-01,Open,ALL,audience,20833
2024-07-01,Open,ALL,events,31
2024-07-01,Open,ALL,participant_instances,0
2024-07-01,Open,ALL,participants,0
2024-08-01,,ALL,audience,5000
2024-08-01,,ALL,events,29
2024-08-01,,ALL,interactions,16679
2024-08-01,,ALL,participant_instances,0
2024-08-01,,ALL,participants,0
2024-08-01,Closed,ALL,audience,0
2024-08-01,Closed,ALL,events,2
2024-08-01,Closed,ALL,participant_instances,38
2024-08-01,Closed,ALL,participants,36
2024-08-01,Open,ALL,audience,26065
2024-08-01,Open,ALL,events,45
2024-08-01,Open,ALL,participant_instances,383
2024-08-01,Open,ALL,participants,352
2024-09-01,,ALL,audience,25
2024-09-01,,ALL,events,28
2024-09-01,,ALL,interactions,16339
2024-09-01,,ALL,participant_instances,1427
2024-09-01,,ALL,participants,1355
2024-09-01,Closed,ALL,audience,42
2024-09-01,Closed,ALL,events,45
2024-09-01,Closed,ALL,participant_instances,1427
2024-09-01,Closed,ALL,participants,1355
2024-09-01,Open,ALL,audience,739512
2024-09-01,Open,ALL,events,33
2024-09-01,Open,ALL,participant_instances,0
2024-09-01,Open,ALL,participants,0
2024-10-01,,ALL,audience,0
2024-10-01,,ALL,events,13
2024-10-01,,ALL,interactions,9699
2024-10-01,,ALL,participant_instances,782
2024-10-01,,ALL,participants,725
2024-10-01,Closed,ALL,audience,0
2024-10-01,Closed,ALL,events,36
2024-10-01,Closed,ALL,participant_instances,1027
2024-10-01,Closed,ALL,participants,902
2024-11-01,,ALL,audience,280
2024-11-01,,ALL,events,2
2024-11-01,,ALL,interactions,14176
2024-11-01,,ALL,participant_instances,351
2024-11-01,,ALL,participants,444
2024-11-01,Closed,ALL,audience,0
2024-11-01,Closed,ALL,events,30
2024-11-01,Closed,ALL,participant_instances,968
2024-11-01,Closed,ALL,participants,271
2024-11-01,Open,ALL,audience,23710
2024-11-01,Open,ALL,events,31
2024-11-01,Open,ALL,participant_instances,53
2024-11-01,Open,ALL,participants,53
2024-12-01,,ALL,audience,0
2024-12-01,,ALL,events,1
2024-12-01,,ALL,interactions,39919
2024-12-01,,ALL,participant_instances,500
2024-12-01,,ALL,participants,262
2024-12-01,Closed,ALL,audience,0
2024-12-01,Closed,ALL,events,20
2024-12-01,Closed,ALL,participant_instances,1061
2024-12-01,Closed,ALL,participants,233
2024-12-01,Open,ALL,audience,22436
2024-12-01,Open,ALL,events,32
2024-12-01,Open,ALL,participant_instances,0
2024-12-01,Open,ALL,participants,0
2025-01-01,,ALL,audience,16576
2025-01-01,,ALL,events,213
2025-01-01,,ALL,interactions,172684
2025-01-01,,ALL,participant_instances,923
2025-01-01,,ALL,participants,658
2025-01-01,Closed,ALL,audience,0
2025-01-01,Closed,ALL,events,58
2025-01-01,Closed,ALL,participant_instances,2678
2025-01-01,Closed,ALL,participants,1385
2025-01-01,Open,ALL,audience,72327
2025-01-01,Open,ALL,events,40
2025-01-01,Open,ALL,participant_instances,850
2025-01-01,Open,ALL,participants,79
2025-02-01,,ALL,audience,16799
2025-02-01,,ALL,events,198
2025-02-01,,ALL,interactions,152417
2025-02-01,,ALL,participant_instances,2375
2025-02-01,,ALL,participants,1219
2025-02-01,Closed,ALL,audience,0
2025-02-01,Closed,ALL,events,101
2025-02-01,Closed,ALL,participant_instances,3615
2025-02-01,Closed,ALL,participants,1803
2025-02-01,Open,ALL,audience,278263
2025-02-01,Open,ALL,events,306
2025-02-01,Open,ALL,participant_instances,136
2025-02-01,Open,ALL,participants,128
2025-03-01,,ALL,audience,36838
2025-03-01,,ALL,events,284
2025-03-01,,ALL,interactions,210613
2025-03-01,,ALL,participant_instances,1767
2025-03-01,,ALL,participants,668
2025-03-01,Closed,ALL,audience,0
2025-03-01,Closed,ALL,events,144
2025-03-01,Closed,ALL,participant_instances,5300
2025-03-01,Closed,ALL,participants,2614
2025-03-01,Open,ALL,audience,72845
2025-03-01,Open,ALL,events,104
2025-03-01,Open,ALL,participant_instances,885
2025-03-01,Open,ALL,participants,421
2025-04-01,,ALL,audience,38044
2025-04-01,,ALL,events,315
2025-04-01,,ALL,interactions,204063
2025-04-01,,ALL,participant_instances,1179
2025-04-01,,ALL,participants,723
2025-04-01,Closed,ALL,audience,0
2025-04-01,Closed,ALL,events,273
2025-04-01,Closed,ALL,participant_instances,7824
2025-04-01,Closed,ALL,participants,4599
2025-04-01,Open,ALL,audience,352990
2025-04-01,Open,ALL,events,167
2025-04-01,Open,ALL,participant_instances,5471
2025-04-01,Open,ALL,participants,4315
2025-05-01,,ALL,audience,82832
2025-05-01,,ALL,events,615
2025-05-01,,ALL,interactions,375706
2025-05-01,,ALL,participant_instances,1286
2025-05-01,,ALL,participants,385
2025-05-01,Closed,ALL,audience,60
2025-05-01,Closed,ALL,events,263
2025-05-01,Closed,ALL,participant_instances,7620
2025-05-01,Closed,ALL,participants,3338
2025-05-01,Open,ALL,audience,108735
2025-05-01,Open,ALL,events,305
2025-05-01,Open,ALL,participant_instances,6180
2025-05-01,Open,ALL,participants,5025
2025-06-01,,ALL,audience,38686
2025-06-01,,ALL,events,331
2025-06-01,,ALL,interactions,193220
2025-06-01,,ALL,participant_instances,5576
2025-06-01,,ALL,participants,3282
2025-06-01,Closed,ALL,audience,75
2025-06-01,Closed,ALL,events,343
2025-06-01,Closed,ALL,participant_instances,13678
2025-06-01,Closed,ALL,participants,5299
2025-06-01,Open,ALL,audience,80144
2025-06-01,Open,ALL,events,156
2025-06-01,Open,ALL,participant_instances,3312
2025-06-01,Open,ALL,participants,1125
2025-07-01,,ALL,audience,42759
2025-07-01,,ALL,events,292
2025-07-01,,ALL,interactions,267949
2025-07-01,,ALL,participant_instances,1679
2025-07-01,,ALL,participants,1076
2025-07-01,Closed,ALL,audience,287
2025-07-01,Closed,ALL,events,237
2025-07-01,Closed,ALL,participant_instances,11726
2025-07-01,Closed,ALL,participants,5668
2025-07-01,Open,ALL,audience,66380
2025-07-01,Open,ALL,events,207
2025-07-01,Open,ALL,participant_instances,11148
2025-07-01,Open,ALL,participants,7633
2025-08-01,,ALL,audience,52114
2025-08-01,,ALL,events,332
2025-08-01,,ALL,interactions,268695
2025-08-01,,ALL,participant_instances,48
2025-08-01,,ALL,participants,82
2025-08-01,Closed,ALL,audience,30
2025-08-01,Closed,ALL,events,147
2025-08-01,Closed,ALL,participant_instances,7030
2025-08-01,Closed,ALL,participants,3924
2025-08-01,Open,ALL,audience,65217
2025-08-01,Open,ALL,events,235
2025-08-01,Open,ALL,participant_instances,9640
2025-08-01,Open,ALL,participants,6944
2025-09-01,,ALL,audience,14551
2025-09-01,,ALL,events,216
2025-09-01,,ALL,interactions,263348
2025-09-01,,ALL,participant_instances,1559
2025-09-01,,ALL,participants,826
2025-09-01,Closed,ALL,audience,106
2025-09-01,Closed,ALL,events,208
2025-09-01,Closed,ALL,participant_instances,9588
2025-09-01,Closed,ALL,participants,3910
2025-09-01,Open,ALL,audience,71901
2025-09-01,Open,ALL,events,227
2025-09-01,Open,ALL,participant_instances,7231
2025-09-01,Open,ALL,participants,5678
2025-10-01,,ALL,audience,10554
2025-10-01,,ALL,events,294
2025-10-01,,ALL,interactions,224468
2025-10-01,,ALL,participant_instances,3487
2025-10-01,,ALL,participants,1854
2025-10-01,Closed,ALL,audience,182
2025-10-01,Closed,ALL,events,202
2025-10-01,Closed,ALL,participant_instances,6584
2025-10-01,Closed,ALL,participants,2946
2025-10-01,Open,ALL,audience,117569
2025-10-01,Open,ALL,events,186
2025-10-01,Open,ALL,participant_instances,3290
2025-10-01,Open,ALL,participants,2216
2025-11-01,,ALL,audience,128192
2025-11-01,,ALL,events,127
2025-11-01,,ALL,interactions,217570
2025-11-01,,ALL,participant_instances,6417
2025-11-01,,ALL,participants,2853
2025-11-01,Closed,ALL,audience,6969
2025-11-01,Closed,ALL,events,233
2025-11-01,Closed,ALL,participant_instances,7473
2025-11-01,Closed,ALL,participants,2779
2025-11-01,Open,ALL,audience,43782
2025-11-01,Open,ALL,events,212
2025-11-01,Open,ALL,participant_instances,2466
2025-11-01,Open,ALL,participants,1203
2025-12-01,,ALL,audience,0
2025-12-01,,ALL,events,42
2025-12-01,,ALL,interactions,35500
2025-12-01,,ALL,participant_instances,4914
2025-12-01,,ALL,participants,1074
2025-12-01,Closed,ALL,audience,839
2025-12-01,Closed,ALL,events,43
2025-12-01,Closed,ALL,participant_instances,5036
2025-12-01,Closed,ALL,participants,1111
2025-12-01,Open,ALL,audience,1512
2025-12-01,Open,ALL,events,22
2025-12-01,Open,ALL,participant_instances,224
2025-12-01,Open,ALL,participants,219
