week_ending,weekly,total
2024-09-01,3,3
2024-10-13,4,7
2024-10-20,6,13
2024-10-27,618,631
2024-11-03,82,713
2024-11-10,2519,3232
2024-11-17,388,3620
2024-11-24,5715,9335
2024-12-01,1086,10421
2024-12-08,1093,11514
2024-12-15,2442,13956
2024-12-22,2991,16947
2024-12-29,2396,19343
2025-01-05,4364,23707
2025-01-12,8059,31766
2025-01-19,1738,33504
2025-01-26,2460,35964
2025-02-02,1736,37700
2025-02-09,1019,38719
2025-02-16,651,39370
2025-02-23,761,40131
2025-03-02,1664,41795
2025-03-09,1999,43794
2025-03-16,1792,45586
2025-03-23,1813,47399
2025-03-30,1229,48628
2025-04-06,2390,51018
2025-04-13,3161,54179
2025-04-20,1334,55513
2025-04-27,2181,57694
2025-05-04,1825,59519
2025-05-11,1149,60668
2025-05-18,1860,62528
2025-05-25,2691,65219
2025-06-01,2503,67722
2025-06-08,4658,72380
2025-06-15,1678,74058
2025-06-22,1166,75224
2025-06-29,2346,77570
2025-07-06,2588,80158
2025-07-13,1924,82082
2025-07-20,6127,88209
2025-07-27,5764,93973
2025-08-03,7456,101429
2025-08-10,6451,107880
2025-08-17,5195,113075
2025-08-24,2407,115482
2025-08-31,2420,117902
2025-09-07,5079,122981
2025-09-14,3490,126471
2025-09-21,4975,131446
2025-09-28,7218,138664
2025-10-05,13565,152229
2025-10-12,7029,159258
2025-10-19,3779,163037
2025-10-26,7378,170415
2025-11-02,4959,175374
