week_ending,weekly,total
2024-06-30,8,8
2024-07-07,21,29
2024-07-14,6,35
2024-07-21,4,39
2024-07-28,5,44
2024-08-04,6,50
2024-08-11,183,233
2024-08-18,204,437
2024-08-25,84,521
2024-09-01,105,626
2024-09-08,281,907
2024-09-15,214,1121
2024-09-22,16,1137
2024-09-29,4,1141
2024-10-13,5,1146
2024-10-20,5,1151
2024-10-27,269,1420
2024-11-03,39,1459
2024-11-10,765,2224
2024-11-17,121,2345
2024-11-24,1588,3933
2024-12-01,336,4269
2024-12-08,404,4673
2024-12-15,726,5399
2024-12-22,835,6234
2024-12-29,654,6888
2025-01-05,1460,8348
2025-01-12,3102,11450
2025-01-19,439,11889
2025-01-26,720,12609
2025-02-02,431,13040
2025-02-09,289,13329
2025-02-16,211,13540
2025-02-23,267,13807
2025-03-02,491,14298
2025-03-09,712,15010
2025-03-16,631,15641
2025-03-23,539,16180
2025-03-30,410,16590
2025-04-06,782,17372
2025-04-13,1169,18541
2025-04-20,612,19153
2025-04-27,550,19703
2025-05-04,623,20326
2025-05-11,395,20721
2025-05-18,574,21295
2025-05-25,864,22159
2025-06-01,839,22998
2025-06-08,1727,24725
2025-06-15,645,25370
2025-06-22,410,25780
2025-06-29,717,26497
2025-07-06,870,27367
2025-07-13,751,28118
2025-07-20,2065,30183
2025-07-27,1844,32027
2025-08-03,2557,34584
2025-08-10,2346,36930
2025-08-17,1805,38735
2025-08-24,953,39688
2025-08-31,943,40631
2025-09-07,1929,42560
2025-09-14,1286,43846
2025-09-21,2069,45915
2025-09-28,2638,48553
2025-10-05,4310,52863
2025-10-12,2598,55461
2025-10-19,1369,56830
2025-10-26,2362,59192
2025-11-02,2223,61415
2025-11-09,1782,63197
2025-11-16,1114,64311
2025-11-23,1237,65548
2025-11-30,1143,66691
2025-12-07,1868,68559
2025-12-14,1382,69941
2025-12-21,85,70026
