organisation,company_number
Blaize,03594859
Bradford Festival Choral Society,07346050
Displace Yourself Theatre,10660125
Edible Archives CIC,15360025
Freedom Studios,06278119
Ilkley Manor House Trust,10801113
Impressions Gallery of Photography Limited,01161029
Irregular Arts,09051067
Kala Sangam,03195878
Mind the Gap,02348556
Mobius Dance Group Limited,12546073
Tech Styles Dance LTD,11315314
The Bronte Society,00073855
Wizer cic,13339816
