,organisation,charity_name,registered_charity_number,charity_company_registration_number
0,Bradford Festival Choral Society,BRADFORD FESTIVAL CHORAL SOCIETY,1141596,07346050
1,Ilkley Manor House Trust,ILKLEY MANOR HOUSE TRUST,1174051,10801113
2,Impressions Gallery of Photography Limited,IMPRESSIONS GALLERY OF PHOTOGRAPHY LIMITED,503238,01161029
3,Mind the Gap,MIND THE GAP,328476,02348556
4,Mobius Dance Group Limited,MOBIUS DANCE GROUP LIMITED,1193822,12546073
