event_name,start,tickets
PLAY: Grue,2025-02-06 17:45:00,4
PLAY: Grue,2025-02-07 16:00:00,8
PLAY: Grue,2025-02-07 16:20:00,9
PLAY: Grue,2025-02-07 16:40:00,10
PLAY: Grue,2025-02-07 17:00:00,9
PLAY: Grue,2025-02-07 17:20:00,7
PLAY: Grue,2025-02-08 10:00:00,8
PLAY: Grue,2025-02-08 10:20:00,8
PLAY: Grue,2025-02-08 10:40:00,8
PLAY: Grue,2025-02-08 11:00:00,8
PLAY: Grue,2025-02-08 11:20:00,8
PLAY: Grue,2025-02-08 11:40:00,6
PLAY: Grue,2025-02-08 12:00:00,8
PLAY: Grue,2025-02-08 12:20:00,9
PLAY: Grue,2025-02-08 13:50:00,8
PLAY: Grue,2025-02-08 14:10:00,8
PLAY: Grue,2025-02-08 14:30:00,8
PLAY: Grue,2025-02-08 14:50:00,8
PLAY: Grue,2025-02-08 15:10:00,9
PLAY: Grue,2025-02-08 15:30:00,8
PLAY: Grue,2025-02-08 15:50:00,8
PLAY: Grue,2025-02-08 16:10:00,7
PLAY: Grue,2025-02-08 16:30:00,7
PLAY: Grue,2025-02-08 16:50:00,7
PLAY: Grue,2025-02-08 17:10:00,7
PLAY: Grue,2025-02-08 17:30:00,8
PLAY: Grue,2025-02-09 10:00:00,7
PLAY: Grue,2025-02-09 10:20:00,7
PLAY: Grue,2025-02-09 10:40:00,8
PLAY: Grue,2025-02-09 11:00:00,10
PLAY: Grue,2025-02-09 11:20:00,8
PLAY: Grue,2025-02-09 11:40:00,7
PLAY: Grue,2025-02-09 12:00:00,8
PLAY: Grue,2025-02-09 12:20:00,8
PLAY: Grue,2025-02-09 13:50:00,8
PLAY: Grue,2025-02-09 14:10:00,8
PLAY: Grue,2025-02-09 14:30:00,8
PLAY: Grue,2025-02-09 14:50:00,8
PLAY: Grue,2025-02-09 15:10:00,7
PLAY: Grue,2025-02-09 15:30:00,7
PLAY: Grue,2025-02-09 15:50:00,8
PLAY: Grue,2025-02-09 16:10:00,8
PLAY: Grue,2025-02-09 16:30:00,7
