project_name,2023-07-01,2023-11-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01
Our Patch - Creative Flare Clayton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,26,0,0,0
Our Patch - DRAW Tour Workshops: East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,99,29,9,10,454,100,111,0,0
Our Patch - DRAW Tour Workshops: Keighley & Ilkley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,29,23,26,173,19,20,0,0,0
Our Patch - DRAW Tour Workshops: Shipley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,91,34,56,186,104,0,21,24,0
Our Patch - DRAW Tour Workshops: South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,7,10,24,15,18,7,17,10,0
Our Patch - DRAW Tour Workshops: West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,81,13,25,55,0,25,0,0,0
Our Patch - Delius School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,54,48,36,40,17,23,0,10,0
Our Patch - Denholme Juniors Youth Group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,12,0,0,0,0,0,0
Our Patch - Denholme Mural Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,95,0,0
Our Patch - Denholme Youth Group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,28,43,57,0,4,2,0
Our Patch - Dhol Drumming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,40,36,11,0,0
Our Patch - Get2Gether Group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,46,49,0,0,0,0,0
Our Patch - Girafes Workshops,0,0,0,0,0,0,0,0,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Our Patch - Hainworth Wood Older People’s Lunch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0
Our Patch - Holme in the Wood coffee shop and Bierley Church - BD4 Artistes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,35,0
Our Patch - Holmewood Library Mosaic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,21,0,0,0,0,0,0,0
Our Patch - In Other Words,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
Our Patch - K Town Sound Machine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,52,54,0,0,0,0
Our Patch - KAWACC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,47,0
Our Patch - Laisterdyke Women's Tapestry and Craft Group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,3,0,0,0,0,0
Our Patch - Lower Grange Art Club,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,35,36,0,52,0,0,0,0
Our Patch - Lower Grange Choir Grief Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,27,0,123,84,77,0
Our Patch - Lower Grange Culture Cafe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,135,96,73,53,99,118,0,22,0
Our Patch - MAPA Girls Group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,109,120,107,107,307,0,0
Our Patch - MAPA Youth Group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,81,73,0,25,5,17,0,0,0
Our Patch - Marie Curie Residents Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,9,22,12,23,6,0
Our Patch - Masjid Ayesha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0
Our Patch - Motiv8 - What you sayin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
Our Patch - Musical Stories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,360,26,0,0
Our Patch - Northcliffe Environmental Enterprises Team (NEET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,35,19,36,24,0,36,32,0
Our Patch - One-off community events: East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,508,143,81,905,0,0,0
Our Patch - One-off community events: Keighley & Ilkley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,40,72,129,526,164,11,0
Our Patch - One-off community events: Shipley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,0,71,201,449,713,0
Our Patch - One-off community events: South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,828,210,0,22
Our Patch - One-off community events: West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,49,0,0
Our Patch - Our Holmewood Mural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,64,0
"Our Patch - Our Story, Our City",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Our Patch - Parkside Tapestry Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,91,29,0,0,0,89,0
Our Patch - Pop up repair patch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,35,0,0,0,0,0
Our Patch - Possibilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,72,93,69,39,0,0,0,0,0
Our Patch - Public Art Trail Holmewood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,52,0,0,0,0,0,0
Our Patch - Ravenscliffe Drumming Workshops,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,75,87,0,0,0
Our Patch - Reevy Hill Mural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,26,16,29,0
Our Patch - Rhythms on The Road East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
Our Patch - Roots & Fruits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,165,0
Our Patch - Salvation Army,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,15,0,0,0,0,0,0,0
Our Patch - Sangat Centre - Keighley Central,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0
Our Patch - Scouts and Cubs at St James Church Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,65,118,24,0
Our Patch - Shipley Resource Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,16,0,0,0,0
Our Patch - Shipley trip to Public Interest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
Our Patch - Short Breaks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,16,0,0,0,0,0,0,0
Our Patch - Singing for Wellbeing at The Good Shepherd Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,64,6,17,48,34,0,30,0
Our Patch - St Hugh's Craft Group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
Our Patch - St Wilfrid's Community Cafe - Storytelling porject,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,40,0
Our Patch - St Wilfrids Church - Church Star Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
Our Patch - Street Dance (Bolton Woods Centre/Black History Month),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
Our Patch - Street Sounds 9 at Bolton Community Church,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0
Our Patch - Summer Reading Challenge (All Areas),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0
Our Patch - Summer Reading Challenge-East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0
Our Patch - TFD Centre Youth Club Girls Group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Our Patch - The Blank Page Club,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,39,0,0,0
Our Patch - The Bridge - Cultural Care Package,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0
Our Patch - The Gateway Centre Weaving Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,35,18,26,23,8,16,0
Our Patch - The Keighley Chorus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,21,29,81,30,38,0,0,0
Our Patch - The Travelling Spoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,3,16,34,0,24,0,0
Our Patch - The Wellbeing Walkers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,11,12,0,0,0
Our Patch - Thornbury Roundabout Environmental Art Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,24,0,0,0,0,0
Our Patch - Thornby Hub Cook Healthy Meals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,11,0,0,0,0
Our Patch - Tong Village - The Village Van Goghs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
Our Patch - Tu i Tam Community Visits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0
Our Patch - Unique Voices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,76,20,0,0,0,0,0,0
Our Patch - Urdu Shurdu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,0,0,0,0
Our Patch - Us Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Our Patch - Vibe Check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,0
Our Patch - Wibsey Community Garden - BD6 Artistes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
Our Patch - Windhill Seniors Group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,48,32,22,0,16,24,0
Our Patch - Wisdom in the Woods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
Our Patch - Woodroyd Tapestry Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,53,41,19,10,12,21,0
Our Patch - Youth Music at Bolton Community Church,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0
Our Patch - Youth Zen Den,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,58,52,95,27,16,8,0,10,0
Our Story (Nebula Girls Group),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLAY Facilitators @ Beacon (all),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,112,0,579,0,357,0
PLAY: Alive & Kicking Drama Adventures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLAY: Escape Room Design Challenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLAY: Grue,0,0,0,0,0,0,0,0,0,0,0,0,32,76,237,12,0,0,0,0,0,0,0,0
PLAY: Intergenerational Play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,255,75,200,388,71,0,63,14
PLAY: Island of Foam (WOW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLAY: Playable Commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
PLAY: REPLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
PLAY: Red Ball Project (WOW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLAY: Science Explorers Play Lab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLAY: The Great Adventure Build with Woodland Tribe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,845,0,0,0,520,0,0
Palettes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palingenesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peace Picnics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,60,0,0,0
Penguin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penguin Books 16+ Panel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penguin Books Partnership,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
People First Keighley and Craven Summer Party,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0
Pictureville Screenings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pictureville Screenings - 'Brought to Life' Season,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pictureville Screenings - Cine Spotlights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pictureville Screenings - Epic Yorkshire Season,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pictureville Screenings - Film4 Curated Season,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pictureville Screenings - Northern Youth Film Season,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pictureville Screenings - Time and Place (Invisible Women),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pictureville Screenings - Widescreen Weekend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pieced Together,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poetry Takeaway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0
Pop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pop Up Family Pride,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Press Trips,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Programme Launch (Sept 12th event),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjabi Heritage and Culture by Saath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qawalli Night at The Beacon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qigong and Tai Chi Mid Autumn Moon Festival,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0
RISE,0,0,0,0,0,0,0,0,0,0,0,193,473,456,1265,0,0,0,0,0,0,0,0,0
Ramadan Festival,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramadan Pavillion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Re:Born,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
Robyn Hood - Fidget Theatre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roshni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRIKE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,57,26,0
Saltaire Heritage Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Say It As It Is - Bowling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
Say It As It Is - Cliffe Castle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Say It As It Is - Wibsey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
Share Your Story at Beacon (National Literacy Trust),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,301,148,388,267,158,0,0
"Share and Care (Bradford New Church, Frizinghall)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sing, Dance, Leap",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,72,0,0,0,0
Sip and Paint with Creative Flare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0
Sisters 360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"So Far, So Good (Yorkshire Dance, as part of BD FEST)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,113,200,0,0,0
Spin Arts: RIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0
Sponsorship - Alhambra Philanthropy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sponsorship - Bradford Means Business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sponsorship - Business Breakfast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sponsorship - High Sheriff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sponsorship - Insider Placemaking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sponsorship - Loading Bay Funder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sponsorship - Northern Trains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sponsorship - Sports Awards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sponsorship - Super Soapbox Challenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sponsorship - YABA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sponsorship - Yorkshire Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spread the Word About Bradford 2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Street Choirs Festival,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summer Sounds - Day 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summer Sounds - Day 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summer of Song with Steeton Male Voice Choir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sustenance the Power of Food,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCF Artist Residency,0,0,0,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tape Letters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tech Styles @ The Beacon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0
Teen Scene Party,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tent of Hope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Testo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The 56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Belgrave House Band - Back to Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Big Creative Summit - Investment in West Yorkshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Big Thing - Immersive Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Bradford Progress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,879,1859,0,0,0,0,0
The Dreams I Had: Andrea Dunbar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Invite by Mind the Gap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
The Portrait of Mai: Youth Engagement Programme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,2,2,2,2,0,0
The Railway Children,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,82,0,29,1640,1051,1051,0
The Sticky Dance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Tiger Lillies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tour the Writer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tower of Now Engagement Strand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
Tower of Now: Saad Qureshi (programme strand),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toxic - Dibby Theatre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tu i Tam / Tyt i Tam: Tim Smith & Lodz Fotofestival,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,249,0,0,0
Turner Prize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Bradford Programme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unspun - 509 Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WOW Community Partnership,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wandering Imaginations: Emerging Fantasy Writer Exchange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
We Will Sing by Ann Hamilton at Salt's Mill,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,80,60,76,60,60,60
West Yorkshire Young Poet Laureate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
"Whale, Where Are You Going?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Where It All Begain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Where It Began – Osman Yousefzada,0,0,0,0,0,45,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whine List,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wild Uplands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,954,979,1005,970,1404,912
Wonky Olympics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,0,0,0
World Curry Festival,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World Piano Day 2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World of Women (Cecil Green Arts),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOU:MATTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Your Best Guess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0
Youth Club in Bowling Park (closed event),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0
Youth Fest 25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Youthology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zee and the City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760,0,0,0
asses.masses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zz - Beacon - Non-project related venue activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zz - Loading Bay Venue Activity (non-project related),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
