datestamp,value
2024-12-01,215
2024-12-02,242
2024-12-03,236
2024-12-04,227
2024-12-05,222
2024-12-06,249
2024-12-07,239
2024-12-08,207
2024-12-09,251
2024-12-10,235
2024-12-11,231
2024-12-12,231
2024-12-13,240
2024-12-14,227
2024-12-15,220
2024-12-16,252
2024-12-17,243
2024-12-18,236
2024-12-19,223
2024-12-20,191
2024-12-21,172
2024-12-22,224
2024-12-23,164
2024-12-24,234
2024-12-25,76
2024-12-26,181
2024-12-27,247
2024-12-28,246
2024-12-29,212
2024-12-30,264
2024-12-31,236
