datestamp,estimated_actual_footfall
2019-01-01,530996
2019-01-02,568621
2019-01-03,606939
2019-01-04,508695
2019-01-05,468546
2019-01-06,410141
2019-01-07,488741
2019-01-08,490209
2019-01-09,541583
2019-01-10,540426
2019-01-11,397085
2019-01-12,466904
2019-01-13,401610
2019-01-14,546142
2019-01-15,569376
2019-01-16,515693
2019-01-17,479236
2019-01-18,593648
2019-01-19,501700
2019-01-20,615148
2019-01-21,600620
2019-01-22,524345
2019-01-23,525697
2019-01-24,674026
2019-01-25,605638
2019-01-26,689841
2019-01-27,714268
2019-01-28,606034
2019-01-29,629256
2019-01-30,608144
2019-01-31,588780
2019-02-01,654563
2019-02-02,495699
2019-02-03,611140
2019-02-04,559821
2019-02-05,514916
2019-02-06,656539
2019-02-07,600414
2019-02-08,603753
2019-02-09,556484
2019-02-10,544660
2019-02-11,656557
2019-02-12,704906
2019-02-13,553966
2019-02-14,665889
2019-02-15,526092
2019-02-16,542935
2019-02-17,585078
2019-02-18,693438
2019-02-19,691896
2019-02-20,625205
2019-02-21,651160
2019-02-22,585079
2019-02-23,575862
2019-02-24,586309
2019-02-25,614656
2019-02-26,704951
2019-02-27,722395
2019-02-28,721797
2019-03-01,786667
2019-03-02,572753
2019-03-03,464424
2019-03-04,776666
2019-03-05,549411
2019-03-06,716841
2019-03-07,728112
2019-03-08,707019
2019-03-09,596620
2019-03-10,570495
2019-03-11,656703
2019-03-12,745573
2019-03-13,582017
2019-03-14,679943
2019-03-15,624271
2019-03-16,611850
2019-03-17,775808
2019-03-18,619772
2019-03-19,559123
2019-03-20,546257
2019-03-21,630787
2019-03-22,652110
2019-03-23,593792
2019-03-24,424728
2019-03-25,608990
2019-03-26,533979
2019-03-27,601752
2019-03-28,664837
2019-03-29,738125
2019-03-30,616266
2019-03-31,579057
2019-04-01,659425
2019-04-02,634940
2019-04-03,661084
2019-04-04,654453
2019-04-05,618471
2019-04-06,667068
2019-04-07,606205
2019-04-08,713357
2019-04-09,628870
2019-04-10,688571
2019-04-11,646443
2019-04-12,651434
2019-04-13,658234
2019-04-14,655470
2019-04-15,705728
2019-04-16,594817
2019-04-17,646579
2019-04-18,713770
2019-04-19,606526
2019-04-20,671331
2019-04-21,665217
2019-04-22,668684
2019-04-23,672195
2019-04-24,566031
2019-04-25,696287
2019-04-26,655318
2019-04-27,572038
2019-04-28,487452
2019-04-29,501224
2019-04-30,537693
2019-05-01,674494
2019-05-02,664329
2019-05-03,646458
2019-05-04,688272
2019-05-05,747373
2019-05-06,570625
2019-05-07,688809
2019-05-08,616504
2019-05-09,568086
2019-05-10,601440
