geography_code,geography_name,"Asian, Asian British or Asian Welsh","Black, Black British, Black Welsh, Caribbean or African",Mixed or Multiple ethnic groups,White,Other ethnic group
E01010568,Bradford 016A,2.4,0.5,1.5,95.2,0.3
E01010569,Bradford 016B,1.2,1.0,2.2,95.3,0.3
E01010570,Bradford 018A,4.0,0.3,1.3,94.3,0.2
E01010571,Bradford 016C,2.8,1.4,4.4,90.8,0.6
E01010572,Bradford 016D,1.8,0.3,1.9,96.0,0.1
E01010573,Bradford 013A,1.8,0.3,0.7,97.0,0.2
E01010574,Bradford 013B,1.8,0.4,1.9,95.4,0.4
E01010575,Bradford 013C,1.6,0.0,0.8,97.3,0.4
E01010576,Bradford 016E,3.8,0.5,0.9,94.3,0.6
E01010577,Bradford 013D,1.4,0.6,1.9,95.7,0.3
E01010578,Bradford 015A,3.5,0.4,1.7,94.2,0.1
E01010579,Bradford 010A,4.2,0.8,1.5,93.3,0.3
E01010580,Bradford 010B,3.5,0.5,1.7,93.8,0.5
E01010581,Bradford 015B,1.6,0.9,2.5,94.7,0.3
E01010582,Bradford 015C,1.3,0.2,2.2,95.9,0.4
E01010583,Bradford 018B,3.7,0.6,3.2,92.2,0.3
E01010584,Bradford 015D,4.1,1.1,2.0,92.5,0.3
E01010585,Bradford 015E,3.7,0.8,2.2,92.4,0.8
E01010586,Bradford 022A,1.6,0.1,1.9,96.4,0.1
E01010587,Bradford 022B,9.3,0.4,1.8,87.7,0.8
E01010588,Bradford 022C,14.0,1.0,2.7,80.7,1.6
E01010589,Bradford 022D,2.0,0.4,0.7,96.2,0.7
E01010590,Bradford 031A,3.8,0.4,1.5,94.1,0.2
E01010591,Bradford 022E,13.6,0.1,3.5,82.0,0.9
E01010592,Bradford 031B,2.2,0.4,2.8,94.5,0.1
E01010593,Bradford 022F,3.5,0.6,1.8,93.8,0.4
E01010594,Bradford 031C,2.0,0.5,2.5,94.5,0.4
E01010595,Bradford 031D,4.2,1.5,2.6,91.0,0.7
E01010596,Bradford 022G,13.9,0.3,3.6,80.6,1.6
E01010597,Bradford 028A,28.9,1.3,4.0,62.9,2.9
E01010598,Bradford 028B,40.3,1.3,3.9,52.9,1.7
E01010599,Bradford 028C,49.4,3.0,4.6,38.9,4.1
E01010600,Bradford 028D,60.2,1.5,3.4,29.4,5.6
E01010601,Bradford 032A,23.1,0.3,3.6,72.1,0.9
E01010602,Bradford 028E,42.9,1.1,3.7,49.5,2.8
E01010603,Bradford 024A,16.5,0.7,3.7,78.2,0.9
E01010604,Bradford 024B,15.1,0.6,1.6,80.8,2.0
E01010605,Bradford 024C,10.2,2.6,5.3,81.6,0.4
E01010606,Bradford 064E,73.1,3.7,2.3,15.1,5.9
E01010607,Bradford 064C,82.2,2.6,1.4,11.9,1.9
E01010608,Bradford 045A,85.3,2.0,2.3,8.6,1.8
E01010609,Bradford 046A,24.9,2.0,5.4,66.4,1.3
E01010610,Bradford 046B,21.2,4.1,6.4,67.0,1.2
E01010611,Bradford 046C,32.6,3.6,4.5,57.8,1.5
E01010612,Bradford 052A,5.7,6.0,9.1,77.6,1.7
E01010613,Bradford 045B,32.2,3.2,4.1,55.3,5.1
E01010614,Bradford 046D,25.3,4.2,3.5,66.1,0.9
E01010615,Bradford 053A,25.9,1.2,3.0,67.6,2.3
E01010616,Bradford 053B,51.6,6.4,3.8,35.5,2.6
E01010617,Bradford 064B,59.3,7.1,3.8,23.6,6.2
E01010618,Bradford 038A,72.6,2.8,4.7,18.2,1.8
E01010619,Bradford 038B,87.6,2.5,2.0,4.7,3.2
E01010620,Bradford 042A,78.4,3.2,1.9,11.8,4.7
E01010621,Bradford 042B,94.1,1.8,0.7,2.2,1.1
E01010622,Bradford 042C,81.9,5.6,1.1,9.4,2.0
E01010623,Bradford 042D,71.6,2.5,1.7,19.4,4.8
E01010624,Bradford 042E,83.5,4.4,2.0,6.1,4.0
E01010625,Bradford 038C,73.4,1.3,3.0,19.8,2.4
E01010626,Bradford 038D,83.8,1.0,2.1,10.8,2.3
E01010627,Bradford 038E,62.2,0.5,3.2,31.9,2.1
E01010628,Bradford 040A,41.7,1.9,2.6,51.0,2.7
E01010629,Bradford 040B,73.6,2.6,1.9,20.3,1.5
E01010630,Bradford 040C,61.5,1.3,2.4,33.5,1.4
E01010631,Bradford 040D,34.2,5.0,5.2,51.9,3.6
E01010632,Bradford 040E,39.3,2.6,6.3,47.4,4.4
E01010633,Bradford 047A,28.3,1.5,3.0,66.0,1.1
E01010634,Bradford 047B,8.4,0.3,1.3,89.5,0.5
E01010635,Bradford 047C,21.2,2.1,4.6,71.0,1.1
E01010636,Bradford 047D,16.5,1.6,2.8,77.4,1.8
E01010637,Bradford 047E,41.4,0.9,2.7,53.5,1.4
E01010638,Bradford 062A,0.8,0.0,0.2,98.7,0.3
E01010639,Bradford 063C,2.1,0.3,1.0,96.5,0.2
E01010640,Bradford 063A,0.8,0.3,1.5,97.2,0.2
E01010641,Bradford 063B,0.2,0.7,1.7,97.4,0.0
E01010642,Bradford 062B,0.5,0.6,1.5,97.0,0.4
E01010643,Bradford 062E,2.7,0.6,1.1,95.0,0.5
E01010644,Bradford 062D,5.7,0.8,1.5,91.4,0.6
E01010645,Bradford 062C,6.0,0.7,0.4,92.5,0.3
E01010646,Bradford 001A,0.8,0.3,1.0,97.8,0.1
E01010647,Bradford 001B,0.7,0.9,1.0,97.4,0.0
E01010648,Bradford 001C,0.5,0.1,1.2,98.1,0.0
E01010649,Bradford 027A,9.0,2.8,3.0,84.8,0.4
E01010650,Bradford 027B,12.6,3.1,3.7,79.3,1.3
E01010651,Bradford 032B,24.2,0.5,3.2,71.0,1.0
E01010652,Bradford 026A,8.3,1.2,2.5,87.9,0.1
E01010653,Bradford 026B,5.2,3.0,4.6,85.1,2.0
E01010654,Bradford 027C,3.3,2.1,4.7,89.4,0.5
E01010655,Bradford 026C,4.6,1.0,6.7,87.4,0.3
E01010656,Bradford 026D,23.5,0.4,2.4,72.0,1.7
E01010657,Bradford 026E,8.3,0.1,3.5,88.0,0.2
E01010658,Bradford 041A,66.2,2.0,3.5,20.9,7.4
E01010659,Bradford 049A,60.6,3.1,3.6,28.3,4.4
E01010662,Bradford 049D,53.9,1.6,4.6,38.1,1.9
E01010663,Bradford 050A,52.4,6.8,3.2,32.2,5.3
E01010664,Bradford 049E,62.5,0.7,4.5,28.7,3.5
E01010665,Bradford 050B,62.3,3.8,3.7,27.7,2.5
E01010666,Bradford 050C,39.1,2.2,3.9,50.4,4.4
E01010667,Bradford 050D,56.5,4.9,3.1,31.5,4.0
E01010668,Bradford 055A,50.9,0.6,1.6,44.2,2.8
E01010669,Bradford 030A,76.4,1.1,2.5,17.8,2.1
E01010670,Bradford 029A,70.8,1.5,2.9,22.0,2.8
E01010671,Bradford 029B,78.8,0.5,1.6,16.1,3.1
E01010672,Bradford 036A,24.0,1.4,4.1,68.8,1.7
E01010673,Bradford 029C,82.0,0.9,4.1,11.1,1.9
E01010674,Bradford 030B,72.9,1.7,2.9,18.6,3.8
E01010675,Bradford 029D,68.7,1.2,2.3,24.5,3.3
E01010676,Bradford 034A,87.2,3.5,2.6,2.8,3.9
E01010678,Bradford 036B,48.3,1.0,2.2,47.4,1.1
E01010679,Bradford 034B,70.4,3.1,1.9,18.9,5.7
E01010680,Bradford 019A,1.3,1.5,4.1,92.6,0.4
E01010681,Bradford 019B,10.4,0.8,2.1,84.3,2.4
E01010682,Bradford 019C,2.7,1.0,3.4,92.7,0.3
E01010683,Bradford 017A,5.1,0.7,2.5,90.9,0.8
E01010684,Bradford 017B,1.9,0.7,5.5,91.8,0.1
E01010685,Bradford 017C,1.9,0.3,1.8,95.8,0.2
E01010686,Bradford 017D,2.7,0.3,2.1,94.6,0.2
E01010687,Bradford 019D,2.3,0.7,2.4,94.4,0.3
E01010688,Bradford 019E,3.7,1.2,3.8,90.8,0.5
E01010689,Bradford 019F,5.9,0.8,3.7,89.2,0.4
E01010690,Bradford 019G,7.8,0.5,2.5,87.5,1.6
E01010691,Bradford 002A,1.4,0.2,1.9,96.4,0.1
E01010692,Bradford 001D,1.7,0.1,1.4,96.7,0.2
E01010693,Bradford 002B,2.3,0.3,1.7,95.5,0.1
E01010694,Bradford 002C,0.9,0.4,1.1,97.5,0.1
E01010695,Bradford 002D,2.5,0.6,2.2,94.4,0.3
E01010696,Bradford 002E,1.7,0.6,1.7,95.6,0.4
E01010697,Bradford 002F,1.7,0.3,1.7,95.9,0.3
E01010698,Bradford 002G,1.8,0.8,3.6,93.4,0.5
E01010699,Bradford 002H,1.1,0.2,2.9,95.0,0.8
E01010700,Bradford 008A,70.2,0.7,1.6,25.2,2.3
E01010701,Bradford 008B,80.1,0.6,0.9,16.9,1.5
E01010702,Bradford 008C,86.7,0.2,0.9,9.8,2.4
E01010703,Bradford 008D,35.2,0.4,1.9,62.3,0.2
E01010704,Bradford 008E,6.2,0.2,1.6,91.5,0.4
E01010705,Bradford 008F,7.8,0.0,2.2,89.9,0.1
E01010706,Bradford 006A,3.3,0.2,1.0,95.0,0.6
E01010707,Bradford 006B,17.5,0.3,2.7,76.4,3.2
E01010708,Bradford 006C,31.9,0.5,1.7,64.8,1.1
E01010709,Bradford 006D,15.5,0.5,1.5,81.9,0.6
E01010710,Bradford 008G,48.5,1.4,1.8,45.4,2.9
E01010711,Bradford 011A,23.9,1.2,4.0,70.3,0.5
E01010712,Bradford 009A,71.4,1.3,1.1,24.8,1.4
E01010713,Bradford 011B,6.0,1.2,3.2,89.0,0.6
E01010714,Bradford 011C,11.8,0.3,2.1,85.8,0.0
E01010715,Bradford 012A,3.3,0.4,1.8,94.0,0.6
E01010716,Bradford 011D,3.2,1.8,3.5,90.6,1.0
E01010717,Bradford 012B,11.6,0.1,2.8,84.9,0.7
E01010718,Bradford 012C,1.0,1.3,2.5,94.9,0.4
E01010719,Bradford 007A,74.9,0.5,1.6,20.4,2.6
E01010720,Bradford 009B,25.5,0.3,2.7,70.4,1.1
E01010721,Bradford 009C,11.3,1.0,3.8,82.1,1.8
E01010722,Bradford 014A,10.3,1.0,2.0,86.7,0.1
E01010723,Bradford 009D,73.3,0.9,0.8,23.3,1.6
E01010724,Bradford 009E,20.2,0.7,2.4,75.5,1.2
E01010725,Bradford 009F,16.9,0.4,1.9,80.8,0.0
E01010726,Bradford 012D,7.7,0.1,1.2,90.6,0.4
E01010727,Bradford 007B,19.9,0.5,1.6,76.8,1.3
E01010728,Bradford 007C,68.6,0.4,1.3,27.5,2.3
E01010729,Bradford 007D,52.2,0.5,1.6,42.1,3.6
E01010730,Bradford 045C,20.0,10.7,6.3,53.1,9.9
E01010731,Bradford 048A,50.3,6.9,4.3,27.3,11.2
E01010732,Bradford 048B,67.3,6.7,3.1,18.1,4.8
E01010733,Bradford 048C,68.7,4.4,3.5,18.5,4.9
E01010734,Bradford 045D,34.0,6.8,3.0,51.5,4.8
E01010735,Bradford 051A,65.3,6.4,2.4,21.4,4.5
E01010736,Bradford 048D,54.0,5.4,3.1,31.1,6.4
E01010737,Bradford 048E,63.8,7.4,3.5,19.2,6.2
E01010738,Bradford 051B,70.4,3.0,3.0,17.8,5.9
E01010739,Bradford 051C,59.3,4.2,6.1,25.2,5.2
E01010740,Bradford 051D,78.1,3.3,1.4,11.8,5.5
E01010741,Bradford 059A,11.1,0.8,2.9,85.1,0.1
E01010742,Bradford 053C,63.4,7.2,2.8,22.8,3.8
E01010743,Bradford 053D,59.9,6.6,3.4,25.4,4.7
