date,attended,hours
2024-12-12,0,0.0
2024-12-14,1,5.0
2025-01-11,0,0.0
2025-01-18,1,3.5
2025-01-20,10,29.0
2025-01-21,10,40.0
2025-01-22,7,28.0
2025-01-23,7,28.0
2025-01-24,12,48.0
2025-01-27,12,37.0
2025-01-28,9,26.5
2025-01-29,10,30.0
2025-01-30,12,37.0
2025-01-31,13,38.5
2025-02-03,10,32.0
2025-02-04,14,43.0
2025-02-05,0,0.0
2025-02-07,9,36.0
2025-02-08,4,19.0
2025-02-09,9,40.5
2025-02-10,20,95.5
2025-02-11,17,81.0
2025-02-12,15,71.0
2025-02-13,16,78.0
2025-02-14,14,67.5
2025-02-15,11,51.5
2025-02-16,14,66.0
2025-02-17,14,67.0
2025-02-18,14,67.5
2025-02-19,16,75.0
2025-02-20,11,53.0
2025-02-21,12,56.5
2025-02-22,9,43.5
2025-02-23,19,85.0
2025-02-24,11,77.0
ALL,363,1556.0
