start,count_of_tickets
2025-04-04 15:30:00,61
2025-04-05 09:30:00,32
2025-04-05 11:15:00,49
2025-04-05 13:30:00,51
2025-04-05 15:15:00,67
2025-04-06 09:30:00,23
2025-04-06 11:15:00,52
2025-04-06 13:30:00,62
2025-04-06 15:15:00,55
2025-04-07 09:30:00,13
2025-04-07 11:15:00,45
2025-04-07 13:30:00,74
2025-04-07 15:15:00,55
2025-04-08 09:30:00,22
2025-04-08 11:15:00,66
2025-04-08 13:30:00,55
2025-04-08 15:15:00,36
2025-04-09 09:30:00,21
2025-04-09 11:15:00,56
2025-04-09 13:30:00,72
2025-04-09 15:15:00,57
ALL,1024
