impact_type,scope,tCO2e
Audience travel,,0
Audience travel,Scope 3,62.4150213945
Energy,Scope 2,2.4854339999999997
Energy,Scope 3,0.9047260600000001
ALL,,0
ALL,Scope 2,2.4854339999999997
ALL,Scope 3,63.3197474545
ALL,ALL,65.8051814545
